threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-2.514907070523412,,9702,3721,5981,0.3798,0.5484,0.0102,0.2166,0.3805,0.982,0.1959
-1.6443236807312334,,9702,3721,5981,0.3695,0.5342,0.0249,0.2202,0.3727,0.9425,0.1959
-1.0780663608863057,,9702,3721,5981,0.3598,0.5199,0.0396,0.2238,0.3649,0.9038,0.1959
-0.7606410354956274,,9702,3721,5981,0.3488,0.5042,0.0516,0.2252,0.3561,0.8632,0.1959
-0.5774015252885683,,9702,3721,5981,0.3344,0.4853,0.0581,0.2219,0.345,0.8183,0.1959
-0.39644276739860373,,9702,3721,5981,0.3216,0.4672,0.0664,0.2201,0.3343,0.7756,0.1959
-0.22019623322345316,,9702,3721,5981,0.3106,0.45,0.0765,0.2197,0.3242,0.7353,0.1959
-0.06314556606937514,,9702,3721,5981,0.3015,0.4337,0.0887,0.221,0.3147,0.6974,0.1959
0.0,,9702,3721,5981,0.2518,0.3585,0.1026,0.2007,0.2671,0.545,0.1959
0.0,,9702,3721,5981,0.2518,0.3585,0.1026,0.2007,0.2671,0.545,0.1959
0.0,,9702,3721,5981,0.2518,0.3585,0.1026,0.2007,0.2671,0.545,0.1959
0.1312432383382784,,9702,3721,5981,0.2434,0.344,0.1062,0.1974,0.2577,0.5173,0.1959
0.3495148606491516,,9702,3721,5981,0.2339,0.3241,0.1159,0.1957,0.2449,0.4789,0.1959
0.5271047676768639,,9702,3721,5981,0.2213,0.3005,0.1218,0.1904,0.2292,0.4362,0.1959
0.7949383571017312,,9702,3721,5981,0.2106,0.2781,0.1292,0.1863,0.2141,0.3964,0.1959
1.0221474023424548,,9702,3721,5981,0.2086,0.2624,0.1463,0.1909,0.2042,0.3671,0.1959
1.270223381363902,,9702,3721,5981,0.2017,0.2421,0.1568,0.1895,0.1904,0.3324,0.1959
1.8748833802561329,,9702,3721,5981,0.1987,0.2245,0.1712,0.1916,0.1785,0.3023,0.1959
2.4233927679039433,,9702,3721,5981,0.2071,0.2176,0.1962,0.2044,0.1751,0.2876,0.1959
2.5374128690241964,,9702,3721,5981,0.1915,0.186,0.197,0.1928,0.1515,0.2408,0.1959
3.0349850864126844,,9702,3721,5981,0.1986,0.1768,0.2193,0.203,0.1459,0.2244,0.1959
3.8239267694259302,,9702,3721,5981,0.2114,0.173,0.2464,0.2182,0.1447,0.215,0.1959
5.028005675579063,,9702,3721,5981,0.2314,0.1763,0.2796,0.24,0.1497,0.2145,0.1959
6.029700067054751,,9702,3721,5981,0.2509,0.1799,0.3106,0.2604,0.155,0.2142,0.1959
6.9037472575846035,,9702,3721,5981,0.2664,0.179,0.337,0.2764,0.1568,0.2085,0.1959
7.24494154633701,,9702,3721,5981,0.2786,0.174,0.3597,0.2885,0.1551,0.1981,0.1959
7.565534315704291,,9702,3721,5981,0.2927,0.1711,0.3832,0.3019,0.1554,0.1903,0.1959
7.8320141805054835,,9702,3721,5981,0.3081,0.1699,0.4068,0.316,0.1574,0.1846,0.1959
8.039802343736483,,9702,3721,5981,0.3226,0.1656,0.4299,0.3285,0.1569,0.1752,0.1959
8.195977315752977,,9702,3721,5981,0.3395,0.1654,0.4535,0.343,0.1605,0.1707,0.1959
8.345574157755415,,9702,3721,5981,0.3533,0.163,0.4731,0.3542,0.1619,0.1642,0.1959
8.445267451844654,,9702,3721,5981,0.3611,0.1514,0.4876,0.3587,0.1543,0.1486,0.1959
8.568963038901003,,9702,3721,5981,0.3746,0.1473,0.5062,0.3685,0.1543,0.1408,0.1959
8.601442423861144,,9702,3721,5981,0.3923,0.1482,0.5276,0.3821,0.1603,0.1379,0.1959
8.700403242271328,,9702,3721,5981,0.4074,0.1451,0.5466,0.3926,0.1625,0.1311,0.1959
8.883039284837386,,9702,3721,5981,0.4231,0.1435,0.5651,0.4034,0.1667,0.126,0.1959
8.915969311373608,,9702,3721,5981,0.4345,0.1347,0.5801,0.4093,0.163,0.1148,0.1959
9.015602045167142,,9702,3721,5981,0.4494,0.1254,0.5982,0.4169,0.1605,0.1029,0.1959
9.10581284262226,,9702,3721,5981,0.4611,0.1216,0.6114,0.4235,0.1623,0.0973,0.1959
9.220983532074662,,9702,3721,5981,0.4756,0.1164,0.6271,0.4312,0.1645,0.09,0.1959
9.295018473438802,,9702,3721,5981,0.4865,0.104,0.6401,0.4345,0.1572,0.0777,0.1959
9.349841410753747,,9702,3721,5981,0.5049,0.1041,0.658,0.4455,0.1701,0.075,0.1959
9.529690670754755,,9702,3721,5981,0.5178,0.0962,0.6712,0.4507,0.1711,0.0669,0.1959
9.529690670754768,,9702,3721,5981,0.5357,0.089,0.6884,0.4585,0.1797,0.0591,0.1959
9.592013572848206,,9702,3721,5981,0.5439,0.0748,0.6974,0.4586,0.1685,0.0481,0.1959
9.623674438463045,,9702,3721,5981,0.5593,0.0684,0.7114,0.4648,0.1807,0.0422,0.1959
9.755306518861907,,9702,3721,5981,0.5768,0.0668,0.7263,0.4734,0.2165,0.0395,0.1959
9.93513155787059,,9702,3721,5981,0.5999,0.028,0.7481,0.4719,0.2051,0.015,0.1959
9.93513155787059,,9702,3721,5981,0.5999,0.028,0.7481,0.4719,0.2051,0.015,0.1959
9.997478680956371,,9702,3721,5981,0.6102,0.0094,0.7573,0.4705,0.1856,0.0048,0.1959
