row_idx,col,y_true,y_pred,delta_score
5,race,-1,1,10.63976605905668
7,capital-loss,-1,1,10.748540036809224
11,age,-1,1,0.7875209319684622
13,education-num,1,1,0.48150556198516625
22,workclass,-1,-1,0.0
42,age,-1,1,1.3905656128294535
42,occupation,-1,1,2.063213095688326
45,native-country,-1,1,10.690625861516313
59,native-country,-1,1,3.9360217620283517
60,marital-status,1,-1,-0.41588060737635146
61,relationship,1,1,0.3901843712719888
63,capital-loss,-1,1,10.748540036809226
66,native-country,-1,1,3.9360217620283535
77,workclass,-1,1,0.9932517730102823
81,age,1,-1,-1.2401313891076136
81,marital-status,1,-1,-0.41591503019179576
83,workclass,-1,1,0.9932517730102859
90,age,-1,1,1.8069362699369016
90,occupation,-1,1,1.9934968314580068
92,education-num,-1,1,1.9255704648181933
92,native-country,-1,1,9.997478680956373
93,education,-1,1,9.10581284262225
93,native-country,-1,1,9.997478680956373
101,marital-status,1,1,1.0552182108651227
101,relationship,1,1,1.1622663639337318
104,marital-status,-1,1,7.325807502595776
118,education,-1,1,10.31682161902299
119,occupation,-1,1,1.1971190614980607
119,relationship,1,1,1.1622663639337318
120,relationship,1,-1,-0.9723280192224735
130,education-num,-1,1,0.18304974951943365
133,occupation,-1,1,1.767809463399292
135,marital-status,1,-1,-0.41591503019179576
135,relationship,1,1,2.5245792484722216
160,education,1,-1,-1.7274291296255342
160,hours-per-week,1,-1,-0.5991415493600609
161,hours-per-week,-1,1,1.08216473864168
162,age,1,-1,-1.390692947132358
177,occupation,-1,1,2.171511277948712
181,marital-status,-1,1,10.2768081850955
186,hours-per-week,-1,1,0.24622838479418796
187,education,-1,1,10.316821619022992
203,relationship,1,1,1.162561013268384
206,fnlwgt,-1,1,0.6120793574711598
214,age,1,-1,-1.2401313891076136
214,capital-gain,1,1,2.90507492963118
217,age,-1,1,8.459775920546292
232,relationship,1,-1,-0.9723280192224735
234,education-num,1,1,0.4814326358228751
234,hours-per-week,1,-1,-0.5991415493600609
235,education-num,-1,1,0.2642488844368849
236,capital-gain,1,-1,-2.905482676833568
240,marital-status,-1,1,9.86089315490371
241,education-num,1,1,0.4815055619851698
251,education-num,1,1,1.350796518580367
255,education,-1,1,9.294589604421088
257,hours-per-week,-1,1,1.08216473864168
259,capital-gain,1,1,2.9054826768335644
266,workclass,-1,-1,0.0
269,hours-per-week,-1,1,0.5489545276231631
270,age,1,-1,-0.8534956008257435
271,education,1,-1,-2.594287848633705
272,native-country,-1,1,3.93602176202835
273,hours-per-week,1,1,0.18288945995591632
285,hours-per-week,-1,1,0.657569565715729
290,workclass,-1,1,2.6908798206882345
291,education,1,-1,-2.5619009970574567
291,education-num,1,-1,-1.7286863149761569
294,age,1,-1,-1.240091351472234
302,marital-status,1,-1,-1.476879387219057
302,relationship,1,1,1.1622663639337336
307,relationship,-1,1,9.618335609937974
309,hours-per-week,-1,1,0.353064831714633
324,marital-status,-1,1,8.022568946988262
342,hours-per-week,-1,-1,0.0
344,native-country,-1,1,10.690625861516317
349,marital-status,1,-1,-1.4768793872190589
349,relationship,1,-1,-0.9723787355911906
350,marital-status,1,-1,-1.47986744144281
350,relationship,1,1,1.1622663639337318
355,occupation,-1,1,0.6702653606970941
356,marital-status,1,-1,-0.415915030191794
356,occupation,-1,1,1.1971190614980607
357,occupation,-1,1,0.6702653606970941
361,relationship,1,1,0.39018437127198524
362,hours-per-week,-1,1,0.17689253366345348
363,age,-1,1,1.1235115768818282
365,race,-1,1,10.639766059056674
366,sex,-1,1,10.393630762106923
374,marital-status,1,-1,-0.415915030191794
374,relationship,1,-1,-0.27095159319701523
382,hours-per-week,-1,1,0.2076840279066019
384,fnlwgt,-1,1,0.6060121100826166
386,marital-status,1,-1,-1.4768793872190606
386,relationship,1,1,1.1622663639337318
396,workclass,-1,1,2.690879820688231
400,native-country,-1,1,10.690625861516319
401,education-num,-1,1,1.210777791622288
403,age,1,-1,-0.5203365650256266
403,education-num,1,1,0.4814326358228751
404,native-country,-1,1,3.9360217620283535
406,relationship,1,1,1.1625610132683803
415,age,-1,1,1.2181529793627135
415,education,1,-1,-2.3416674457181905
418,hours-per-week,-1,1,1.08216473864168
434,capital-loss,-1,1,10.748540036809231
441,capital-loss,-1,1,10.748540036809226
442,marital-status,1,-1,-0.415915030191794
442,relationship,1,-1,-0.27095159319701345
444,age,-1,1,7.28550654852279
451,occupation,-1,1,2.063213095688326
451,relationship,-1,1,9.196190736371745
454,age,1,-1,-1.0404698597582343
454,marital-status,1,-1,-0.41591503019179576
460,capital-loss,-1,1,10.748540036809224
468,workclass,-1,1,2.6908798206882345
471,age,1,-1,-0.3560955238693211
471,relationship,1,1,2.524185037106978
471,native-country,-1,-1,0.0
475,fnlwgt,-1,1,0.44743870265698504
484,hours-per-week,-1,1,0.20768402790660723
489,workclass,-1,1,2.6908798206882345
490,workclass,-1,1,2.6908798206882345
492,hours-per-week,-1,1,0.8485957191028035
494,marital-status,-1,1,10.276808185095508
497,native-country,-1,1,3.9360217620283535
501,education,1,-1,-1.0789772097756334
501,capital-loss,-1,1,10.055414332759348
513,education,-1,1,9.294589604421086
517,sex,-1,1,9.692396082246061
521,relationship,-1,1,9.88928720313499
530,education-num,-1,1,2.1372217977473618
