threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-2.561845486218953,,11661,3784,7877,0.3146,0.4785,0.0003,0.1554,0.3177,0.9691,0.1487
-1.4769138076648076,,11661,3784,7877,0.294,0.4541,0.001,0.148,0.3031,0.9049,0.1487
-1.390692947132358,,11661,3784,7877,0.2751,0.431,0.0014,0.1408,0.2892,0.8462,0.1487
-0.9723787355911924,,11661,3784,7877,0.2552,0.406,0.0018,0.133,0.2739,0.7844,0.1487
-0.5203365650256252,,11661,3784,7877,0.2363,0.3814,0.0025,0.1254,0.2587,0.7254,0.1487
-0.41591503019179576,,11661,3784,7877,0.2097,0.3454,0.003,0.1141,0.2362,0.6424,0.1487
-0.4158806073763479,,11661,3784,7877,0.1963,0.3268,0.003,0.1081,0.2244,0.6012,0.1487
-0.20462089810863215,,11661,3784,7877,0.1833,0.3045,0.0108,0.1061,0.2104,0.551,0.1487
0.0,,11661,3784,7877,0.1952,0.2985,0.0561,0.1348,0.2081,0.5277,0.1487
0.18304974951943365,,11661,3784,7877,0.2054,0.2978,0.0849,0.154,0.2088,0.5193,0.1487
0.33988770347217834,,11661,3784,7877,0.2194,0.2996,0.1185,0.1773,0.2114,0.5145,0.1487
0.3901336549032681,,11661,3784,7877,0.2061,0.2742,0.1238,0.1726,0.1949,0.4622,0.1487
0.4519980304661697,,11661,3784,7877,0.1998,0.2552,0.1355,0.1743,0.1828,0.4226,0.1487
0.5718458432801263,,11661,3784,7877,0.1961,0.2376,0.1498,0.1783,0.1716,0.3861,0.1487
0.6702653606970905,,11661,3784,7877,0.2213,0.2431,0.1981,0.2127,0.1775,0.3853,0.1487
0.6702653606970941,,11661,3784,7877,0.2409,0.2478,0.2339,0.2384,0.1826,0.3853,0.1487
0.7887050179376637,,11661,3784,7877,0.2513,0.2471,0.2554,0.2527,0.1834,0.3787,0.1487
0.8893578495145602,,11661,3784,7877,0.2447,0.2249,0.2634,0.2509,0.1686,0.3377,0.1487
1.0820063808557578,,11661,3784,7877,0.2543,0.2187,0.2867,0.2647,0.1657,0.3216,0.1487
1.0974257674088292,,11661,3784,7877,0.274,0.2229,0.3188,0.2877,0.1707,0.3208,0.1487
1.1622663639337336,,11661,3784,7877,0.2655,0.1928,0.3262,0.2829,0.1498,0.2703,0.1487
1.1974748700768032,,11661,3784,7877,0.2688,0.1811,0.3396,0.2882,0.1423,0.2492,0.1487
1.3026844115224492,,11661,3784,7877,0.2837,0.1808,0.3636,0.3043,0.1438,0.2437,0.1487
1.6443377793875982,,11661,3784,7877,0.2997,0.1795,0.3892,0.3212,0.1448,0.236,0.1487
1.8513408848297388,,11661,3784,7877,0.3065,0.1683,0.4053,0.3284,0.1377,0.2162,0.1487
1.9938041798588912,,11661,3784,7877,0.3095,0.1513,0.418,0.3314,0.1259,0.1897,0.1487
2.1530441751903022,,11661,3784,7877,0.3254,0.1509,0.4404,0.3464,0.1275,0.1847,0.1487
2.5245792484722216,,11661,3784,7877,0.3136,0.1045,0.4435,0.3335,0.0906,0.1234,0.1487
2.6905469631704264,,11661,3784,7877,0.3171,0.0942,0.452,0.3359,0.0827,0.1094,0.1487
2.6908798206882345,,11661,3784,7877,0.3507,0.0986,0.4927,0.3648,0.0897,0.1094,0.1487
2.904667348618812,,11661,3784,7877,0.3522,0.0918,0.4965,0.3652,0.0843,0.101,0.1487
2.90507492963118,,11661,3784,7877,0.3302,0.0303,0.4885,0.3398,0.0286,0.0322,0.1487
3.934856939532061,,11661,3784,7877,0.3304,0.0,0.4967,0.3355,0.0,0.0,0.1487
3.9360217620283535,,11661,3784,7877,0.3653,0.0,0.5351,0.3615,0.0,0.0,0.1487
3.9360217620283553,,11661,3784,7877,0.3716,0.0,0.5418,0.366,0.0,0.0,0.1487
7.897492590315486,,11661,3784,7877,0.3855,0.0,0.5564,0.3759,0.0,0.0,0.1487
8.800113946766317,,11661,3784,7877,0.4055,0.0,0.5771,0.3898,0.0,0.0,0.1487
9.209239766532157,,11661,3784,7877,0.4255,0.0,0.597,0.4033,0.0,0.0,0.1487
9.611596635310288,,11661,3784,7877,0.4459,0.0,0.6168,0.4167,0.0,0.0,0.1487
9.79890451234369,,11661,3784,7877,0.4666,0.0,0.6363,0.4298,0.0,0.0,0.1487
9.889287203134987,,11661,3784,7877,0.4868,0.0,0.6549,0.4424,0.0,0.0,0.1487
10.017039427220245,,11661,3784,7877,0.5056,0.0,0.6716,0.4537,0.0,0.0,0.1487
10.276808185095506,,11661,3784,7877,0.5258,0.0,0.6892,0.4655,0.0,0.0,0.1487
10.31682161902299,,11661,3784,7877,0.5472,0.0,0.7073,0.4778,0.0,0.0,0.1487
10.639766059056676,,11661,3784,7877,0.5657,0.0,0.7226,0.4881,0.0,0.0,0.1487
10.690625861516315,,11661,3784,7877,0.5886,0.0,0.7411,0.5006,0.0,0.0,0.1487
10.710164291083949,,11661,3784,7877,0.6072,0.0,0.7556,0.5104,0.0,0.0,0.1487
10.710164291083952,,11661,3784,7877,0.6298,0.0,0.7728,0.5221,0.0,0.0,0.1487
10.710164291083956,,11661,3784,7877,0.6458,0.0,0.7848,0.5301,0.0,0.0,0.1487
10.748540036809226,,11661,3784,7877,0.666,0.0,0.7995,0.5401,0.0,0.0,0.1487
