row_idx,col,y_true,y_pred,delta_score
16,hours-per-week,-1,1,0.8250617189403222
26,capital-gain,-1,1,2.4068848530367255
26,capital-loss,-1,1,3.014834989062006
36,occupation,-1,-1,-0.22594625393323753
49,workclass,-1,-1,-1.6976280476779486
49,capital-gain,-1,1,2.406884853036729
58,workclass,-1,-1,-1.6976280476779522
58,occupation,-1,1,0.34951486064915116
64,capital-loss,-1,1,3.015272913308113
68,age,-1,1,0.001995802596340468
72,age,-1,-1,-0.35854099967117925
100,age,-1,1,0.27073679676941076
100,hours-per-week,-1,-1,-2.595683871600288
133,workclass,-1,-1,-1.6976038255122425
152,age,-1,1,2.6543478587602767
153,capital-gain,-1,1,2.4071325924161666
166,workclass,-1,-1,-1.9514725335982472
170,age,-1,-1,-1.160030551965285
170,workclass,-1,1,1.723241447663538
174,marital-status,-1,-1,-0.777394272518741
185,capital-gain,-1,1,2.407132592416172
188,age,-1,-1,-0.12758203102598742
189,hours-per-week,-1,-1,-0.944026807320892
195,relationship,-1,-1,-0.7014936383878201
205,age,-1,1,0.7616981832747314
209,capital-loss,-1,1,3.015272913308113
214,occupation,-1,-1,-0.7952013419816168
217,age,-1,-1,-0.8261620203024727
217,occupation,-1,1,0.5271734985611154
218,occupation,-1,-1,-0.12354041962020545
226,capital-gain,-1,-1,-3.902207030189743
252,occupation,-1,-1,-0.22594625393323753
257,capital-gain,-1,1,2.407132592416172
260,hours-per-week,-1,-1,-1.2704299289222103
262,age,-1,1,1.1235115768818247
281,age,-1,1,0.23563070628677352
295,capital-gain,-1,1,2.4071325924161684
302,age,-1,-1,-0.04529477865171927
303,marital-status,-1,-1,-1.0609299353967074
314,age,-1,-1,-0.12030774266853328
348,relationship,-1,-1,-0.6611539105556794
348,capital-loss,-1,1,3.0148349890620043
352,marital-status,-1,-1,-1.093170920949639
358,workclass,-1,1,0.7480286378723164
361,capital-gain,-1,1,2.407132592416172
366,occupation,-1,1,1.3738015394142344
384,age,-1,-1,-0.26797623022101646
386,hours-per-week,-1,-1,-1.1509559584171178
403,age,-1,-1,-0.1893309797400562
407,occupation,-1,1,1.073967175246512
416,hours-per-week,-1,-1,-0.5587421075012529
426,age,-1,1,0.2388225962046917
438,hours-per-week,-1,-1,-0.921260200637219
479,capital-loss,-1,1,3.0152729133081113
480,capital-gain,-1,1,2.40713259241617
481,occupation,-1,1,0.9555279768222107
487,age,-1,1,0.22139711650714133
495,hours-per-week,-1,-1,-1.1733850728807553
