threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-3.7170832971364174,,9199,3009,6190,0.3367,0.4964,0.0287,0.1816,0.3302,0.9993,0.6745
-2.83678224961853,,9199,3009,6190,0.3512,0.4998,0.077,0.2153,0.3342,0.991,0.6745
-2.2543080801835504,,9199,3009,6190,0.3657,0.5033,0.1227,0.2472,0.3383,0.9824,0.6745
-1.9514967557639535,,9199,3009,6190,0.383,0.5092,0.1694,0.2806,0.3441,0.9784,0.6745
-1.7634049916597938,,9199,3009,6190,0.4007,0.5153,0.2152,0.3134,0.3503,0.9737,0.6745
-1.4799881284856795,,9199,3009,6190,0.4143,0.5187,0.2521,0.3393,0.3547,0.9648,0.6745
-1.3625810529498565,,9199,3009,6190,0.4153,0.511,0.2728,0.3507,0.3517,0.9342,0.6745
-1.2704299289222085,,9199,3009,6190,0.4328,0.5179,0.3111,0.3787,0.3587,0.9315,0.6745
-1.0875984534264749,,9199,3009,6190,0.447,0.5219,0.3442,0.4023,0.3639,0.9229,0.6745
-0.9469129365555655,,9199,3009,6190,0.4591,0.5243,0.3731,0.4226,0.368,0.9113,0.6745
-0.8832771971911036,,9199,3009,6190,0.4762,0.5311,0.4068,0.4475,0.3755,0.9069,0.6745
-0.777544999778053,,9199,3009,6190,0.4896,0.5347,0.4348,0.4675,0.381,0.8966,0.6745
-0.6611882400155054,,9199,3009,6190,0.4958,0.5318,0.4538,0.4793,0.3819,0.8754,0.6745
-0.5657450726453241,,9199,3009,6190,0.5068,0.5334,0.477,0.4954,0.3862,0.8617,0.6745
-0.4844917204277859,,9199,3009,6190,0.5195,0.5367,0.501,0.5127,0.392,0.8508,0.6745
-0.4159838722681002,,9199,3009,6190,0.509,0.5147,0.5031,0.5069,0.3803,0.7959,0.6745
-0.39644276739860373,,9199,3009,6190,0.5027,0.5011,0.5042,0.5032,0.3729,0.7637,0.6745
-0.29217979251249043,,9199,3009,6190,0.5099,0.4984,0.5209,0.5136,0.3746,0.7444,0.6745
-0.23161715113850254,,9199,3009,6190,0.5121,0.4902,0.5322,0.5185,0.3724,0.7172,0.6745
-0.17560985084847047,,9199,3009,6190,0.5235,0.4914,0.5519,0.5321,0.3775,0.7036,0.6745
-0.095684917643332,,9199,3009,6190,0.5336,0.4915,0.5694,0.5439,0.382,0.6889,0.6745
-0.011379599125996218,,9199,3009,6190,0.5432,0.4908,0.5858,0.5548,0.3862,0.673,0.6745
0.0998120236827198,,9199,3009,6190,0.5527,0.4899,0.6017,0.5651,0.3907,0.6567,0.6745
0.16603262149132175,,9199,3009,6190,0.5654,0.4929,0.6197,0.5783,0.3986,0.6457,0.6745
0.25447052761859,,9199,3009,6190,0.5763,0.4938,0.6356,0.5892,0.4052,0.6318,0.6745
0.35765784493128194,,9199,3009,6190,0.5875,0.495,0.6513,0.6002,0.4128,0.6181,0.6745
0.41587747691434335,,9199,3009,6190,0.5825,0.4762,0.6529,0.5951,0.4038,0.5803,0.6745
0.5298698535559081,,9199,3009,6190,0.5935,0.477,0.6676,0.6053,0.4118,0.5666,0.6745
0.6610874145620365,,9199,3009,6190,0.6018,0.4735,0.6798,0.6123,0.4172,0.5474,0.6745
0.7403857951895886,,9199,3009,6190,0.6153,0.4781,0.6954,0.6243,0.4297,0.5387,0.6745
0.8950840164939216,,9199,3009,6190,0.6254,0.4776,0.708,0.6326,0.4391,0.5234,0.6745
1.0607400249559513,,9199,3009,6190,0.637,0.4793,0.7214,0.6422,0.4515,0.5108,0.6745
1.1619718803513024,,9199,3009,6190,0.6447,0.4753,0.7315,0.6477,0.4598,0.4919,0.6745
1.362546722311473,,9199,3009,6190,0.6506,0.4682,0.7398,0.651,0.4662,0.4703,0.6745
1.7222524097373084,,9199,3009,6190,0.6581,0.4634,0.7491,0.6557,0.4762,0.4513,0.6745
1.948173879820446,,9199,3009,6190,0.6627,0.4534,0.7561,0.6571,0.4824,0.4277,0.6745
2.354414488005697,,9199,3009,6190,0.6696,0.4468,0.7645,0.6606,0.494,0.4078,0.6745
2.406884853036729,,9199,3009,6190,0.6924,0.4547,0.7857,0.6775,0.541,0.3922,0.6745
2.4071325924161684,,9199,3009,6190,0.7105,0.4696,0.8009,0.6926,0.586,0.3918,0.6745
2.407132592416172,,9199,3009,6190,0.7352,0.4914,0.821,0.7132,0.6609,0.3912,0.6745
2.4088684886983227,,9199,3009,6190,0.7374,0.4918,0.8229,0.7146,0.6699,0.3885,0.6745
2.892297433987508,,9199,3009,6190,0.7307,0.4583,0.8208,0.7023,0.6701,0.3483,0.6745
3.014834989062008,,9199,3009,6190,0.7496,0.4722,0.8359,0.7169,0.7607,0.3423,0.6745
3.015272913308113,,9199,3009,6190,0.7795,0.5039,0.8583,0.7424,0.9546,0.3423,0.6745
3.0327415433748595,,9199,3009,6190,0.7802,0.497,0.8594,0.7408,0.9881,0.332,0.6745
3.5752511223237846,,9199,3009,6190,0.7592,0.4197,0.8481,0.708,0.9913,0.2662,0.6745
3.6428221252361936,,9199,3009,6190,0.7414,0.3484,0.8387,0.6783,0.9907,0.2114,0.6745
3.7612447515763563,,9199,3009,6190,0.7215,0.2608,0.8284,0.6428,0.9891,0.1502,0.6745
4.736332362020408,,9199,3009,6190,0.7023,0.1662,0.8188,0.6053,0.9891,0.0907,0.6745
4.762106984709023,,9199,3009,6190,0.6818,0.0549,0.8087,0.5621,0.9659,0.0282,0.6745
