threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-1.9487095725367245,,8748,460,8288,0.0613,0.0996,0.0196,0.0238,0.0524,0.987,0.5415
-0.877607282549756,,8748,460,8288,0.0799,0.1002,0.0587,0.0609,0.0528,0.9739,0.5415
-0.28134346373009433,,8748,460,8288,0.0981,0.1003,0.0958,0.096,0.0529,0.9565,0.5415
-0.01739809248866122,,8748,460,8288,0.116,0.1003,0.1312,0.1296,0.053,0.937,0.5415
-0.0003563156994914607,,8748,460,8288,0.1352,0.101,0.1669,0.1635,0.0534,0.9239,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.0,,8748,460,8288,0.4561,0.0972,0.6108,0.5838,0.0532,0.5565,0.5415
0.02120702631145351,,8748,460,8288,0.4749,0.0985,0.6295,0.6016,0.0541,0.5457,0.5415
0.1314435607423041,,8748,460,8288,0.4933,0.0992,0.6475,0.6186,0.0547,0.5304,0.5415
0.2653763149374973,,8748,460,8288,0.5109,0.0986,0.6644,0.6346,0.0546,0.5087,0.5415
0.3872116677987947,,8748,460,8288,0.5305,0.1015,0.6822,0.6517,0.0564,0.5043,0.5415
0.5414913246631102,,8748,460,8288,0.5477,0.1001,0.6979,0.6665,0.0559,0.4783,0.5415
0.661398482245346,,8748,460,8288,0.5673,0.1033,0.7149,0.6827,0.058,0.4739,0.5415
0.8571068102785238,,8748,460,8288,0.5852,0.1033,0.7302,0.6972,0.0583,0.4543,0.5415
0.9897988749884326,,8748,460,8288,0.6036,0.1043,0.7454,0.7117,0.0592,0.4391,0.5415
1.1475118081878923,,8748,460,8288,0.622,0.1055,0.7603,0.7259,0.0602,0.4239,0.5415
1.2720533118911348,,8748,460,8288,0.6415,0.1096,0.7756,0.7406,0.063,0.4196,0.5415
1.358488048502835,,8748,460,8288,0.6558,0.0928,0.7876,0.7511,0.0539,0.3348,0.5415
1.463477249872625,,8748,460,8288,0.6739,0.0969,0.801,0.764,0.0567,0.3326,0.5415
1.5870361405449915,,8748,460,8288,0.6922,0.1014,0.8143,0.7768,0.0599,0.3304,0.5415
1.732325534449899,,8748,460,8288,0.712,0.1045,0.8284,0.7904,0.0625,0.3196,0.5415
1.8244792251785356,,8748,460,8288,0.7303,0.1088,0.8411,0.8026,0.0658,0.313,0.5415
1.9566061706023925,,8748,460,8288,0.7497,0.1141,0.8542,0.8153,0.0701,0.3065,0.5415
2.0729928063145655,,8748,460,8288,0.7674,0.1141,0.8661,0.8266,0.0713,0.2848,0.5415
2.126471300565314,,8748,460,8288,0.7867,0.1206,0.8786,0.8388,0.077,0.2783,0.5415
2.262474986296388,,8748,460,8288,0.8056,0.1263,0.8906,0.8504,0.0827,0.2674,0.5415
2.390254408680619,,8748,460,8288,0.8244,0.1332,0.9023,0.8619,0.0899,0.2565,0.5415
2.555722138660687,,8748,460,8288,0.8427,0.1389,0.9134,0.8727,0.0975,0.2413,0.5415
2.811406086659159,,8748,460,8288,0.8611,0.1462,0.9244,0.8835,0.108,0.2261,0.5415
3.0894373520217253,,8748,460,8288,0.8802,0.1603,0.9355,0.8947,0.1269,0.2174,0.5415
3.5861476688928597,,8748,460,8288,0.8965,0.1566,0.9449,0.9034,0.137,0.1826,0.5415
4.464036721997306,,8748,460,8288,0.9136,0.1581,0.9545,0.9126,0.1621,0.1543,0.5415
5.644235854276599,,8748,460,8288,0.9297,0.1494,0.9633,0.9205,0.2053,0.1174,0.5415
6.859168999939317,,8748,460,8288,0.9401,0.0438,0.9691,0.9204,0.1364,0.0261,0.5415
