row_idx,col,y_true,y_pred,delta_score
20,title,-1,1,5.746203190540157
23,spec_upc,-1,1,6.144185634125648
24,title,-1,1,4.653960350157519
24,return_period_days,1,-1,0.0
24,spec_upc,-1,1,5.049856007249531
29,spec_upc,-1,1,6.144185634125648
32,title,-1,1,8.331345424845722
49,spec_model,-1,1,8.562166557058973
68,spec_ean,-1,1,6.71295620067707
75,title,-1,1,6.907755278982137
76,title,-1,1,6.907755278982137
83,seller_feedback_pct,1,1,6.224558429275362
83,return_period_days,1,-1,0.0
83,spec_brand,1,1,6.226042476047851
83,spec_model,1,1,7.176445645252315
86,return_period_days,1,-1,0.0
86,spec_brand,1,1,6.226042476047866
86,spec_ean,-1,1,5.330300412401101
86,spec_model,1,1,7.176445645252329
100,title,-1,1,8.365672383775006
107,spec_upc,-1,-1,0.0
109,title,-1,1,8.365672383775006
113,title,-1,1,8.365672383774992
121,spec_brand,-1,1,8.817890200945527
123,title,-1,1,5.746203190540157
127,title,-1,1,5.746203190540157
135,title,-1,1,5.056245805348297
135,spec_upc,-1,1,5.4531820771089485
136,seller_feedback_pct,-1,1,0.8465882882294267
138,title,-1,1,5.746203190540157
143,title,-1,1,5.746203190540143
148,title,-1,1,5.746203190540157
170,title,-1,1,8.331345424845722
176,seller_feedback_pct,-1,1,1.014575628795214
178,title,-1,1,7.232733136177615
178,seller_feedback_pct,1,1,6.319868609079691
178,return_period_days,1,-1,0.0
188,return_period_days,-1,1,2.6446692588698255
194,seller_feedback_pct,1,1,6.224558429275362
194,return_period_days,1,-1,0.0
194,spec_brand,1,1,6.226042476047866
194,spec_model,1,1,7.176445645252315
198,return_period_days,1,-1,0.0
198,spec_brand,1,1,6.513230110912318
198,spec_model,1,1,7.463936604468927
199,title,-1,1,6.21560759875527
199,return_period_days,-1,1,2.6390573296152553
208,seller_feedback_pct,1,1,6.224558429275362
208,return_period_days,1,-1,0.0
208,spec_brand,1,1,6.226042476047866
208,spec_model,1,1,7.176445645252329
217,title,-1,1,8.365672383774978
218,title,-1,1,8.365672383775006
220,spec_upc,-1,1,5.86078622346588
222,title,-1,1,8.365672383775006
224,title,-1,1,8.365672383774992
226,return_period_days,1,-1,0.0
226,spec_model,1,1,4.166665223801729
229,seller_feedback_pct,1,1,6.425229124737513
229,return_period_days,1,-1,0.0
231,title,-1,1,8.365672383774992
232,title,-1,1,7.672525203215045
232,spec_upc,-1,1,5.170483995038154
233,spec_upc,-1,1,5.86078622346588
234,return_period_days,1,-1,0.0
234,spec_model,1,1,4.166665223801729
243,title,-1,1,5.746203190540157
244,spec_upc,-1,-1,0.0
247,spec_brand,-1,1,8.817890200945513
249,spec_upc,-1,1,6.144185634125634
252,spec_upc,-1,1,6.144185634125648
254,seller_feedback_pct,-1,1,0.18061942872341774
257,spec_upc,-1,1,6.144185634125648
261,title,-1,1,5.746203190540143
263,spec_brand,-1,1,8.124891069834362
263,spec_model,-1,1,7.869210562810679
266,spec_upc,-1,1,6.144185634125648
271,title,-1,1,8.331345424845722
277,title,-1,1,8.331345424845722
279,title,-1,1,8.331345424845722
293,seller_feedback_pct,-1,1,4.65216178852161
295,title,-1,1,7.638198244285789
295,spec_brand,-1,1,8.124891069834362
301,title,-1,1,6.907755278982137
313,title,-1,1,6.907755278982137
319,title,-1,1,6.907755278982137
325,return_period_days,1,-1,0.0
325,spec_brand,1,1,6.513230110912303
325,spec_model,1,1,7.463936604468927
326,seller_feedback_pct,1,1,6.224558429275362
326,return_period_days,1,-1,0.0
326,spec_brand,1,1,6.226042476047851
326,spec_model,1,1,7.176445645252315
335,return_period_days,1,-1,0.0
335,spec_brand,-1,1,8.124891069834348
343,return_period_days,1,-1,0.0
343,spec_model,1,1,4.166665223801729
345,spec_upc,-1,1,5.860786223465865
356,spec_upc,-1,-1,0.0
364,title,-1,1,5.746203190540157
366,spec_model,-1,1,8.562166557058958
367,title,-1,1,5.746203190540172
368,spec_upc,-1,1,6.144185634125634
372,seller_feedback_pct,1,1,6.152307072224815
372,return_period_days,1,-1,0.0
372,spec_model,1,1,7.463936604468927
373,description_length,-1,1,7.965892735084523
376,spec_upc,-1,1,6.144185634125648
377,spec_brand,-1,1,8.817890200945513
380,title,-1,1,5.746203190540157
381,spec_upc,-1,1,6.144185634125634
393,title,-1,1,8.331345424845722
398,title,-1,1,8.331345424845722
403,spec_model,-1,1,8.562166557058973
405,title,-1,1,8.331345424845722
412,title,-1,1,8.331345424845722
419,title,-1,1,6.907755278982151
422,return_period_days,1,-1,0.0
422,spec_brand,1,1,6.513230110912332
422,spec_model,1,1,7.463936604468927
423,title,-1,1,6.907755278982137
427,title,-1,1,6.907755278982137
430,seller_feedback_pct,1,1,6.224558429275362
430,return_period_days,1,-1,0.0
430,spec_brand,1,1,6.226042476047866
430,spec_model,1,1,7.176445645252315
433,return_period_days,-1,1,2.6446692588698113
439,title,-1,1,6.907755278982137
440,return_period_days,-1,1,2.6446692588698255
449,title,-1,1,8.365672383775006
451,return_period_days,1,-1,0.0
451,spec_model,1,1,4.166665223801729
453,return_period_days,1,-1,0.0
455,return_period_days,1,-1,0.0
460,title,-1,1,7.672525203215045
460,return_period_days,1,-1,0.0
461,return_period_days,1,-1,0.0
461,spec_brand,1,1,6.9182005368436705
464,seller_feedback_pct,-1,1,1.8448071084386157
465,return_period_days,1,-1,0.0
465,spec_model,1,1,4.166665223801743
472,title,-1,1,8.336390480591561
488,title,-1,1,8.256607344626161
494,title,-1,1,8.256607344626161
500,spec_brand,-1,1,8.101677747454573
501,spec_upc,-1,1,8.546751993657779
532,spec_model,-1,1,8.513385953073282
540,return_period_days,1,1,1.2269848148653466
540,spec_brand,1,1,7.003065458786466
540,spec_model,1,1,7.381501894506698
544,title,-1,1,8.231376045573967
552,spec_ean,-1,1,0.8421827597204299
555,title,-1,1,8.236950048061445
556,title,-1,1,8.236950048061445
557,spec_model,-1,1,8.483222671845084
558,title,-1,1,8.231376045573974
559,title,-1,1,8.236950048061445
563,title,-1,1,8.240912541688886
589,spec_style,-1,1,6.0112671744041535
590,spec_upc,-1,-1,0.0
603,spec_upc,-1,1,8.546751993657786
606,spec_upc,-1,1,8.546751993657779
617,title,-1,1,8.256607344626147
619,spec_upc,-1,1,8.546751993657779
620,spec_upc,-1,-1,0.0
621,seller_feedback_pct,-1,1,0.021451926717944048
633,category,-1,-1,0.0
634,title,-1,1,8.227375506834036
635,title,-1,1,8.227375506834036
638,title,1,-1,0.0
638,return_period_days,1,-1,0.0
641,category,-1,-1,0.0
650,category,-1,-1,0.0
651,spec_ean,-1,1,6.98378996525814
654,category,-1,-1,0.0
655,category,-1,-1,0.0
658,category,-1,-1,0.0
658,return_period_days,-1,-1,0.0
659,spec_brand,1,1,6.4478339850779065
659,spec_ean,-1,-1,0.0
659,spec_model,1,1,6.784079917620929
661,category,-1,-1,0.0
661,return_period_days,-1,-1,0.0
662,spec_brand,1,1,6.447833985077892
662,spec_ean,-1,1,7.09257371597468
662,spec_model,1,1,6.784079917620915
665,spec_ean,-1,-1,0.0
666,title,-1,1,8.2409125416889
670,spec_ean,-1,1,8.187021067343508
671,title,-1,1,7.538228865014027
671,spec_ean,-1,-1,0.0
673,title,-1,-1,0.0
676,spec_brand,1,1,6.4478339850779065
676,spec_ean,-1,1,7.09257371597468
676,spec_model,1,1,6.784079917620915
677,spec_ean,-1,1,8.187021067343494
684,spec_brand,-1,1,8.101677747454573
685,spec_brand,-1,1,8.101677747454573
686,spec_brand,-1,1,8.101677747454573
688,spec_brand,-1,1,8.101677747454573
689,spec_brand,-1,1,8.101677747454573
690,spec_brand,-1,1,8.101677747454573
691,spec_brand,-1,1,8.101677747454573
693,spec_brand,-1,1,8.101677747454573
695,spec_brand,-1,1,8.101677747454573
711,category,-1,-1,0.0
712,category,-1,-1,0.0
713,category,-1,-1,0.0
713,return_period_days,1,-1,0.0
713,spec_model,1,-1,0.0
714,category,-1,-1,0.0
715,category,-1,-1,0.0
716,category,-1,-1,0.0
717,category,-1,-1,0.0
718,category,-1,-1,0.0
719,category,-1,-1,0.0
720,category,-1,-1,0.0
721,title,-1,1,7.412764017426554
721,category,-1,-1,0.0
722,category,-1,-1,0.0
723,category,-1,-1,0.0
724,title,-1,1,7.412764017426554
724,category,-1,-1,0.0
725,category,-1,-1,0.0
726,category,-1,-1,0.0
727,category,-1,-1,0.0
728,category,-1,-1,0.0
729,category,-1,-1,0.0
730,category,-1,-1,0.0
731,category,-1,-1,0.0
732,category,-1,-1,0.0
733,category,-1,-1,0.0
734,category,-1,-1,0.0
735,category,-1,-1,0.0
736,category,-1,-1,0.0
737,category,-1,-1,0.0
738,category,-1,-1,0.0
739,category,-1,-1,0.0
740,category,-1,-1,0.0
741,category,-1,-1,0.0
742,category,-1,-1,0.0
743,category,-1,-1,0.0
744,category,-1,-1,0.0
745,title,-1,1,3.433987204485149
745,category,-1,-1,0.0
746,category,-1,-1,0.0
746,spec_ean,-1,-1,0.0
747,category,-1,-1,0.0
748,category,-1,-1,0.0
749,category,-1,-1,0.0
750,title,-1,1,3.433987204485149
750,category,-1,-1,0.0
751,category,-1,-1,0.0
752,category,-1,-1,0.0
753,category,-1,-1,0.0
754,category,-1,-1,0.0
755,category,-1,-1,0.0
756,category,-1,-1,0.0
757,title,-1,1,3.433987204485163
757,category,-1,-1,0.0
758,category,-1,-1,0.0
759,category,-1,-1,0.0
760,title,-1,1,3.433987204485149
760,category,-1,-1,0.0
761,title,-1,1,3.433987204485149
761,category,-1,-1,0.0
762,title,-1,1,3.433987204485163
762,category,-1,-1,0.0
763,category,-1,-1,0.0
764,category,-1,-1,0.0
765,category,-1,-1,0.0
766,category,-1,-1,0.0
767,category,-1,-1,0.0
768,category,-1,-1,0.0
768,return_period_days,1,-1,0.0
769,category,-1,-1,0.0
