threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
0.0,,8026,1366,6660,0.666,0.3696,0.7728,0.7042,0.2723,0.5754,0.5828
2.6446692588698113,,8026,1366,6660,0.6711,0.3669,0.7778,0.7079,0.2728,0.56,0.5828
4.426312172467654,,8026,1366,6660,0.6849,0.3701,0.7899,0.7185,0.2805,0.5439,0.5828
5.710669909665846,,8026,1366,6660,0.695,0.3648,0.7993,0.7254,0.2826,0.5146,0.5828
6.137547052285726,,8026,1366,6660,0.6927,0.3292,0.8007,0.7205,0.2619,0.4429,0.5828
6.273254293854919,,8026,1366,6660,0.6799,0.2712,0.7949,0.7058,0.2214,0.3499,0.5828
6.4963978451691275,,8026,1366,6660,0.6626,0.1926,0.7867,0.6856,0.1625,0.2365,0.5828
6.632660322035832,,8026,1366,6660,0.6707,0.1743,0.7943,0.6888,0.152,0.2042,0.5828
6.784079917620915,,8026,1366,6660,0.6665,0.1197,0.7943,0.6794,0.1087,0.1332,0.5828
7.086737934510566,,8026,1366,6660,0.6651,0.0673,0.7959,0.6719,0.064,0.071,0.5828
7.186901020411625,,8026,1366,6660,0.6769,0.04,0.8058,0.6754,0.0404,0.0395,0.5828
7.325807502595779,,8026,1366,6660,0.6949,0.0332,0.8188,0.6851,0.036,0.0307,0.5828
7.394416266892637,,8026,1366,6660,0.7067,0.0232,0.8274,0.6906,0.0268,0.0205,0.5828
7.7195739892595725,,8026,1366,6660,0.7223,0.0054,0.8386,0.6968,0.0069,0.0044,0.5828
7.879669914604278,,8026,1366,6660,0.7408,0.0,0.8511,0.7063,0.0,0.0,0.5828
8.030734924098539,,8026,1366,6660,0.7649,0.0,0.8668,0.7193,0.0,0.0,0.5828
8.124891069834348,,8026,1366,6660,0.783,0.0,0.8783,0.7288,0.0,0.0,0.5828
8.413830678421082,,8026,1366,6660,0.7998,0.0,0.8888,0.7375,0.0,0.0,0.5828
8.659907293615419,,8026,1366,6660,0.8228,0.0,0.9028,0.7491,0.0,0.0,0.5828
