row_idx,col,y_true,y_pred,delta_score
0,subject_entity,1,1,0.02687301825109678
0,subject_type,1,-1,0.0
0,subject_location,1,-1,0.0
0,value,1,-1,-0.1343480525310783
0,claim_domain,1,-1,0.0
1,subject_entity,1,-1,-0.7041970167465301
1,subject_type,1,-1,0.0
1,subject_location,1,-1,0.0
1,value,1,-1,0.0
1,claim_domain,1,-1,0.0
2,subject_entity,1,-1,0.0
2,subject_type,1,-1,0.0
2,subject_location,1,1,2.6764448616868783
2,value,1,1,0.07061756721395263
2,claim_domain,1,-1,0.0
3,subject_entity,1,-1,-0.7308875085427928
3,subject_type,1,-1,0.0
3,subject_location,1,1,1.9819862055291226
3,value,1,-1,-1.2114916367399635
3,claim_domain,1,-1,0.0
4,subject_entity,1,1,0.6359887667199962
4,subject_type,1,-1,0.0
4,subject_location,1,1,0.3934889170614486
4,value,1,1,0.34174929372205654
4,claim_domain,1,-1,0.0
5,subject_entity,1,-1,-0.6931471805599454
5,subject_type,1,-1,0.0
5,subject_location,1,-1,-0.45953232937844035
5,value,1,1,0.10536051565782678
5,claim_domain,1,-1,0.0
6,subject_entity,1,-1,-3.2771447329921752
6,subject_type,1,-1,0.0
6,subject_location,1,1,1.1139972075075892
6,value,1,-1,-2.069391205826335
6,claim_domain,1,-1,0.0
7,subject_entity,1,1,2.5839975524322307
7,subject_type,1,-1,0.0
7,subject_location,1,-1,-0.9614111671546253
7,value,1,-1,-0.07447609290148272
7,claim_domain,1,-1,0.0
8,subject_entity,1,1,0.4035364672017572
8,subject_type,1,1,0.9736312784893997
8,subject_location,1,-1,-1.1732738174371296
8,value,1,1,2.4183458832696614
8,claim_domain,1,-1,0.0
9,subject_entity,1,1,0.32047189527477205
9,subject_type,1,-1,-1.0192755464315884
9,subject_location,1,1,1.3791258716412775
9,value,1,1,0.12629372532429262
9,claim_domain,1,-1,0.0
10,subject_entity,1,1,0.6747304537737149
10,subject_type,1,-1,0.0
10,subject_location,1,1,1.8899514954072707
10,value,1,1,1.0033021088637852
10,claim_domain,1,-1,0.0
11,subject_entity,1,-1,-2.9195709125884273
11,subject_type,1,-1,0.0
11,subject_location,1,-1,-0.17159095444886763
