threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-2.812651857558887,,2245,2245,0,0.9898,0.9949,0.0,0.9949,1.0,0.9898,
-2.046651718856845,,2245,2245,0,0.9693,0.9844,0.0,0.9844,1.0,0.9693,
-1.638995597507308,,2245,2245,0,0.9497,0.9742,0.0,0.9742,1.0,0.9497,
-1.3277623342058782,,2245,2245,0,0.9296,0.9635,0.0,0.9635,1.0,0.9296,
-1.110464171712905,,2245,2245,0,0.91,0.9529,0.0,0.9529,1.0,0.91,
-1.0192755464315884,,2245,2245,0,0.8699,0.9304,0.0,0.9304,1.0,0.8699,
-1.0192755464315881,,2245,2245,0,0.8699,0.9304,0.0,0.9304,1.0,0.8699,
-0.8313372669405099,,2245,2245,0,0.8499,0.9189,0.0,0.9189,1.0,0.8499,
-0.7029098552188172,,2245,2245,0,0.8298,0.907,0.0,0.907,1.0,0.8298,
-0.597516412860265,,2245,2245,0,0.8098,0.8949,0.0,0.8949,1.0,0.8098,
-0.5212318791887189,,2245,2245,0,0.7898,0.8825,0.0,0.8825,1.0,0.7898,
-0.42250129526073266,,2245,2245,0,0.7697,0.8699,0.0,0.8699,1.0,0.7697,
-0.3305637999350459,,2245,2245,0,0.7492,0.8566,0.0,0.8566,1.0,0.7492,
-0.258432396592394,,2245,2245,0,0.7301,0.844,0.0,0.844,1.0,0.7301,
-0.20875060826228672,,2245,2245,0,0.71,0.8304,0.0,0.8304,1.0,0.71,
-0.12813338074761374,,2245,2245,0,0.69,0.8166,0.0,0.8166,1.0,0.69,
-0.06518623620684648,,2245,2245,0,0.6699,0.8023,0.0,0.8023,1.0,0.6699,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.0,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.009081169527540393,,2245,2245,0,0.3902,0.5614,0.0,0.5614,1.0,0.3902,
0.07500182701712867,,2245,2245,0,0.3702,0.5403,0.0,0.5403,1.0,0.3702,
0.1527283888150297,,2245,2245,0,0.3501,0.5186,0.0,0.5186,1.0,0.3501,
0.23279171341827792,,2245,2245,0,0.3301,0.4963,0.0,0.4963,1.0,0.3301,
0.30705878455553876,,2245,2245,0,0.31,0.4733,0.0,0.4733,1.0,0.31,
0.3791596513500139,,2245,2245,0,0.29,0.4496,0.0,0.4496,1.0,0.29,
0.4172132620153707,,2245,2245,0,0.2699,0.4251,0.0,0.4251,1.0,0.2699,
0.5002435144354536,,2245,2245,0,0.2499,0.3999,0.0,0.3999,1.0,0.2499,
0.5958687729305723,,2245,2245,0,0.2294,0.3732,0.0,0.3732,1.0,0.2294,
0.6831968497067766,,2245,2245,0,0.2098,0.3468,0.0,0.3468,1.0,0.2098,
0.7960045659996533,,2245,2245,0,0.1898,0.319,0.0,0.319,1.0,0.1898,
0.9482778905099815,,2245,2245,0,0.1702,0.2908,0.0,0.2908,1.0,0.1702,
0.9736312784893997,,2245,2245,0,0.1461,0.255,0.0,0.255,1.0,0.1461,
0.9982760857073195,,2245,2245,0,0.1301,0.2302,0.0,0.2302,1.0,0.1301,
1.2338419849383333,,2245,2245,0,0.11,0.1982,0.0,0.1982,1.0,0.11,
1.3291947275991167,,2245,2245,0,0.09,0.1651,0.0,0.1651,1.0,0.09,
1.6608188450876846,,2245,2245,0,0.0704,0.1315,0.0,0.1315,1.0,0.0704,
1.7963152857639155,,2245,2245,0,0.0468,0.0894,0.0,0.0894,1.0,0.0468,
2.0905355734841864,,2245,2245,0,0.0303,0.0588,0.0,0.0588,1.0,0.0303,
2.754570216737103,,2245,2245,0,0.008,0.0159,0.0,0.0159,1.0,0.008,
