threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-2.873817891108999,,1043,419,624,0.3969,0.5665,0.0094,0.2332,0.3983,0.9809,0.7355
-1.8377368916160604,,1043,419,624,0.3979,0.5608,0.0427,0.2508,0.3966,0.957,0.7355
-1.4583886044523946,,1043,419,624,0.4027,0.5578,0.0798,0.2718,0.397,0.9379,0.7355
-1.108713602797041,,1043,419,624,0.4123,0.5587,0.1205,0.2965,0.4,0.926,0.7355
-0.8820993675458026,,1043,419,624,0.4209,0.5585,0.1588,0.3193,0.4025,0.9117,0.7355
-0.7793974663902072,,1043,419,624,0.4295,0.5583,0.1949,0.3409,0.4052,0.8974,0.7355
-0.6589646678837137,,1043,419,624,0.4362,0.5566,0.2263,0.359,0.4068,0.8807,0.7355
-0.5595890437846818,,1043,419,624,0.4372,0.5502,0.2484,0.3696,0.4052,0.8568,0.7355
-0.5101025351417374,,1043,419,624,0.4286,0.5358,0.2569,0.3689,0.3977,0.821,0.7355
-0.33985396685702796,,1043,419,624,0.4238,0.5241,0.2697,0.3719,0.3922,0.79,0.7355
-0.19530428181795284,,1043,419,624,0.4314,0.5229,0.2966,0.3875,0.3944,0.7757,0.7355
-0.06819463353732994,,1043,419,624,0.4497,0.5303,0.3356,0.4138,0.4035,0.7733,0.7355
-0.014454010840729836,,1043,419,624,0.4679,0.5379,0.3729,0.4392,0.413,0.7709,0.7355
-0.008378487492910864,,1043,419,624,0.4861,0.5458,0.4084,0.4636,0.4231,0.7685,0.7355
-0.002749148954241071,,1043,419,624,0.5062,0.5557,0.4444,0.4891,0.4351,0.7685,0.7355
-0.0010373771261079244,,1043,419,624,0.5264,0.5659,0.4789,0.5139,0.4478,0.7685,0.7355
0.0,,1043,419,624,0.558,0.5828,0.5301,0.5513,0.4694,0.7685,0.7355
0.0013591529850492273,,1043,419,624,0.5657,0.5871,0.542,0.5601,0.4749,0.7685,0.7355
0.0027870326614812613,,1043,419,624,0.5858,0.5985,0.5723,0.5828,0.4901,0.7685,0.7355
0.008806260149520923,,1043,419,624,0.6059,0.6104,0.6014,0.605,0.5063,0.7685,0.7355
0.02120445623431889,,1043,419,624,0.6222,0.619,0.6255,0.6229,0.5203,0.7637,0.7355
0.08073742713664513,,1043,419,624,0.6366,0.6259,0.6468,0.6384,0.5337,0.7566,0.7355
0.25536770769697203,,1043,419,624,0.6539,0.6365,0.6697,0.6564,0.5505,0.7542,0.7355
0.44526029285682367,,1043,419,624,0.6683,0.644,0.6894,0.6712,0.566,0.747,0.7355
0.6097366924769612,,1043,419,624,0.6865,0.6562,0.7119,0.6895,0.5865,0.7446,0.7355
0.7338928153212275,,1043,419,624,0.7028,0.6667,0.7318,0.7057,0.6067,0.7399,0.7355
0.9376684143189057,,1043,419,624,0.721,0.6799,0.7528,0.7235,0.6306,0.7375,0.7355
1.1378008333675749,,1043,419,624,0.7392,0.6937,0.773,0.7411,0.6567,0.7351,0.7355
1.7182187029748826,,1043,419,624,0.7546,0.7051,0.7898,0.7558,0.6815,0.7303,0.7355
1.8624614824028176,,1043,419,624,0.7728,0.7202,0.8087,0.7732,0.7126,0.7279,0.7355
3.709193626261029,,1043,419,624,0.7929,0.7385,0.8286,0.7924,0.7494,0.7279,0.7355
6.852242569051882,,1043,419,624,0.814,0.7587,0.8487,0.8125,0.7922,0.7279,0.7355
7.075808863978384,,1043,419,624,0.7987,0.7294,0.8397,0.7954,0.7927,0.6754,0.7355
7.075808863978388,,1043,419,624,0.7632,0.6639,0.8172,0.7556,0.7722,0.5823,0.7355
7.075808863978388,,1043,419,624,0.7632,0.6639,0.8172,0.7556,0.7722,0.5823,0.7355
7.363490936430166,,1043,419,624,0.7536,0.6323,0.8147,0.7414,0.7893,0.5274,0.7355
7.363490936430166,,1043,419,624,0.7536,0.6323,0.8147,0.7414,0.7893,0.5274,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430168,,1043,419,624,0.6596,0.3107,0.774,0.5879,0.8333,0.1909,0.7355
7.363490936430169,,1043,419,624,0.6606,0.3004,0.7759,0.5849,0.8736,0.1814,0.7355
7.363490936430171,,1043,419,624,0.6453,0.2355,0.769,0.5547,0.8769,0.136,0.7355
7.768956044538331,,1043,419,624,0.6136,0.0862,0.755,0.4863,0.8636,0.0453,0.7355
7.768956044538331,,1043,419,624,0.6136,0.0862,0.755,0.4863,0.8636,0.0453,0.7355
7.768956044538333,,1043,419,624,0.6012,0.0142,0.75,0.4544,1.0,0.0072,0.7355
