row_idx,col,y_true,y_pred,delta_score
8,description_length,1,-1,-0.6698127884981728
8,name_length,1,1,0.4694869668730952
20,statuses_count,1,1,0.8226052477968313
20,description_length,1,1,0.2269579233896799
24,statuses_count,1,1,1.5804503755608472
44,statuses_count,-1,1,0.06232546319782806
57,listed_count,1,1,0.4979986102062366
57,description_length,1,1,0.7488948252968761
63,description_length,-1,1,0.5211694945155596
67,description_length,-1,1,5.5514079942302
70,friends_count,-1,1,3.8856790300885438
71,statuses_count,1,1,0.8332625422708198
71,name_length,1,-1,-2.956991445237559
73,protected,-1,-1,0.0
74,description_length,-1,1,0.588417778839128
83,friends_count,-1,1,3.8160626142822345
92,followers_count,-1,1,3.982936511934426
92,listed_count,-1,1,0.5085372932479775
92,protected,-1,-1,0.0
97,followers_count,-1,1,3.4036334364600354
100,followers_count,-1,1,3.114057167798542
104,protected,-1,-1,0.0
104,name_length,-1,1,0.5006573703367385
111,statuses_count,1,1,1.1957760371217567
112,friends_count,-1,1,4.079230924412052
115,statuses_count,1,1,1.6860977941040183
115,listed_count,1,1,0.46056378898510353
118,followers_count,-1,1,3.9188290598971456
132,friends_count,1,1,2.2528193493672486
132,statuses_count,1,1,0.8662803112994926
135,name_length,-1,1,0.4912474610716657
139,listed_count,-1,1,0.4057376248014979
140,description_length,-1,1,6.410174881966167
143,description_length,1,-1,-0.3439977258775162
144,statuses_count,1,1,0.3695991949196671
144,name_length,1,-1,-1.3613554127726388
147,statuses_count,1,1,0.7847398839641375
159,statuses_count,1,1,1.4913499522441747
159,description_length,1,-1,-0.3248731007778609
161,name_length,-1,1,0.45953232937844035
163,description_length,-1,1,0.748754122097842
165,followers_count,-1,1,3.5097236128580054
175,followers_count,-1,1,1.3862943611198908
182,description_length,-1,1,5.486179103717607
187,name_length,-1,1,0.40546510810816727
201,statuses_count,1,1,2.0814802783696837
206,verified,-1,-1,0.0
216,friends_count,-1,1,3.4641721808235424
219,followers_count,-1,1,1.3862943611198908
222,listed_count,-1,1,0.3386891443607354
232,listed_count,-1,-1,0.0
234,description_length,-1,1,2.1972245773362182
237,listed_count,-1,-1,0.0
237,description_length,-1,1,6.149180293099736
241,friends_count,-1,-1,-0.022901764286684667
243,friends_count,1,1,1.478393052379582
243,statuses_count,1,1,1.901986174537054
249,friends_count,-1,1,3.13440666824175
253,statuses_count,-1,1,4.06950147534808
257,followers_count,-1,1,3.955923184303387
258,name_length,1,-1,-0.8332487391720242
259,friends_count,1,1,1.5362870307984835
259,statuses_count,1,1,2.151005630497819
260,listed_count,-1,1,0.39532942347406674
267,description_length,-1,1,6.4101748819661655
275,statuses_count,1,1,1.3893509096024408
284,friends_count,-1,1,2.2055233801509146
287,statuses_count,1,1,1.8145333938766068
287,listed_count,1,1,0.42113686900564495
290,description_length,-1,1,4.888612514181837
298,verified,-1,-1,0.0
300,statuses_count,1,1,2.131142916056726
310,followers_count,-1,1,1.7245072422188876
312,friends_count,-1,-1,-0.0037807228399060477
318,verified,-1,-1,0.0
319,friends_count,-1,1,3.7019190676217395
320,followers_count,-1,1,3.60334689856208
320,statuses_count,-1,1,2.9690640264718304
320,description_length,1,-1,-0.32606286891344993
322,friends_count,-1,-1,-0.9669882015998539
324,friends_count,-1,1,3.604138225658847
325,statuses_count,1,1,0.8226052477968331
325,description_length,1,1,0.8635609996049478
327,friends_count,-1,1,3.419364685617605
332,statuses_count,1,1,1.116074115831772
332,listed_count,1,1,0.46056378898510353
343,listed_count,-1,-1,0.0
344,protected,-1,-1,0.0
353,friends_count,-1,1,2.6192189873955947
358,name_length,-1,1,1.043383530720324
360,verified,-1,-1,0.0
361,listed_count,-1,1,0.22722352433412496
371,protected,-1,-1,0.0
374,friends_count,-1,1,2.5687881337687006
376,followers_count,-1,1,4.039622203180032
388,statuses_count,1,1,1.8883057431329089
392,listed_count,-1,1,0.3386891443607354
396,followers_count,-1,1,3.773601627509432
399,verified,-1,-1,0.0
406,description_length,1,1,0.3864385508996939
406,name_length,1,-1,-0.24490504309572358
409,name_length,-1,1,3.246490991901174
411,statuses_count,-1,1,3.024481686839975
414,listed_count,-1,-1,0.0
414,verified,-1,-1,0.0
424,protected,-1,-1,0.0
427,listed_count,-1,1,0.04006946287023361
430,statuses_count,1,1,1.744396857049809
431,statuses_count,-1,1,3.740240313786469
431,verified,-1,-1,0.0
438,verified,-1,-1,0.0
440,statuses_count,-1,1,1.2992829841302598
450,statuses_count,1,1,0.5717863235556777
451,friends_count,-1,1,2.2617630984737893
456,statuses_count,-1,1,0.10183430588126718
466,statuses_count,-1,1,3.8525088778957386
474,listed_count,-1,1,0.5406304880243411
491,description_length,-1,1,5.1704839950381505
495,friends_count,-1,1,3.6938669956249743
504,protected,-1,-1,0.0
508,protected,-1,-1,0.0
509,statuses_count,-1,1,4.177800242491876
512,friends_count,-1,-1,-0.6134551409125848
520,followers_count,-1,1,3.9582547311744722
525,followers_count,-1,1,2.766472495222345
530,friends_count,1,1,1.599429488607262
530,statuses_count,1,1,1.2003075589276406
538,friends_count,-1,1,4.002777368696609
544,statuses_count,1,1,2.1287174964830626
551,listed_count,-1,-1,-0.034289073478632304
554,description_length,-1,1,6.229496710915942
566,description_length,1,-1,-0.3236819154077075
567,followers_count,-1,1,2.082485684061062
569,statuses_count,-1,1,3.9692431457580373
570,statuses_count,1,1,0.9695412932378744
573,followers_count,-1,1,4.0244802309850085
576,statuses_count,1,1,1.8987513066179664
578,listed_count,1,1,0.2328997262595749
578,name_length,1,-1,-1.1265410641931197
581,followers_count,-1,-1,-0.38154052202291666
586,followers_count,-1,1,3.6803062234034467
589,statuses_count,1,1,1.8547724370567895
589,listed_count,1,1,0.5088629145981436
595,friends_count,-1,1,3.8077729840543455
597,verified,-1,-1,0.0
598,statuses_count,1,1,1.5568600963541925
598,description_length,1,-1,-0.3248731007778609
605,statuses_count,-1,1,0.17742130197611417
613,verified,-1,-1,0.0
613,description_length,-1,1,4.310799125385513
627,description_length,1,-1,-0.3236819154077075
631,followers_count,-1,-1,-0.03315220731690083
632,friends_count,-1,1,3.8259203063747336
634,friends_count,-1,1,3.3995700420027806
634,name_length,-1,1,1.0414538748281608
636,friends_count,-1,-1,-0.013513719166720506
636,name_length,-1,1,0.4372138064227453
642,statuses_count,-1,1,0.05129329438755015
656,statuses_count,1,1,0.2856391708219803
657,statuses_count,1,1,1.7147167921067386
668,followers_count,-1,1,3.495028271255891
672,followers_count,-1,1,3.560775483224779
672,description_length,-1,1,0.45000688373095166
675,description_length,-1,1,5.95151023160095
695,statuses_count,-1,1,4.110873864173311
702,statuses_count,1,1,1.882377703148677
702,description_length,1,-1,-0.3248731007778609
703,statuses_count,1,1,1.9814236176099236
712,friends_count,-1,1,1.9387416595766993
715,statuses_count,1,1,1.8032577359154303
723,description_length,-1,1,0.5089707327440411
725,verified,-1,-1,0.0
732,statuses_count,-1,1,3.648491393208648
733,friends_count,1,1,1.2686409851071243
733,statuses_count,1,1,1.3923734071962723
739,listed_count,-1,1,0.5091889621895227
743,listed_count,-1,1,0.5543455292063069
746,listed_count,-1,1,0.41873185203427177
748,description_length,-1,1,0.12973130544105693
750,statuses_count,-1,1,3.710178782145327
754,statuses_count,1,1,1.2903742392411512
754,description_length,1,-1,-0.6500370569062177
755,name_length,-1,1,0.469796825398447
756,protected,-1,-1,0.0
759,statuses_count,-1,1,0.04405998979402881
760,verified,-1,-1,0.0
761,followers_count,-1,1,3.353747781949168
766,followers_count,-1,1,2.4828720610902124
767,statuses_count,1,1,0.5555258026838974
774,verified,-1,-1,0.0
795,followers_count,-1,1,0.9685591604199111
804,followers_count,-1,1,3.0686199893024835
807,statuses_count,1,1,1.4174370084757442
812,friends_count,1,1,0.839562028890656
812,statuses_count,1,1,2.0552696268361945
814,friends_count,1,1,1.5191772032320259
814,statuses_count,1,1,1.5721665176368678
817,followers_count,-1,-1,-0.041549002912873334
826,followers_count,-1,1,3.738250169823621
831,statuses_count,1,1,0.6571123981712894
845,description_length,-1,1,4.32111788158689
849,name_length,1,1,1.5046038511185191
852,verified,-1,-1,0.0
853,description_length,-1,1,6.732210706467203
856,statuses_count,1,1,1.4152240594205825
856,description_length,1,-1,-0.32606286891344993
856,name_length,-1,1,0.4620757813642715
863,friends_count,-1,1,3.7830526241311855
868,statuses_count,1,1,0.6013003840688391
882,friends_count,-1,1,3.248434627109745
883,description_length,1,-1,-0.3248731007778609
883,name_length,1,-1,-0.20696709584536244
889,listed_count,-1,-1,-0.5073018345672491
890,statuses_count,-1,1,0.14258471459695699
894,verified,-1,-1,0.0
909,protected,-1,-1,0.0
913,friends_count,-1,-1,-0.8641873928898605
914,verified,-1,-1,0.0
918,friends_count,-1,1,3.7037680666076866
924,name_length,-1,1,0.46257367274195005
932,friends_count,-1,-1,-0.01248455666224757
938,verified,-1,-1,0.0
948,statuses_count,1,1,1.004926804590787
948,description_length,1,1,0.017629117349503787
951,followers_count,-1,1,3.9652169314948456
953,followers_count,-1,-1,-0.06010392406970766
954,friends_count,-1,1,1.956567443529302
964,description_length,-1,1,0.4907347795281778
966,name_length,-1,1,0.4375826619982721
971,listed_count,-1,1,0.6233070865972152
973,description_length,-1,1,0.8640353747500527
974,protected,-1,-1,0.0
986,statuses_count,1,1,1.315775936324103
986,name_length,-1,1,0.459225520408447
987,followers_count,-1,1,3.938023507153293
990,listed_count,-1,1,0.3386891443607336
991,statuses_count,1,1,1.2280703559049968
991,listed_count,1,1,0.33845439782520614
