threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-0.8646647162659141,,1099,343,756,0.3076,0.4682,0.0078,0.1515,0.3079,0.9767,0.3987
-0.6506703883883147,,1099,343,756,0.3112,0.4627,0.0406,0.1723,0.3058,0.9504,0.3987
-0.38284895917615486,,1099,343,756,0.3239,0.4643,0.0838,0.2026,0.3084,0.9388,0.3987
-0.3248731007778609,,1099,343,756,0.2948,0.4272,0.0828,0.1903,0.2861,0.8426,0.3987
-0.30928428193830154,,1099,343,756,0.2857,0.4155,0.0819,0.186,0.279,0.8134,0.3987
-0.07227374632990756,,1099,343,756,0.2894,0.4088,0.1095,0.2029,0.2761,0.7872,0.3987
-0.019111897041330008,,1099,343,756,0.3076,0.4142,0.1535,0.2349,0.2814,0.7843,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0,,1099,343,756,0.454,0.4718,0.435,0.4465,0.338,0.7813,0.3987
0.0849118893202976,,1099,343,756,0.4622,0.4737,0.4502,0.4576,0.341,0.7755,0.3987
0.22324886435732694,,1099,343,756,0.4741,0.4745,0.4736,0.4739,0.3448,0.7609,0.3987
0.3066785851664748,,1099,343,756,0.4823,0.4727,0.4915,0.4856,0.3465,0.7434,0.3987
0.3888094991537315,,1099,343,756,0.4823,0.4617,0.5013,0.4889,0.3417,0.7114,0.3987
0.43896610325706775,,1099,343,756,0.4859,0.4541,0.5142,0.4954,0.3396,0.6851,0.3987
0.46113177715341386,,1099,343,756,0.495,0.4521,0.5316,0.5068,0.3418,0.6676,0.3987
0.49165140797829665,,1099,343,756,0.5023,0.448,0.5468,0.516,0.3426,0.6472,0.3987
0.5399275864731551,,1099,343,756,0.5041,0.4376,0.5566,0.5194,0.3387,0.6181,0.3987
0.5949646442125666,,1099,343,756,0.5005,0.4203,0.5612,0.5172,0.3295,0.5802,0.3987
0.6755464116627555,,1099,343,756,0.5023,0.4086,0.5703,0.5199,0.3247,0.551,0.3987
0.7487569361618227,,1099,343,756,0.5114,0.4053,0.5853,0.5291,0.3268,0.5335,0.3987
0.8460620625665592,,1099,343,756,0.5068,0.3855,0.5881,0.5249,0.3154,0.4956,0.3987
1.0040272375156194,,1099,343,756,0.5014,0.3628,0.5904,0.5194,0.3017,0.4548,0.3987
1.1686074765679162,,1099,343,756,0.4886,0.3294,0.5868,0.5064,0.2788,0.4023,0.3987
1.298972218186896,,1099,343,756,0.4722,0.2892,0.5803,0.4895,0.2495,0.344,0.3987
1.409095537742547,,1099,343,756,0.4595,0.2519,0.5769,0.4755,0.2217,0.2915,0.3987
1.5238504912718749,,1099,343,756,0.4449,0.2098,0.5722,0.4591,0.1888,0.2362,0.3987
1.6636514374262241,,1099,343,756,0.434,0.1707,0.5704,0.4457,0.1572,0.1866,0.3987
1.8382348211437312,,1099,343,756,0.4195,0.1236,0.566,0.4279,0.1169,0.1312,0.3987
1.9761335708439267,,1099,343,756,0.4031,0.0708,0.5603,0.4075,0.0689,0.0729,0.3987
2.1369187763938045,,1099,343,756,0.3922,0.0234,0.5588,0.3917,0.0235,0.0233,0.3987
2.470722453589615,,1099,343,756,0.3976,0.0,0.569,0.3914,0.0,0.0,0.3987
2.8706317048923697,,1099,343,756,0.4177,0.0,0.5892,0.4053,0.0,0.0,0.3987
3.0966484526205225,,1099,343,756,0.4377,0.0,0.6089,0.4188,0.0,0.0,0.3987
3.3220636194542394,,1099,343,756,0.4577,0.0,0.628,0.432,0.0,0.0,0.3987
3.4651489440690195,,1099,343,756,0.4777,0.0,0.6466,0.4448,0.0,0.0,0.3987
3.6033602682515875,,1099,343,756,0.4977,0.0,0.6646,0.4572,0.0,0.0,0.3987
3.6851564733864786,,1099,343,756,0.5177,0.0,0.6823,0.4693,0.0,0.0,0.3987
3.761404942137828,,1099,343,756,0.5378,0.0,0.6994,0.4811,0.0,0.0,0.3987
3.8208414777432425,,1099,343,756,0.5578,0.0,0.7161,0.4926,0.0,0.0,0.3987
3.8952122977382175,,1099,343,756,0.5778,0.0,0.7324,0.5038,0.0,0.0,0.3987
3.9654665270975844,,1099,343,756,0.5978,0.0,0.7483,0.5147,0.0,0.0,0.3987
4.038234603721523,,1099,343,756,0.6178,0.0,0.7638,0.5254,0.0,0.0,0.3987
4.160704306760664,,1099,343,756,0.6379,0.0,0.7789,0.5358,0.0,0.0,0.3987
5.559745081835824,,1099,343,756,0.6579,0.0,0.7936,0.5459,0.0,0.0,0.3987
6.410174881966167,,1099,343,756,0.6815,0.0,0.8106,0.5576,0.0,0.0,0.3987
