chunk_idx,chunk_time_sec,llm_time_sec
0,6.5,6.5
1,6.87,6.87
2,5.92,5.92
3,0.22,0.22
4,0.21,0.21
5,1.21,1.21
6,3.82,3.82
7,6.84,6.84
8,1.83,1.83
9,4.13,4.13
10,3.94,3.94
11,2.74,2.74
12,2.01,2.01
13,1.89,1.89
14,5.53,5.53
15,7.64,7.64
16,1.3,1.3
17,0.21,0.21
18,2.48,2.48
19,1.41,1.41
20,6.62,6.62
21,1.46,1.46
22,0.2,0.2
23,2.8,2.8
24,6.26,6.26
25,2.93,2.93
26,2.44,2.44
27,0.2,0.2
28,5.18,5.18
29,3.15,3.15
30,1.32,1.32
31,3.65,3.65
32,0.2,0.2
33,7.34,7.33
34,1.3,1.3
35,8.32,8.31
36,0.2,0.2
37,4.45,4.45
38,1.3,1.3
39,3.7,3.7
40,8.6,8.6
41,9.07,9.07
42,3.34,3.34
43,6.86,6.86
44,8.57,8.57
45,4.96,4.96
46,6.24,6.24
47,7.6,7.6
48,7.44,7.44
49,0.2,0.2
50,8.19,8.19
51,3.9,3.9
52,4.81,4.81
53,6.03,6.03
54,2.55,2.55
55,6.29,6.29
56,0.2,0.2
57,2.15,2.15
58,5.83,5.83
59,2.73,2.73
60,3.0,3.0
61,0.2,0.2
62,8.01,8.0
63,2.13,2.13
64,5.16,5.16
65,2.06,2.06
66,3.12,3.12
67,9.54,9.54
68,3.06,3.06
69,4.94,4.94
70,4.05,4.05
71,5.13,5.13
72,0.21,0.21
73,5.25,5.25
74,8.16,8.16
75,0.98,0.98
76,6.05,6.05
77,6.17,6.17
78,3.67,3.67
79,2.93,2.93
80,5.83,5.83
81,3.16,3.16
82,6.96,6.96
83,0.96,0.96
84,6.39,6.39
85,8.2,8.2
86,2.29,2.29
87,0.2,0.2
88,2.94,2.94
89,3.56,3.56
90,5.85,5.85
91,5.21,5.21
92,2.22,2.22
93,5.93,5.93
94,2.87,2.87
95,3.24,3.24
96,5.07,5.07
97,1.08,1.08
98,1.9,1.9
99,2.92,2.92
100,3.08,3.08
101,1.95,1.95
102,2.17,2.17
103,2.04,2.04
104,3.91,3.91
105,1.22,1.22
106,2.94,2.94
107,3.95,3.95
108,1.05,1.05
109,4.24,4.24
110,0.2,0.2
111,1.88,1.88
112,3.04,3.04
113,5.69,5.69
114,3.71,3.71
115,1.46,1.46
116,0.01,0.01
117,2.54,2.54
118,0.21,0.2
119,2.63,2.63
120,3.72,3.72
121,3.73,3.73
122,0.21,0.21
123,5.04,5.04
124,1.35,1.35
125,4.78,4.78
126,7.58,7.58
127,7.38,7.38
128,10.44,10.44
129,4.94,4.94
130,3.33,3.33
131,5.88,5.87
132,6.89,6.89
133,3.38,3.38
134,3.28,3.28
135,4.97,4.97
136,3.89,3.88
137,2.02,2.02
138,2.78,2.78
139,2.42,2.42
140,5.84,5.84
141,1.43,1.43
142,1.9,1.9
143,7.16,7.16
144,2.51,2.51
145,4.02,4.02
146,2.67,2.67
147,5.29,5.29
148,8.42,8.42
149,0.2,0.2
150,9.37,9.37
151,4.31,4.31
152,0.21,0.2
153,2.51,2.51
154,6.37,6.37
155,8.79,8.79
156,7.13,7.13
157,5.2,5.2
158,2.68,2.68
159,6.49,6.49
160,5.17,5.17
161,0.2,0.2
162,0.2,0.2
163,0.21,0.21
164,0.2,0.2
165,7.6,7.6
166,1.46,1.46
167,5.23,5.23
168,1.34,1.34
169,2.74,2.74
170,2.47,2.46
171,5.28,5.28
172,3.78,3.78
173,9.07,9.07
174,0.21,0.21
175,3.21,3.21
176,3.7,3.7
177,8.54,8.53
178,5.31,5.31
179,5.15,5.15
180,0.21,0.21
181,2.45,2.45
182,3.51,3.51
183,5.19,5.19
184,5.19,5.19
185,3.81,3.81
186,0.21,0.21
187,7.58,7.58
188,1.33,1.33
189,3.29,3.29
190,9.21,9.21
191,6.46,6.46
192,3.87,3.87
193,7.03,7.02
194,5.15,5.15
195,3.23,3.23
196,0.2,0.2
197,3.08,3.08
198,0.26,0.26
199,2.58,2.58
200,0.21,0.21
201,5.96,5.96
202,2.09,2.09
203,10.62,10.62
204,7.13,7.13
205,1.39,1.39
206,0.21,0.21
207,4.32,4.32
208,1.42,1.42
209,2.03,2.03
210,5.22,5.22
211,0.21,0.21
212,2.28,2.27
213,1.42,1.42
214,4.21,4.21
215,2.56,2.56
216,0.21,0.21
217,7.07,7.07
218,2.61,2.61
219,3.39,3.39
220,1.59,1.59
221,6.42,6.42
222,1.37,1.37
223,0.21,0.21
224,6.23,6.23
225,1.5,1.5
226,10.45,10.45
227,0.21,0.21
228,3.8,3.8
229,2.51,2.51
230,2.68,2.68
231,0.21,0.21
232,9.87,9.87
233,4.99,4.99
234,5.35,5.35
235,2.77,2.77
236,0.21,0.21
237,7.49,7.49
238,0.21,0.21
239,7.82,7.82
240,0.21,0.21
241,3.93,3.93
242,5.13,5.13
243,2.67,2.67
244,0.2,0.2
245,0.2,0.2
246,2.51,2.51
247,4.07,4.07
248,2.24,2.24
249,2.85,2.85
250,0.21,0.21
251,0.21,0.21
252,6.0,6.0
253,2.09,2.09
254,4.92,4.92
255,8.58,8.58
256,5.18,5.17
257,0.2,0.2
258,10.51,10.51
259,4.82,4.82
260,5.99,5.99
261,0.2,0.2
262,3.99,3.99
263,2.79,2.79
264,0.21,0.21
265,1.42,1.42
266,0.21,0.21
267,2.55,2.55
268,6.39,6.39
269,5.26,5.26
270,0.21,0.21
271,1.33,1.33
272,4.03,4.03
273,5.24,5.24
274,2.06,2.06
275,2.92,2.92
276,0.2,0.2
277,5.06,5.06
278,0.21,0.21
279,3.05,3.05
280,1.35,1.35
281,3.87,3.87
282,2.59,2.59
283,1.52,1.52
284,1.25,1.25
285,6.38,6.38
286,4.87,4.86
287,1.49,1.49
288,3.71,3.71
289,3.03,3.03
290,3.97,3.97
291,3.57,3.57
292,6.34,6.34
293,2.57,2.57
294,2.71,2.71
295,2.58,2.58
296,7.46,7.46
297,5.36,5.36
298,9.51,9.51
299,5.77,5.77
300,3.86,3.86
301,0.21,0.21
302,5.22,5.22
303,5.19,5.19
304,1.26,1.26
305,0.18,0.18
306,0.02,0.02
307,0.01,0.01
308,0.02,0.02
309,0.02,0.02
310,0.02,0.02
311,0.01,0.01
312,0.03,0.02
313,0.02,0.02
314,0.02,0.02
315,0.01,0.01
316,0.01,0.01
317,0.02,0.02
318,0.01,0.01
319,0.01,0.01
320,0.01,0.01
321,0.01,0.01
322,0.01,0.01
323,0.01,0.01
324,0.01,0.01
325,0.01,0.01
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.01,0.01
330,0.01,0.01
331,0.01,0.01
332,0.0,0.0
333,0.01,0.01
334,0.01,0.01
335,0.01,0.01
336,0.01,0.01
337,0.01,0.01
338,0.01,0.01
339,0.01,0.01
340,0.01,0.01
341,0.01,0.01
342,0.01,0.01
343,0.01,0.01
344,0.01,0.01
345,0.01,0.01
346,0.01,0.01
347,0.01,0.01
348,0.01,0.01
349,0.0,0.0
350,0.01,0.0
351,0.01,0.01
352,0.01,0.01
353,0.0,0.0
354,0.01,0.01
355,0.01,0.0
356,0.01,0.01
357,0.01,0.01
358,0.01,0.01
359,0.01,0.01
360,0.01,0.01
361,0.01,0.01
362,0.01,0.01
363,0.01,0.01
364,0.01,0.01
365,0.01,0.01
366,0.01,0.01
367,0.01,0.01
368,0.01,0.01
369,0.01,0.01
370,0.01,0.01
371,0.01,0.0
372,0.01,0.01
373,0.01,0.01
374,0.01,0.01
375,0.01,0.01
376,0.01,0.01
377,0.01,0.01
378,0.01,0.01
379,0.01,0.01
380,0.01,0.01
381,0.01,0.01
382,0.01,0.01
383,0.01,0.01
384,0.01,0.01
385,0.01,0.01
386,0.01,0.01
387,0.01,0.01
388,0.01,0.01
389,0.01,0.01
390,0.01,0.01
391,0.01,0.01
392,0.01,0.01
393,0.01,0.01
394,0.01,0.01
395,0.01,0.01
396,0.01,0.01
397,0.02,0.01
398,0.01,0.01
399,0.01,0.01
400,0.01,0.01
401,0.01,0.01
402,0.01,0.01
403,0.01,0.01
404,0.01,0.01
405,0.01,0.01
406,0.01,0.01
407,0.01,0.01
408,0.01,0.01
409,0.01,0.01
410,0.01,0.0
411,0.0,0.0
412,0.0,0.0
413,0.01,0.01
414,0.01,0.01
415,0.01,0.01
416,0.01,0.01
417,0.01,0.01
418,0.01,0.01
419,0.01,0.01
420,0.01,0.01
421,0.01,0.01
422,0.01,0.01
423,0.0,0.0
424,0.01,0.01
425,0.01,0.01
426,0.01,0.01
427,0.01,0.01
428,0.01,0.01
429,0.01,0.01
430,0.01,0.01
431,0.01,0.01
432,0.01,0.01
433,0.01,0.01
434,0.01,0.01
435,0.01,0.01
436,0.01,0.01
437,0.01,0.01
438,0.01,0.01
439,0.0,0.0
440,0.01,0.01
441,0.01,0.01
442,0.01,0.01
443,0.01,0.01
444,0.01,0.01
445,0.01,0.01
446,0.01,0.01
447,0.01,0.01
448,0.01,0.01
449,0.01,0.01
450,0.01,0.01
451,0.01,0.01
452,0.01,0.01
453,0.01,0.01
454,0.01,0.01
455,0.01,0.01
456,0.01,0.01
457,0.01,0.01
458,0.01,0.01
459,0.01,0.01
460,0.01,0.01
461,0.01,0.01
462,0.01,0.01
463,0.01,0.01
464,0.01,0.01
465,0.01,0.01
466,0.01,0.01
467,0.01,0.01
468,0.01,0.01
469,0.01,0.01
470,0.01,0.01
471,0.01,0.01
472,0.01,0.01
473,0.01,0.01
474,0.01,0.01
