manip_index,correct_index,feature,ground_truth,predicted,mismatch_type,record_value,correct_value
129,43,age,-1,1,FP,27,72
981,327,age,-1,1,FP,38,39
1029,343,age,-1,1,FP,26,62
1056,352,age,-1,1,FP,63,36
1064,354,age,1,-1,FN,42,37
1134,378,age,-1,1,FP,73,37
1293,431,age,-1,1,FP,330,33
1437,479,age,-1,1,FP,13,31
1619,539,age,-1,1,FP,37,32
2292,764,age,-1,1,FP,53,35
2673,891,age,-1,1,FP,63,36
3216,1072,age,-1,1,FP,200,20
3273,1091,age,-1,1,FP,55,58
3291,1097,age,-1,1,FP,37,34
4563,1521,age,-1,1,FP,280,28
4647,1549,age,-1,1,FP,76,67
5091,1697,age,-1,1,FP,56,55
5250,1750,age,-1,1,FP,222,22
5565,1855,age,-1,1,FP,95,59
6030,2010,age,-1,1,FP,16,61
6299,2099,age,1,-1,FN,33,28
6357,2119,age,-1,1,FP,27,20
6765,2255,age,-1,1,FP,84,48
6767,2255,age,1,-1,FN,43,48
7320,2440,age,-1,1,FP,23,32
7500,2500,age,-1,1,FP,64,46
7513,2504,age,1,-1,FN,57,52
7719,2573,age,-1,1,FP,290,29
8007,2669,age,-1,1,FP,15,51
8082,2694,age,-1,1,FP,96,69
8121,2707,age,-1,1,FP,56,55
8132,2710,age,-1,1,FP,53,55
8160,2720,age,-1,1,FP,15,51
8277,2759,age,-1,1,FP,55,58
8394,2798,age,-1,1,FP,47,40
8427,2809,age,-1,1,FP,58,50
9195,3065,age,-1,1,FP,51,59
9671,3223,age,1,-1,FN,61,56
10395,3465,age,-1,1,FP,15,51
10527,3509,age,-1,1,FP,56,55
10596,3532,age,-1,1,FP,58,50
10902,3634,age,-1,1,FP,35,53
10973,3657,age,1,-1,FN,43,38
11280,3760,age,-1,1,FP,355,35
11562,3854,age,-1,1,FP,75,57
11589,3863,age,-1,1,FP,440,44
12180,4060,age,-1,1,FP,211,21
12249,4083,age,-1,1,FP,440,44
12384,4128,age,-1,1,FP,93,39
12639,4213,age,-1,1,FP,561,56
14178,4726,age,-1,1,FP,27,20
14367,4789,age,-1,1,FP,32,23
14481,4827,age,-1,1,FP,82,28
14574,4858,age,-1,1,FP,807,80
14706,4902,age,-1,1,FP,27,28
14916,4972,age,-1,1,FP,233,23
15054,5018,age,-1,1,FP,222,22
15057,5019,age,-1,1,FP,52,25
15183,5061,age,-1,1,FP,557,57
15255,5085,age,-1,1,FP,56,55
15393,5131,age,-1,1,FP,207,20
15468,5156,age,-1,1,FP,46,64
15732,5244,age,-1,1,FP,37,73
15834,5278,age,-1,1,FP,321,32
15864,5288,age,-1,1,FP,83,38
15921,5307,age,-1,1,FP,511,51
15951,5317,age,-1,1,FP,93,39
17814,5938,age,-1,1,FP,511,51
17850,5950,age,-1,1,FP,301,30
18081,6027,age,-1,1,FP,441,44
18185,6061,age,1,-1,FN,45,40
18356,6118,age,-1,1,FP,280,28
18585,6195,age,-1,1,FP,34,43
18816,6272,age,-1,1,FP,252,52
18867,6289,age,-1,1,FP,64,46
19038,6346,age,-1,1,FP,233,23
19536,6512,age,-1,1,FP,81,18
38,12,workclass,1,-1,FN,Self-emp-inc, Private
50,16,workclass,1,-1,FN,Self-emp-inc, Private
53,17,workclass,1,-1,FN,—, Self-emp-inc
82,27,workclass,1,-1,FN,Private-obf, Private
155,51,workclass,-1,1,FP,Self-emp-not-inc, ?
194,64,workclass,1,-1,FN,, Private
198,66,workclass,1,-1,FN,, State-gov
218,72,workclass,1,-1,FN,, Private
244,81,workclass,1,-1,FN,Private-obf, Private
265,88,workclass,1,-1,FN,—, Private
274,91,workclass,1,-1,FN,—, Private
289,96,workclass,-1,1,FP,Pvate, ?
292,97,workclass,1,-1,FN,, Private
294,98,workclass,-1,1,FP,Pri-vate, ?
321,107,workclass,1,-1,FN,, Private
331,110,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
337,112,workclass,1,-1,FN,—, Private
340,113,workclass,1,-1,FN,Self-emp-inc, Private
374,124,workclass,1,-1,FN,Self-emp-inc, Private
429,143,workclass,-1,1,FP,Self-emp-not-inc, ?
430,143,workclass,-1,1,FP,Private, ?
457,152,workclass,1,-1,FN,Self-emp-inc, Private
487,162,workclass,-1,1,FP,Pvate, ?
516,172,workclass,1,-1,FN,, Private
539,179,workclass,1,-1,FN,Self-emp-inc, Private
573,191,workclass,1,-1,FN,, Private
602,200,workclass,1,-1,FN,, Private
620,206,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
671,223,workclass,1,-1,FN,Self-emp-inc, Private
693,231,workclass,1,-1,FN,, Private
730,243,workclass,1,-1,FN,—, Private
757,252,workclass,1,-1,FN,—, ?
828,276,workclass,1,-1,FN,, Private
855,285,workclass,1,-1,FN,, Private
878,292,workclass,1,-1,FN,—, Private
916,305,workclass,1,-1,FN,—, Self-emp-not-inc
937,312,workclass,1,-1,FN,, Private
967,322,workclass,1,-1,FN,—, Private
974,324,workclass,1,-1,FN,Self-emp-inc, Private
976,325,workclass,1,-1,FN,—, Private
990,330,workclass,1,-1,FN,, Self-emp-not-inc
992,330,workclass,-1,1,FP,Self-emp-inc, Self-emp-not-inc
1015,338,workclass,1,-1,FN,Self-emp-inc, Self-emp-not-inc
1023,341,workclass,-1,1,FP,Priv-hous-serv, ?
1033,344,workclass,-1,1,FP,Pivate, ?
1104,368,workclass,-1,1,FP,Priivate, ?
1105,368,workclass,-1,1,FP,Private, ?
1137,379,workclass,-1,1,FP,Pivate, ?
1139,379,workclass,1,-1,FN,—, ?
1148,382,workclass,1,-1,FN,, Federal-gov
1228,409,workclass,1,-1,FN,Self-emp-inc, Private
1234,411,workclass,-1,1,FP,Pvate, ?
1236,412,workclass,-1,1,FP,Pri-vate, ?
1312,437,workclass,1,-1,FN,Self-emp-inc, Private
1320,440,workclass,-1,1,FP,Pivate, ?
1323,441,workclass,-1,1,FP,Privat, ?
1453,484,workclass,-1,1,FP,Private, ?
1460,486,workclass,1,-1,FN,—, Self-emp-not-inc
