feature,n_used,TP_1,FP_1,FN_1,TP_-1,FP_-1,FN_-1,precision_1,recall_1,f1_1,precision_-1,recall_-1,f1_-1,f1_macro
education,5955,2294,115,55,3491,55,115,0.9522623495226235,0.9765857811834824,0.96427070197562,0.9844895657078399,0.9681087077093733,0.9762304250559284,0.9702505635157742
race,1058,430,46,13,569,13,46,0.9033613445378151,0.9706546275395034,0.9357997823721437,0.9776632302405498,0.9252032520325203,0.9507101086048454,0.9432549454884945
native-country,2367,708,50,118,1491,118,50,0.9340369393139841,0.8571428571428571,0.8939393939393939,0.9266625233064015,0.9675535366645036,0.9466666666666667,0.9203030303030303
workclass,1423,576,62,257,528,257,62,0.9028213166144201,0.6914765906362546,0.7831407205982325,0.6726114649681528,0.8949152542372881,0.768,0.7755703602991162
sex,1274,1113,83,13,65,13,83,0.9306020066889632,0.9884547069271759,0.958656330749354,0.8333333333333334,0.4391891891891892,0.5752212389380531,0.7669387848437035
capital-gain,3928,2516,711,57,644,57,711,0.7796715215370313,0.9778468713563934,0.8675862068965517,0.9186875891583453,0.4752767527675277,0.6264591439688716,0.7470226754327116
occupation,2100,1563,5,333,199,333,5,0.9968112244897959,0.8243670886075949,0.9024249422632794,0.37406015037593987,0.9754901960784313,0.5407608695652174,0.7215929059142484
relationship,703,58,25,86,534,86,25,0.6987951807228916,0.4027777777777778,0.5110132158590308,0.8612903225806452,0.9552772808586762,0.905852417302799,0.7084328165809148
age,556,29,84,1,442,1,84,0.25663716814159293,0.9666666666666667,0.40559440559440557,0.9977426636568849,0.8403041825095057,0.9122807017543859,0.6589375536743958
education-num,4916,2377,1712,46,781,46,1712,0.5813157251161654,0.9810152703260421,0.730036855036855,0.9443772672309553,0.31327717609306055,0.47048192771084335,0.6002593913738492
capital-loss,1331,42,203,7,1079,7,203,0.17142857142857143,0.8571428571428571,0.2857142857142857,0.9935543278084714,0.8416536661466458,0.9113175675675675,0.5985159266409266
hours-per-week,2553,540,1203,59,751,59,1203,0.3098106712564544,0.9015025041736227,0.46114432109308284,0.9271604938271605,0.3843398157625384,0.5434153400868307,0.5022798305899567
marital-status,59,0,7,0,52,0,7,0.0,0.0,0.0,1.0,0.8813559322033898,0.9369369369369369,0.46846846846846846
fnlwgt,33,0,6,0,27,0,6,0.0,0.0,0.0,1.0,0.8181818181818182,0.9,0.45
