variant,total_error_cells,correct_intentional,wrong_unintentional,missed,accuracy,intentional_precision,intentional_recall,intentional_f1,unintentional_precision,unintentional_recall,unintentional_f1
bareminimum-gemini,723,514,209,0,0.7109,1.0,0.7109,0.831,0.0,0.0,0.0
info-gemini,723,577,146,0,0.7981,1.0,0.7981,0.8877,0.0,0.0,0.0
few-shots-gemini,723,564,159,0,0.7801,1.0,0.7801,0.8765,0.0,0.0,0.0
baremin-mixtral,723,509,214,0,0.704,1.0,0.704,0.8263,0.0,0.0,0.0
info-mixtral,723,539,184,0,0.7455,1.0,0.7455,0.8542,0.0,0.0,0.0
few-shots-mixtral,723,498,225,0,0.6888,1.0,0.6888,0.8157,0.0,0.0,0.0
baremin-llama,723,525,198,0,0.7261,1.0,0.7261,0.8413,0.0,0.0,0.0
info-llama,723,561,162,0,0.7759,1.0,0.7759,0.8738,0.0,0.0,0.0
few-shots-llama,723,546,177,0,0.7552,1.0,0.7552,0.8605,0.0,0.0,0.0
baremin-qwen,723,569,154,0,0.787,1.0,0.787,0.8808,0.0,0.0,0.0
info-qwen,723,557,166,0,0.7704,1.0,0.7704,0.8703,0.0,0.0,0.0
few-shots-qwen,723,548,175,0,0.758,1.0,0.758,0.8623,0.0,0.0,0.0
baremin-r1-qwen,723,498,225,0,0.6888,1.0,0.6888,0.8157,0.0,0.0,0.0
info-r1-qwen,723,542,181,0,0.7497,1.0,0.7497,0.8569,0.0,0.0,0.0
few-shots-r1-qwen,723,497,226,0,0.6874,1.0,0.6874,0.8148,0.0,0.0,0.0
