probability_percent,probability,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,num_runs,total_changes
0,0.0,0.0,0.0,0.0,0.0,10,1931
10,0.1,0.09829104091144486,0.00420589135251102,0.09166235111341274,0.10409114448472294,10,1931
20,0.2,0.2004660797514241,0.007177448822023212,0.1890212325220093,0.21284308648368722,10,1931
30,0.3,0.3075090626618332,0.011507359430207064,0.29311237700673226,0.3340238218539617,10,1931
40,0.4,0.40150181253236666,0.010865449013397506,0.38166752977731744,0.42102537545313307,10,1931
50,0.5,0.499585706887623,0.01456309901959999,0.4743656136716727,0.5157949249093734,10,1931
60,0.6,0.5961160020714655,0.005712749378961873,0.5846711548420508,0.603314344899016,10,1931
70,0.7,0.6997928534438116,0.010721335239676824,0.6887622993267737,0.7182806835836354,10,1931
80,0.8,0.8017089590885551,0.011299578821027166,0.7778353184878302,0.8203003625064733,10,1931
90,0.9,0.8966338684619368,0.004450036470003287,0.889694458829622,0.9021232522009321,10,1931
100,1.0,1.0,0.0,1.0,1.0,10,1931
