Model,Accuracy,Closest_Baseline_Prob,Baseline_Accuracy,Difference,Beats_Random_50,Performance
Qwen Bare-min,0.8006214396685655,80%,0.8017089590885551,-0.0010875194199896354,Yes ✓,Very Good
Llama Bare-min,0.5639564992232005,60%,0.5961160020714655,-0.032159502848265076,Yes ✓,Poor
Gemini Bare-min,0.5634386328327291,60%,0.5961160020714655,-0.03267736923873643,Yes ✓,Poor
R1 Bare-min,0.5328845157949249,50%,0.499585706887623,0.03329880890730191,Yes ✓,Poor
Qwen Info,0.3702744691869498,40%,0.4015018125323666,-0.031227343345416825,No ✗,Poor
Gemini Info,0.3309166235111341,30%,0.3075090626618332,0.0234075608493009,No ✗,Poor
Mixtral Bare-min,0.3221128948731227,30%,0.3075090626618332,0.014603832211289525,No ✗,Poor
Qwen Few-shots,0.3158984981874676,30%,0.3075090626618332,0.008389435525634426,No ✗,Poor
Gemini Few-shots,0.2796478508544795,30%,0.3075090626618332,-0.02786121180735368,No ✗,Poor
R1 Info,0.2527187985499741,20%,0.2004660797514241,0.05225271879854998,No ✗,Poor
Mixtral Info,0.2226825479026411,20%,0.2004660797514241,0.022216468151217,No ✗,Poor
Llama Info,0.21905748316934232,20%,0.2004660797514241,0.018591403417918206,No ✗,Poor
Llama Few-shots,0.20093215950284826,20%,0.2004660797514241,0.00046607975142415325,No ✗,Poor
R1 Few-shots,0.06421543241843604,10%,0.0982910409114448,-0.034075608493008766,No ✗,Poor
Mixtral Few-shots,0.04919730709476955,10%,0.0982910409114448,-0.049093733816675256,No ✗,Poor
