age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
,truncation,,,,,,,,,,,trailing_zero,,
,,,capitalize,digit_removal,,,,,,,,,,
digit_swap,,,,,,,,,typo,,,,,
,ocr,,,,,extra_punct,,,,,,,,
,,,,,,,,,,,,magnitude,,
off_by_one,,,,,,,,,capitalize,,,,,
,truncation,,typo,,,,,,,,,digit_duplication,,
,,,,,,capitalize,,fairness_masking,,,,,,
leading_zero,,,,,,ocr,,,,,,,,
,,,typo,,,truncation,,,,,,,,
,capitalize,,,,,,,,,,,off_by_one,,
digit_removal,,,,,,,,,fairness_masking,,,,,
gain_targeted,,,gain_targeted,gain_targeted,,,,,,,,,,
,obfuscation_dmv,,,,,obfuscation_dmv,,,,,,,,
,,,truncation,,,,,,,,,fairness_masking,,
,,,typo,,,truncation,,,,,,,,
digit_swap,,,,,,,,,,,,,,
fairness_masking,capitalize,,,,,,,,,,,,,
,extra_punct,,ocr,,,,,,,,,,,
,,,,,,,,,,digit_removal,,digit_duplication,,
off_by_one,,,,,,obfuscation_dmv,,,,,,,,
gain_targeted,,,gain_targeted,gain_targeted,,,,,,,,,,
,,,,,,,,fairness_masking,fairness_masking,,,,,
,typo,,,,,,,,,,,gain_targeted,,
digit_swap,,,truncation,,,extra_punct,,,,,,,,
gain_targeted,,,,,,,,,,,,,,
,,,,,,obfuscation_dmv,,,,,,digit_duplication,,
,,,gain_targeted,gain_targeted,,typo,,,,,,,,
gain_targeted,,,,,,,,,,digit_swap,,,,
fairness_masking,,,,,,,,,,,,,,
,obfuscation_dmv,,obfuscation_dmv,,,obfuscation_dmv,,,,,,,,
,,,gain_targeted,gain_targeted,,gain_targeted,,,,,,,,
off_by_one,truncation,,,,,,,,,,,digit_swap,,
digit_removal,,,,,,gain_targeted,,,,gain_targeted,,,,
,typo,,capitalize,,,ocr,,,,,,,,
digit_duplication,,,,off_by_one,,,,,,,,trailing_zero,,
gain_targeted,,,,,,gain_targeted,,,,gain_targeted,,,,
,,,gain_targeted,gain_targeted,,,,,,,,gain_targeted,,
fairness_masking,,,,,,,,,,,,,,
,,,typo,,,,,,fairness_masking,,,,,
,,,gain_targeted,gain_targeted,,,,,,,,,,
off_by_one,,,,,,obfuscation_dmv,,,,,,,,
,truncation,,,,,typo,,,,,,magnitude,,
gain_targeted,,,capitalize,,,,,,,,,gain_targeted,,
digit_removal,,,,,,obfuscation_dmv,,,,,,,,
,,,,,,,,fairness_masking,fairness_masking,,,,,
,,,,,,,,fairness_masking,,,,off_by_one,,
digit_duplication,,,extra_punct,,,ocr,,,,,,,,
,capitalize,,,,,,,,,digit_removal,,,,
gain_targeted,,,,gain_targeted,,truncation,,,,,,,,
,,,typo,,,,,,,,,digit_swap,,
fairness_masking,,,,,,,,,,,,,,
gain_targeted,,,ocr,,,,,,,gain_targeted,,,,
,fairness_masking,,,,,,,,,,,leading_zero,,
gain_targeted,typo,,,,,,,,,,,,,
,,,extra_punct,,,capitalize,,,,,,trailing_zero,,
,,,gain_targeted,gain_targeted,,gain_targeted,,,,,,,,
digit_swap,obfuscation_dmv,,,,,obfuscation_dmv,,,,,,,,
,,,ocr,,,,,,,,,digit_removal,,
gain_targeted,,,,,,,,,truncation,,,gain_targeted,,
,,,,,,,,,,,,,fairness_masking,
,,,gain_targeted,gain_targeted,,,,,,,,gain_targeted,,
,,,,,,,,,,,,,fairness_masking,
,ocr,,,,,,,,,,,gain_targeted,,
,,,capitalize,,,truncation,,,,,,,,
digit_swap,,,,,,,,fairness_masking,,,,,,
,truncation,,typo,,,,,,,,,,,
gain_targeted,,,,,,gain_targeted,,,,gain_targeted,,,,
,,,,,,fairness_masking,,,,,,,,
digit_duplication,,,,,,,,,,,,,,
,,,ocr,,,extra_punct,,,,,,,,
,,,,,,,,,capitalize,,,magnitude,,
digit_swap,,,truncation,,,,,,,,,,,
,capitalize,,,,,,,,,,,off_by_one,,
,,,,,,extra_punct,,,,,,,,
,,,gain_targeted,gain_targeted,,gain_targeted,,,,,,,,
,ocr,,,,,,,,,,,trailing_zero,,
,obfuscation_dmv,,,,,obfuscation_dmv,,,,,,,,
,,,,,,fairness_masking,,,,,,,,
gain_targeted,,,gain_targeted,gain_targeted,,,,,,,,,,
digit_removal,capitalize,,,,,,,,,,,,,
,,,,,,gain_targeted,,,typo,,,,,
digit_removal,,,,,,,,,,,,,,
