age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
27,Private,160178,Some-colleage,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
27,Private,160178,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States,<=50K
27,Private,160178,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,90,0,38,United-States,<=50K
45,State-gov,50567,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,<=50K
45,State-gov,50567,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
45,State-gov,50567,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,1000,0,40,United-States,<=50K
29,Private,185908,Bachleors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,55,United-States,>50K
29,Private,185908,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,300,55,United-States,>50K
29,Private,185908,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,555,United-States,>50K
30,Private,190040,Bachleors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,190040,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,00,0,40,United-States,<=50K
30,Private,190040,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-Statets,<=50K
29,Self-emp-not-inc,189346,Some-college,100,Divorced,Craft-repair,Not-in-family,White,Male,2202,0,50,United-States,<=50K
29,Self-emp-not-inc,189346,Some-college,10,Divorced,Craft-repair,Not-in-family,Whitw,Male,2202,0,50,United-States,<=50K
29,Self-emp-not-inc,189346,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,2202,0,50,United-Statesd,<=50K
51,Private,108435,Mastes,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,United-States,>50K
51,Private,108435,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3000,0,47,United-States,>50K
51,Private,108435,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,United-Statrs,>50K
