row_id,column,clean_value,final_value,error_type
81,age,23,37,intentional
162,age,22,36,intentional
214,age,23,37,intentional
270,age,25,39,intentional
294,age,23,37,intentional
403,age,27,41,intentional
454,age,24,38,intentional
471,age,28,42,intentional
548,age,21,35,intentional
710,age,24,38,intentional
1137,age,24,38,intentional
1188,age,30,44,intentional
1259,age,21,35,intentional
1493,age,27,41,intentional
1554,age,23,37,intentional
1588,age,23,37,intentional
1727,age,25,39,intentional
2018,age,34,36,intentional
2145,age,23,37,intentional
2157,age,25,39,intentional
2332,age,27,41,intentional
2559,age,22,36,intentional
2638,age,25,39,intentional
2940,age,24,38,intentional
2960,age,24,38,intentional
3033,age,30,44,intentional
3305,age,23,37,intentional
3334,age,26,40,intentional
3361,age,29,43,intentional
3571,age,25,39,intentional
3597,age,32,46,intentional
3631,age,28,42,intentional
3643,age,18,32,intentional
3674,age,24,38,intentional
3716,age,29,43,intentional
3745,age,24,38,intentional
3761,age,25,39,intentional
3802,age,23,37,intentional
4147,age,23,37,intentional
4214,age,22,36,intentional
4277,age,31,45,intentional
4302,age,22,36,intentional
4396,age,30,44,intentional
4428,age,28,42,intentional
4451,age,23,37,intentional
4472,age,29,43,intentional
4603,age,22,36,intentional
4682,age,23,37,intentional
4694,age,23,37,intentional
4717,age,23,37,intentional
4813,age,24,38,intentional
4882,age,24,38,intentional
5005,age,33,47,intentional
5079,age,29,43,intentional
5251,age,24,38,intentional
5319,age,27,41,intentional
5419,age,26,40,intentional
5457,age,25,39,intentional
5464,age,22,36,intentional
5613,age,33,47,intentional
5693,age,22,36,intentional
5713,age,27,41,intentional
5787,age,31,45,intentional
5793,age,23,37,intentional
5888,age,20,34,intentional
6004,age,31,45,intentional
6292,age,27,41,intentional
6326,age,27,41,intentional
6421,age,31,38,intentional
6558,age,22,36,intentional
6606,age,28,42,intentional
6661,age,28,42,intentional
6735,age,24,38,intentional
6929,age,19,33,intentional
7015,age,30,44,intentional
7058,age,25,39,intentional
7249,age,23,37,intentional
7338,age,24,38,intentional
7344,age,33,47,intentional
7354,age,22,36,intentional
7630,age,27,41,intentional
7664,age,23,37,intentional
7675,age,23,37,intentional
7792,age,69,55,intentional
7795,age,22,36,intentional
7821,age,36,40,intentional
7974,age,27,41,intentional
8052,age,30,44,intentional
8204,age,23,37,intentional
8213,age,24,38,intentional
8245,age,24,38,intentional
8249,age,21,35,intentional
8421,age,25,39,intentional
8457,age,29,43,intentional
8813,age,23,37,intentional
8853,age,26,40,intentional
9042,age,26,40,intentional
9152,age,23,37,intentional
9368,age,18,32,intentional
9590,age,25,32,intentional
9630,age,37,51,intentional
9642,age,21,35,intentional
9789,age,23,37,intentional
9891,age,33,47,intentional
9934,age,25,39,intentional
9977,age,27,41,intentional
10079,age,24,38,intentional
10402,age,20,34,intentional
10755,age,24,38,intentional
10773,age,36,50,intentional
10912,age,28,42,intentional
11058,age,25,39,intentional
11091,age,22,36,intentional
11123,age,25,39,intentional
11188,age,25,39,intentional
11220,age,24,38,intentional
11248,age,26,40,intentional
11272,age,26,40,intentional
11474,age,27,41,intentional
11492,age,33,47,intentional
11506,age,28,30,intentional
11507,age,31,33,intentional
11685,age,32,46,intentional
11711,age,28,42,intentional
11805,age,26,40,intentional
11835,age,22,36,intentional
11947,age,24,38,intentional
12080,age,25,39,intentional
12197,age,29,43,intentional
12257,age,30,44,intentional
12315,age,25,39,intentional
12356,age,28,42,intentional
12403,age,22,36,intentional
12526,age,21,35,intentional
12579,age,25,39,intentional
12685,age,24,38,intentional
12710,age,24,38,intentional
12712,age,27,41,intentional
12807,age,27,41,intentional
13160,age,29,43,intentional
13232,age,31,45,intentional
13281,age,27,41,intentional
13292,age,28,42,intentional
13309,age,33,47,intentional
13434,age,33,47,intentional
13548,age,19,33,intentional
13646,age,32,46,intentional
13664,age,27,41,intentional
13781,age,24,38,intentional
13905,age,30,44,intentional
13916,age,30,44,intentional
13924,age,23,37,intentional
13947,age,33,47,intentional
13974,age,29,43,intentional
14311,age,28,42,intentional
14365,age,27,41,intentional
14466,age,28,42,intentional
14532,age,22,36,intentional
14583,age,28,42,intentional
14700,age,24,38,intentional
14833,age,27,41,intentional
14938,age,26,40,intentional
14943,age,32,46,intentional
14949,age,23,37,intentional
14960,age,23,37,intentional
14961,age,26,40,intentional
15068,age,29,43,intentional
15071,age,33,47,intentional
15226,age,28,42,intentional
15312,age,28,42,intentional
15346,age,27,41,intentional
15347,age,25,39,intentional
15404,age,27,41,intentional
15665,age,21,35,intentional
15701,age,21,35,intentional
15819,age,23,37,intentional
16202,age,25,39,intentional
16229,age,29,43,intentional
16427,age,22,36,intentional
16439,age,29,43,intentional
16452,age,28,31,intentional
16645,age,22,36,intentional
16687,age,28,42,intentional
16719,age,23,37,intentional
16977,age,35,35,intentional
17119,age,24,38,intentional
17163,age,27,41,intentional
17225,age,20,34,intentional
17241,age,25,39,intentional
17245,age,28,42,intentional
17358,age,22,36,intentional
17577,age,21,35,intentional
18050,age,26,40,intentional
18071,age,30,44,intentional
18078,age,28,42,intentional
18170,age,25,39,intentional
18179,age,25,39,intentional
18180,age,23,37,intentional
18254,age,30,44,intentional
18426,age,25,39,intentional
18704,age,24,38,intentional
18734,age,24,38,intentional
18766,age,27,41,intentional
18797,age,25,39,intentional
18846,age,24,38,intentional
18974,age,24,38,intentional
19050,age,22,36,intentional
19357,age,32,33,intentional
19432,age,24,38,intentional
19438,age,21,35,intentional
19593,age,26,40,intentional
19721,age,23,37,intentional
19788,age,25,39,intentional
20093,age,26,40,intentional
20232,age,24,38,intentional
20248,age,25,39,intentional
20315,age,21,35,intentional
20319,age,35,49,intentional
20409,age,23,37,intentional
20442,age,31,45,intentional
20537,age,20,34,intentional
20575,age,28,42,intentional
20636,age,37,42,intentional
20641,age,21,35,intentional
21149,age,22,36,intentional
21220,age,28,42,intentional
21273,age,23,37,intentional
21444,age,27,41,intentional
21577,age,35,49,intentional
21639,age,33,34,intentional
21654,age,29,43,intentional
21763,age,22,36,intentional
21848,age,30,44,intentional
22026,age,27,41,intentional
22232,age,23,37,intentional
22233,age,27,41,intentional
22278,age,24,38,intentional
22308,age,25,39,intentional
22348,age,22,36,intentional
22476,age,21,35,intentional
22595,age,31,45,intentional
22628,age,24,38,intentional
22768,age,28,33,intentional
22806,age,26,40,intentional
22838,age,31,45,intentional
22983,age,24,38,intentional
23105,age,27,41,intentional
23217,age,25,39,intentional
23227,age,26,40,intentional
23292,age,23,37,intentional
23348,age,28,42,intentional
23451,age,24,38,intentional
23569,age,33,47,intentional
23585,age,23,37,intentional
23604,age,26,40,intentional
23629,age,25,39,intentional
23675,age,20,34,intentional
23723,age,24,38,intentional
23804,age,29,43,intentional
23858,age,25,39,intentional
23877,age,23,37,intentional
24178,age,30,44,intentional
24202,age,29,43,intentional
24286,age,23,37,intentional
24427,age,23,37,intentional
24478,age,23,37,intentional
24605,age,25,39,intentional
24668,age,34,48,intentional
24825,age,33,47,intentional
24839,age,28,42,intentional
24886,age,21,35,intentional
24958,age,25,39,intentional
24992,age,67,53,intentional
25066,age,24,38,intentional
25280,age,20,34,intentional
25419,age,27,41,intentional
25467,age,30,44,intentional
25469,age,28,42,intentional
25493,age,23,37,intentional
25668,age,29,43,intentional
25744,age,23,37,intentional
25788,age,24,38,intentional
26043,age,27,41,intentional
26076,age,32,46,intentional
26157,age,27,41,intentional
26209,age,33,47,intentional
26265,age,28,42,intentional
26266,age,26,40,intentional
26339,age,23,37,intentional
26434,age,27,41,intentional
26504,age,27,41,intentional
26625,age,33,47,intentional
26663,age,22,36,intentional
26790,age,30,44,intentional
26846,age,29,43,intentional
26862,age,24,38,intentional
26956,age,33,47,intentional
26963,age,27,41,intentional
27022,age,26,40,intentional
27144,age,23,37,intentional
27156,age,29,43,intentional
27784,age,29,43,intentional
27849,age,32,46,intentional
28086,age,24,38,intentional
28199,age,27,41,intentional
28267,age,35,49,intentional
28284,age,25,39,intentional
28342,age,28,42,intentional
28460,age,24,38,intentional
28559,age,34,33,intentional
28692,age,25,39,intentional
28700,age,24,38,intentional
28815,age,24,38,intentional
28859,age,31,45,intentional
28915,age,27,41,intentional
29002,age,28,42,intentional
29327,age,25,39,intentional
29350,age,23,37,intentional
29362,age,29,43,intentional
29428,age,25,39,intentional
29441,age,30,44,intentional
29446,age,28,42,intentional
29575,age,25,39,intentional
29614,age,23,37,intentional
29674,age,23,37,intentional
29682,age,26,40,intentional
29892,age,27,41,intentional
29902,age,33,47,intentional
30128,age,23,37,intentional
30141,age,22,36,intentional
30157,age,31,45,intentional
30276,age,29,43,intentional
30533,age,24,38,intentional
30548,age,23,37,intentional
30636,age,29,43,intentional
30638,age,27,41,intentional
30661,age,25,39,intentional
30721,age,31,45,intentional
31015,age,30,44,intentional
31030,age,23,37,intentional
31118,age,21,35,intentional
31188,age,22,36,intentional
31395,age,27,41,intentional
31508,age,27,41,intentional
31575,age,31,37,intentional
31649,age,28,42,intentional
31807,age,24,38,intentional
31849,age,31,45,intentional
32014,age,27,41,intentional
32044,age,26,40,intentional
32096,age,23,37,intentional
32198,age,23,37,intentional
32224,age,26,40,intentional
32248,age,24,38,intentional
32381,age,25,39,intentional
32385,age,23,37,intentional
32396,age,28,42,intentional
32560,age,26,40,intentional
32740,age,22,36,intentional
32793,age,23,37,intentional
32973,age,29,43,intentional
33212,age,27,41,intentional
33343,age,23,37,intentional
33347,age,23,37,intentional
33352,age,21,35,intentional
33606,age,28,42,intentional
33656,age,32,46,intentional
33753,age,29,43,intentional
33773,age,26,40,intentional
33806,age,27,34,intentional
33887,age,26,40,intentional
34257,age,26,40,intentional
34457,age,24,38,intentional
34764,age,28,42,intentional
34842,age,26,40,intentional
34868,age,23,37,intentional
34944,age,27,41,intentional
35052,age,21,35,intentional
35112,age,30,44,intentional
35193,age,24,38,intentional
35209,age,25,39,intentional
35231,age,23,37,intentional
35262,age,25,39,intentional
35264,age,24,38,intentional
35280,age,24,38,intentional
35397,age,25,39,intentional
35491,age,18,32,intentional
35633,age,23,37,intentional
35720,age,22,36,intentional
35752,age,22,36,intentional
35789,age,29,43,intentional
35933,age,26,40,intentional
35960,age,22,36,intentional
36033,age,32,46,intentional
36047,age,20,34,intentional
36127,age,23,37,intentional
36165,age,24,38,intentional
36198,age,31,45,intentional
36283,age,25,39,intentional
36366,age,26,40,intentional
36620,age,26,40,intentional
36642,age,26,40,intentional
36686,age,26,40,intentional
36687,age,23,37,intentional
36795,age,25,39,intentional
36990,age,24,38,intentional
37024,age,26,40,intentional
37316,age,25,39,intentional
37396,age,22,36,intentional
37488,age,26,40,intentional
37581,age,23,37,intentional
37745,age,26,40,intentional
37801,age,29,43,intentional
37862,age,23,37,intentional
37888,age,25,39,intentional
37956,age,24,38,intentional
37970,age,27,41,intentional
38034,age,22,36,intentional
38178,age,25,39,intentional
38222,age,24,38,intentional
38254,age,23,37,intentional
38334,age,24,38,intentional
38417,age,25,39,intentional
38696,age,23,37,intentional
38710,age,33,47,intentional
38719,age,28,42,intentional
214,capital-gain,0,5013,intentional
236,capital-gain,5013,0,intentional
259,capital-gain,0,5013,intentional
665,capital-gain,0,5013,intentional
724,capital-gain,0,5013,intentional
845,capital-gain,0,5013,intentional
975,capital-gain,0,5013,intentional
1180,capital-gain,0,5013,intentional
1325,capital-gain,0,5013,intentional
1473,capital-gain,0,5013,intentional
1483,capital-gain,0,5013,intentional
1488,capital-gain,0,5013,intentional
1616,capital-gain,0,5013,intentional
1710,capital-gain,3325,5013,intentional
1711,capital-gain,0,5013,intentional
1772,capital-gain,0,5013,intentional
1908,capital-gain,0,5013,intentional
2013,capital-gain,0,5013,intentional
2051,capital-gain,0,5013,intentional
2094,capital-gain,0,5013,intentional
2145,capital-gain,0,5013,intentional
