claim_text,subject_entity,subject_type,subject_location,value,claim_domain,is_factual
ian poulter from the united state have a score of 214,ian poulter,Athlete,the united state,214,Sports,0
leo diegel from the united state get 188 for place t2,leo diegel,Athlete,the united state,188,Sports,1
"tom kite be the only player from the united state , with 17000",tom kite,Athlete,the united state,17000,Sports,1
"bobby wadkins be the only player from the united state , with 17000",bobby wadkins,Athlete,the united state,17000,Sports,0
"when the capacity be 92542 the location be baton rouge , la with home team lsu tiger and when the capacity be 92746 the location be athens , ga with home team georgia bulldog",lsu tiger,Team,la,92542,Sports,1
"when the capacity be 100119 the location be austin , tx , la with home team lsu tiger and when the capacity be 92746 the location be athens , ga with home team georgia bulldog",lsu tiger,Team,"austin , tx ,",100119,Sports,0
there be 20173 crowd at the washington 's home game against miami on december 28,miami,Team,washington,20173,Sports,0
carlton score 16.11 (107) while north melbourne score 6.8 (44) in the match they play on 8 may 1965,carlton,Team,north melbourne,107,Sports,1
north melbourne away team record an away score of 18.11 (119) while south melbourne record an away score of 10.15 (75),north melbourne,Team,south melbourne,119,Sports,1
77683 crowd attend the cleveland brown v pittsburgh steelers,brown,Team,cleveland,77683,Sports,1
77683 crowd attend the cleveland brown vs the chicago bear game /,brown,Team,cleveland,77683,Sports,0
north melbourne away team record an away score of 14.12 (96) while south melboure record an away score of 16.8 (104),north melbourne,Team,south melboure,104,Sports,0
"as an opponent in february 15 , wilmington sea dawgs score 95 - 101",wilmington sea dawgs,Team,detroit,101,Sports,1
"on april 19 , the utah team play at the staple center where they have an attendance of 18997 and a series of 1 - 0",los angeles lakers,Team,utah,18997,Sports,1
"the utah team have a location attendance of staple center 18997 , and a series of 1 - 0 in game 2",los angeles lakers,Team,utah,18997,Sports,0
"the game against brøndby on august 10 , 1993 , have a result of f - a 2 - 0 and a h / a of a with 11372 crowd attendance",manchester united,Team,brøndby,11372,Sports,1
marcus kruger at pick 149 be the lowest choice from the elitserien (sweden) league,marcus kruger,Athlete,elitserien,149,Sports,1
the new york jet have a pick number of 108,jet,Team,new york,108,Sports,1
"the verizon center , with an attendance of 17132 , saw the loss of the toronto maple leaf",washington capitals,Team,toronto,17132,Sports,0
the total for wasit be 150 more than the total for anbar,wasit,Team,iraq,150,Sports,1
the attendance on may 26 be 13255,blue jays,Team,toronto,13255,Sports,1
the lowest attendance at a game be 13603 people during the game against indiana,celtics,Team,indiana,13603,Sports,1
"james reed be draft in the 9th round , number 242 overall , out of the university of mississippi",james reed,Athlete,cleveland,242,Sports,1
"tam fleming be draft after round 9 , at number 464 overall",tam fleming,Athlete,cleveland,464,Sports,1
tom fleming have an overall of 464 in round 17,tom fleming,Athlete,cleveland,464,Sports,1
"the bathurst 100 event occur on 8 - 11 october in bathurst , new south wale with paul freestone handling production",paul freestone,Athlete,bathurst,100,Sports,1
"the bathurst 100 event occur on 8 - 11 october in sydney , new south wale with paul freestone handling production",paul freestone,Athlete,sydney,100,Sports,0
the october 31 game between the chicago bear and san francisco 49ers have 49833 crowd attendance,chicago,Team,san francisco,49833,Sports,1
both game with the dallas cowboy have attendance number under 50000,dallas,Team,washington,50000,Sports,0
glavine (7 - 7) suffer a loss in front of a crowd of 41212,glavine,Team,new york,41212,Sports,1
they play orlando at the philip arena 13748 people be in attendance,atlanta hawks,Team,orlando,13748,Sports,1
"the celtic only score less than 100 point 1 time all month , and it be in the first game of the month against the hawk",celtic,Team,boston,100,Sports,1
"the celtic only score more than 100 point 1 time all month , and it be in the second game of the month against the hawk",celtic,Team,boston,100,Sports,0
in 2005 novorace oy have 143 more point than korainen bros motorsport,korainen bros,Team,novorace,143,Sports,1
in 2005 korainen bros motorsport have 143 more point than novorace oy,korainen bros,Team,novorace,143,Sports,0
sarah ulmer from new zealand set a new 3000 m individual pursuit record at 3:24.537,sarah ulmer,Athlete,new zealand,3000,Sports,1
"the game on 11 / 10 / 1945 be play against indiana at memorial stadium minneapolis , mn with an attendance of 41400",bernie bierman,Athlete,indiana,41400,Sports,1
"the game on 11 / 10 / 1945 be play against indiana at memorial stadium minneapolis , mn with an attendance of 34800",bernie bierman,Athlete,indiana,34800,Sports,0
"miguel ángel jiménez be the only golfer from spain to finish in the top 10 , with a total score of 283",miguel ángel jiménez,Athlete,spain,283,Sports,0
"the highest attended game of the season be in los angeles on october 11 , 1976 , 80532 crowd be at the game",49ers,Team,los angeles,80532,Sports,1
"the least attended game of the season be in los angeles on october 11 , 1976 , 80532 crowd be at the game",49ers,Team,los angeles,80532,Sports,0
the attendance for the novemeber 24th game at thre charlotte bobcat arena 19201,celtics,Team,boston,19201,Sports,1
the attendance of the game november 24 be quicken loan arena 18624,celtics,Team,boston,18624,Sports,0
home team st kilda defeat north melbourne 2014 - 1110 in front of a crowd of 24000,st kilda,Team,north melbourne,1110,Sports,1
all of the home game have the exact same amount of attendee at 53041,redskins,Team,washington,53041,Sports,1
"the lowest attendance be against and at the kansas city chief , with 51989",redskins,Team,kansas,51989,Sports,1
all of the home game have the exact same amount of attendee at 5304,redskins,Team,washington,5304,Sports,0
"the lowest attendance be against and at the chicago bear , with 51989",bear,Team,chicago,51989,Sports,0
the height for cornell big red be 170 cm,cornell big red,Team,canada,170,Sports,1
more than 50000 be in attendance when the jacksonville jaguars beat the houston texan in week 14,the jacksonville jaguars,Team,texan,50000,Sports,0
"after year 2002 , 272 be france 's highest score when the venue be bokskogens",bokskogens,Team,france,272,Sports,0
north melbourne away team record an away score of 17.8 (110) while south melbourne record an away score of 12.19 (91),north melbourne,Team,south melbourne,110,Sports,1
north melbourne away team record an away score of 12.8 (110) while south melbourne record an away score of 12.19 (91),north melbourne,Team,south melbourne,110,Sports,0
"oklahoma men 's basketball have the most win (against big 12 schools) against oklahoma state , whom they 've defeat 127 time",oklahoma,Team,oklahoma state,127,Sports,1
"oklahoma men 's basketball have the most win (against big 12 schools) against oklahoma state , whom they 've defeat 142 time",oklahoma,Team,oklahoma state,142,Sports,0
new york ranger be the nhl team whose pick number be 160,ranger,Team,new york,160,Sports,1
"in round 4 , the langley chief (bchl) score 119 point",bchl,Team,langley,119,Sports,1
canada tie sweden in round 4 with 119 point,canada,Team,sweden,119,Sports,0
the lowest attendance be 13857 in a game on september 3 and the highest be 43201 in a game on september 30,blue jays,Team,toronto,13857,Sports,1
the highest attendance happen on september 3 at 43201 attendee and the lowest attendance be on september 30 at 13857 attendee,blue jays,Team,toronto,43201,Sports,0
koch (0 - 5) have an attendance of 32029 and a loss on september 29 wheeler have (0 - 4) and the attendance be 34253,koch,Team,toronto,32029,Sports,0
david graham from australia have a total of 282,david graham,Athlete,australia,282,Sports,1
lee trevino from australia achieve a total smaller than 284,lee trevino,Athlete,australia,284,Sports,0
trenton speedway be the name of the tract for the texas 150 mile sweepstakes race,usac,Team,texas,150,Sports,0
"in the men 's 100 metre butterfly , the serbian swimmer , andriy serdinov beat the us swimmer by 35 second",andriy serdinov,Athlete,us,100,Sports,0
"the us swimmer be rank in the top 3 fastest swimmer in the men 's 100 metre butterfly , follow by france",france,Athlete,us,100,Sports,0
