subject_entity,subject_type,subject_location,value,claim_domain,metric,is_factual
ian poulter,Athlete,usa,214,Sport,score,0
leo diegel,Athlete,usa,188,Sports,rank,1
tom kite,Athlete,usa,17000,Sports,score,1
bobby wadkins,Athlete,usa,17000,Sports,score,0
lsu tiger,Team,la,92542,Sports,capacity,1
lsu tiger,Team,"austin , tx ,",100119,Sports,capacity,0
miami,Team,washington,20173,Sports,crowd,0
carlton,Team, melbourne,107,Sports,score,1
north melbourne,Team, melbourne,119,Sports,score,1
cleveland browns,Team,cleveland,77683,Sports,crowd,1
cleveland browns,Team,cleveland,77683,Sports,crowd,0
north melbourne,Team,melbourne,104,Sports,score,0
wilmington sea dawgs,Team,wilmington,101,Sports,score,1
utah team,Team,los angeles,18997,Sports,crowd,1
manchester united,Team,brøndby,11372,Sports,crowd,1
marcus kruger,Athlete,elitserien,149,Sports,pick number,1
new york jet,Team,new york,108,Sports,pick number,1
toronto maple leafs,Team,washington,17132,Sports,crowd,0
Assyrian,Party,wasit,150,Politics,votes,1
blue jays,Team,toronto,13255,Sports,crowd,1
boston celtics,Team,indiana,13603,Sports,crowd,1
james reed,Athlete,new york city,242,Sports,pick number,1
tom fleming,Athlete,cleveland,464,Sports,pick number,1
bathurst,Event,bathurst,8-11,Sports,date,1
bathurst,Event,sydney,8-11,Sports,date,0
chicago bears,Team,san francisco,49833,Sports,crowd,1
dallas cowboys,Team,dallas,50000,Sports,crowd,0
glavine,Team,new york,41212,Sports,crowd,1
atlanta hawks,Team,atlanta,13748,Sports,crowd,1
boston celtics,Team,boston,<100,Sports,score,1
boston celtics,Team,boston,>100,Sports,score,0
novorace oy,Team,finland,143,Sports,score,1
korainen bros,Team,finland,143,Sports,score,0
sarah ulmer,Athlete,new zealand,3000,Sports,score,1
minnesota golden gophers,Team,minneapolis,41400,Sports,crowd,1
minnesota golden gophers,Team,minneapolis,34800,Sports,crowd,0
miguel ángel jiménez,Athlete,spain,283,Sports,score,0
los angeles rams,Team,los angeles,highest 80532,Sports,crowd,1
los angeles rams,Team,los angeles,least 80532,Sports,crowd,0
boston celtics,Team,charlotte bobcats arena,19201,Sports,crowd,1
boston celtics,Team,quicken loan arena,18624,Sports,crowd,0
st kilda,Team,melbourne,24000,Sports,crowd,1
washington redskins,Team,washington,53041,Sports,crowd,1
washington redskins,Team,washington,lowest 51989,Sports,crowd,1
washington redskins,Team,washington,5304,Sports,crowd,0
chicago bears,Team,chicago,51989,Sports,crowd,0
cornell big red,Team,canada,170,Sports,height,1
jacksonville jaguars,Team,florida,50000,Sports,crowd,0
david patrick,Team,bokskogens,272,Sports,score,0
north melbourne,Team,melbourne,17.8,Sports,score,1
north melbourne,Team,melbourne,12.8,Sports,score,0
oklahoma,Team,oklahoma,127,Sports,score,1
oklahoma,Team,oklahoma,142,Sports,score,0
ranger,Team,new york,160,Sports,pick number,1
langley chiefs,Team,langley,119,Sports,score,1
canada,Team,ottawa,119,Sports,score,0
blue jays,Team,toronto,september 30 43201,Sports,crowd,1
blue jays,Team,toronto,september 3 43201,Sports,crowd,0
koch,Team,toronto,32029,Sports,crowd,0
david graham,Athlete,australia,282,Sports,score,1
lee trevino,Athlete,australia,284,Sports,score,0
trenton speedway,Event,new jersey,150,Sports,distance,0
andriy serdinov,Athlete,serbia,35,Sports,score,0
michael phelps,Athlete,usa,3,Sports,rank,0
liverpool f.c,Team,luton,20000,Sports,crowd,1
liverpool f.c,Team,birmingham,20000,Sports,crowd,0
lohse,Athlete,chicago,32807,Sports,crowd,1
charlotte bobcats,Team,conseco fieldhouse,11888,Sports,crowd,1
carlton,Team,carlton north,123,Sports,score,1
essendon,Team,essendon victoria,146,Sports,score,1
essendon,Team,essendon victoria,109,Sports,score,0
fc schalke,Team,berlin,100000,Sports,crowd,0
ranger,Team,toronto,38150,Sports,crowd,1
yankee,Team,toronto,38150,Sports,crowd,0
oregon,Team,tennessee,66584,Sports,crowd,0
nick gillis,Athlete,ottawa,203,Sports,pick number,1
san francisco,Team,cleveland,63672,Sports,crowd,1
atlanta hawks,Team,chicago,90,Sports,score,1
billy corbett,Athlete,cleveland,1,Sports,count,1
billy corbett,Athlete,cleveland,2,Sports,count,0
blue jays,Team,toronto,7,Sports,count,1
blue jays,Team,toronto,10,Sports,count,0
detroit lions,Team,chicago,55814,Sports,crowd,1
los angeles rams,Team,cleveland,65407,Sports,crowd,1
chicago cardinals,Team,cleveland,65407,Sports,crowd,0
seattle seahawks,Team,san francisco,44592,Sports,crowd,1
los angeles rams,Team,san francisco,920,Sports,crowd,0
john shipley,Athlete,london,200000,Sports,money,1
ram vaswani,Athlete,dublin,93000,Sports,money,1
blue jay,Team,toronto,3,Sports,count,0
detroit pistons,Team,atlanta,22000,Sports,crowd,0
darin sceviour,Athlete,chicago,101,Sports,pick number,1
boston patriot,Team,Oakland,20000,Sports,crowd,1
new york titans,Team,Oakland,20000,Sports,crowd,0
washington commando,Team,washington,188,Sports,count,1
essendon,Team,essendon,111,Sports,score,1
harri olli,Athlete,finland,130,Sports,score,1
melbourne,Team,melbourne,average 20000,Sports,crowd,1
melbourne,Team,melbourne,exact 20000,Sports,crowd,0
carolina panthers,Team,carolina,3,Sports,count,1
cleveland browns,Team,cleveland,28335,Sports,crowd,1
footscray,Team,melbourne,10680,Sports,crowd,0
eric landry,Athlete,canada,193,Sports,pick number,1
ernie el,Athlete,south africa,276,Sports,score,0
mhc plastika,Team,slovakia,239,Sports,pick number,0
florida panther,Team,florida,14500,Sports,crowd,1
la clipper,Team,north carolina,11349,Sports,crowd,0
north melbourne,Team,south melbourne,102,Sports,score,1
blue jays,Team,toronto,104,Sports,score,1
blue jays,Team,toronto,103,Sports,score,0
yankee,Team,toronto,104,Sports,score,0
peter butler,Athlete,england,281,Sports,score,1
nick collison,Athlete,seattle,102,Sports,score,1
earl watson,Athlete,houston,18370,Sports,crowd,1
kevin durant,Athlete,dallas,20228,Sports,crowd,0
blue jays,Team,toronto,2,Sports,score,1
blue jays,Team,toronto,3,Sports,score,0
blue jays,Team,toronto,20863,Sports,crowd,0
otto hascak,Athlete,czechoslovakia,143,Sports,pick number,1
new york islanders,Team,new york,128,Sports,pick number,1
detroit red wings,Team,new york,136,Sports,pick number,0
st. louis cardinals,Team,st. louis missouri,40801,Sports,crowd,1
cleveland brown,Team,cleveland,40801,Sports,crowd,0
de smyth,Team,ireland,11000,Sports,money,1
de smyth,Team,ireland,>11000,Sports,money,0
brandon coutu,Athlete,tennessee,207,Sports,difference,0
broncos,Team,kansas missouri,68246,Sports,crowd,1
washington redskins,Team,washington,19388,Sports,crowd,1
manchester united f.c,Team,lincoln city,10000,Sports,crowd,0
larry nelson,Athlete,usa,24000,Sports,money,1
fulham,Team,swansea city,16573,Sports,crowd,1
everton,Team,everton,57454,Sports,crowd,0
fulham,Team,swansea city,16360,Sports,crowd,0
university of florida,Team,florida,1,Sports,rank,1
atlanta falcons,Team,arkansas,242,Sports,pick number,1
crystal palace,Athlete,london,110,Sports,score,1
sergiy stakhovsky,Athlete,malaysia,199,Sports,rank,1
florida marlins,Team,new york,52484,Sports,crowd,1
winnipeg jets,Team,winnipeg,13804,Sports,crowd,0
new york knicks,Team,dallas,20203,Sports,crowd,1
new york knicks,Team,dallas,30000,Sports,crowd,0
pittsburgh steelers,Team,pennsylvania,63336,Sports,crowd,0
angels,Team,california,lowest attendence 30584,Sports,crowd,1
new york yankees,Athlete,california,30584,Sports,crowd,0
bahamas,Team,amsterdam,104,Sports,difference,1
england cricket,Team,australia,225,Sports,score,0
ihsaa,Team,indiana,280,Sports,count,1
union county,Team,indiana,301,Sports,count,0
los angeles kings,Team,los angeles,18630,Sports,crowd,1
manchester united f.c,Team,manchester,30000,Sports,crowd,1
manchester united f.c,Team,manchester,>30000,Sports,crowd,0
celtic,Team,washington,game 79,Sports,game number,1
celtic,Team,washington,game 80,Sports,game number,0
new york jets,Team,new jersey,166,Sports,pick number,1
luke fisher,Athlete,minnesota,210,Sports,pick number,0
devin gardner,Athlete,indiana,503,Sports,count,1
devin gardner,Athlete,northwestern,115,Sports,count,0
trento 300 race,Event,trenton,>1,Sports,rank,1
trenton 300 race,Event,trenton,1,Sports,rank,0
raptors,Team,toronto,110,Sports,score,0
detroit lion,Team,washington,lowest 6044,Sports,crowd,1
pittsburg steelers,Team,washington,highest 37764,Sports,crowd,1
detroit lion,Team,washington,highest 6044,Sports,crowd,0
pittsburgh steelers,Team,washington,lowest 37764,Sports,crowd,0
weekes,Team,new jersey,17565,Sports,crowd,0
orlando magic,Team,orlando,18969,Sports,crowd,1
nhl,Tournament,us,157,Sports,pick number,1
nhl,Tournament,canada,157,Sports,pick number,0
san francisco,Team,san francisco,11,Sports,date,1
san francisco,Team,san francisco,57814,Sports,crowd,1
