subject_entity,subject_type,subject_location,value,claim_domain,is_factual
ian poulter,Athlete,england,213,Sports,0
leo diegel,Athlete,the united state,188,Sports,1
tom kite,Athlete,the united state,17000,Sports,1
bobby wadkins,Athlete,the united state,17000,Sports,0
lsu tiger,Team,la,92542,Sports,1
lsu tiger,Team,"baton rouge , la",100119,Sports,0
washington,Team,washington,20173,Sports,0
carlton,Team,north melbourne,107,Sports,1
north melbourne,Team,south melbourne,119,Sports,1
brown,Team,cleveland,77683,Sports,1
cleveland browns,Team,cleveland,77683,Sports,0
north melbourne,Team,melbourne,96,Sports,0
wilmington sea dawgs,Team,detroit,101,Sports,1
los angeles lakers,Team,utah,18997,Sports,1
utah jazz,Team,los angeles,18997,Sports,0
manchester united,Team,brøndby,11372,Sports,1
marcus kruger,Athlete,elitserien,149,Sports,1
jet,Team,new york,108,Sports,1
toronto maple leafs,Team,washington d.c.,17132,Sports,0
wasit,Team,iraq,150,Sports,1
blue jays,Team,toronto,13255,Sports,1
celtics,Team,indiana,13603,Sports,1
james reed,Athlete,cleveland,242,Sports,1
tam fleming,Athlete,cleveland,464,Sports,1
tom fleming,Athlete,cleveland,464,Sports,1
paul freestone,Athlete,bathurst,100,Sports,1
paul freestone,Producer,bathurst,100,Sports,0
chicago,Team,san francisco,49833,Sports,1
dallas,Team,dallas,50000,Sports,0
glavine,Team,new york,41212,Sports,1
atlanta hawks,Team,orlando,13748,Sports,1
celtic,Team,boston,100,Sports,1
celtic,Team,atlanta,100,Sports,0
korainen bros,Team,novorace,143,Sports,1
korainen bros,Team,N/A,143,Sports,0
sarah ulmer,Athlete,new zealand,3000,Sports,1
bernie bierman,Athlete,indiana,41400,Sports,1
minnesota golden gophers,Team,minneapolis,34800,Sports,0
miguel ángel jiménez,Athlete,spain,283,Sports,0
49ers,Team,los angeles,80532,Sports,1
game,Team,los angeles,much lower than 80532,Sports,0
celtics,Team,boston,19201,Sports,1
Cleveland Cavaliers,Team,cleveland,18624,Sports,0
st kilda,Team,north melbourne,1110,Sports,1
redskins,Team,washington,53041,Sports,1
redskins,Team,kansas,51989,Sports,1
redskins,Team,washington,"much higher (e.g., 60,000+)",Sports,0
bear,Team,not necessarily Chicago,51989,Sports,0
cornell big red,Team,canada,170,Sports,1
the jacksonville jaguars,Team,houston,50000,Sports,0
france,Venue,sweden,272,Sports,0
north melbourne,Team,south melbourne,110,Sports,1
north melbourne,Team,melbourne,110,Sports,0
oklahoma,Team,oklahoma state,127,Sports,1
oklahoma,Team,oklahoma,142,Sports,0
ranger,Team,new york,160,Sports,1
bchl,Team,langley,119,Sports,1
canada,Team,canada,119,Sports,0
