user_id,followers_count,friends_count,favourites_count,statuses_count,listed_count,verified,protected,default_profile,default_profile_image,geo_enabled,profile_use_background_image,has_created_date,description_length,screen_name_length,name_length,has_description,has_location,label
u1901546563,535348,1446,0,23617,1254,1,0,0,0,0,0,1,72,0,15,1,1,0
u20976857,200157,1330,0,79892,391,1,0,0,0,0,0,1,106,0,13,1,1,0
u337802584,203,122,0,536,0,0,0,0,0,0,0,1,1,0,21,1,1,1
u785400352480845824,3335,3616,0,448,1,0,0,0,0,0,0,1,21,0,19,1,1,0
u21108221,430,2918,0,1706,10,0,0,0,0,0,0,1,2,0,12,1,1,0
u902262985,609,139,0,121,24,0,0,0,0,0,0,1,155,0,13,1,1,0
u1250995701267431425,46,658,0,533,0,0,0,0,0,0,0,1,8,0,39,1,1,1
u445204083,472,1450,0,3058,3,0,0,0,0,0,0,1,1,0,13,1,1,1
u159535879,582,390,0,3645,0,0,0,0,0,0,0,1,29,0,17,1,1,0
u6133472,113203,7762,0,154304,844,1,0,0,0,0,0,1,159,0,13,1,1,0
u1085408921597153280,257,287,0,100,0,0,0,0,0,0,0,1,1,0,15,1,1,1
u84092181,768186,745,0,8606,3853,1,0,0,0,0,0,1,53,0,13,1,1,0
u306501902,666,677,0,6211,25,0,0,0,0,0,0,1,143,0,17,1,1,1
u905895394831466500,602,580,0,10315,2,0,0,0,0,0,0,1,55,0,21,1,1,1
u16242081,499446,404,0,493,7373,1,0,0,0,0,0,1,132,0,13,1,1,0
u822541984950874112,28999,22288,0,54510,2,0,0,0,0,0,0,1,107,0,23,1,1,1
u3307872617,42861,1129,0,10933,13,0,0,0,0,0,0,1,83,0,17,1,1,1
u1019732334185086976,8604,9242,0,6124,2,0,0,0,0,0,0,1,68,0,15,1,1,1
u1001192245,3971,1107,0,256164,596,0,0,0,0,0,0,1,73,0,12,1,1,1
u40480326,3755,287,0,1240,151,0,0,0,0,0,0,1,87,0,10,1,1,0
u951567694473687040,233,1488,0,7,0,0,0,0,0,0,0,1,48,0,13,1,1,1
u822312059031302144,710,3072,0,2640,2,0,0,0,0,0,0,1,131,0,15,1,1,1
u61290495,150114,4321,0,62501,2954,1,0,0,0,0,0,1,126,0,17,1,1,0
u16543775,299399,2567,0,263548,3144,1,0,0,0,0,0,1,113,0,17,1,1,0
u1086392467505594368,194,1462,0,7,0,0,0,0,0,0,0,1,18,0,23,1,1,1
u1054693692999720960,1302,1759,0,8193,10,0,0,0,0,0,0,1,146,0,8,1,1,1
u709369051,14,40,0,4,0,0,0,0,0,0,0,1,1,0,14,1,1,1
u846136196061265920,2749,3845,0,695,98,0,0,0,0,0,0,1,162,0,16,1,1,1
u4119741,1990725,2452,0,30827,7075,1,0,0,0,0,0,1,144,0,15,1,1,0
u107379222,53545,421,0,77178,464,1,0,0,0,0,0,1,135,0,13,1,1,0
u147787042,162412,107309,0,51757,1248,1,0,0,0,0,0,1,48,0,14,1,1,0
u5286532,1773,2108,0,2615,81,1,0,0,0,0,0,1,157,0,12,1,1,0
u52920970,52496,1493,0,863,571,1,0,0,0,0,0,1,106,0,11,1,1,0
u16991392,4988,5479,0,4399,56,0,0,0,0,0,0,1,158,0,11,1,1,1
u41842907,157010,62115,0,69274,1040,1,0,0,0,0,0,1,131,0,12,1,1,0
u561498839,301,864,0,8793,11,0,0,0,0,0,0,1,29,0,10,1,1,1
u1085939317313286144,4154,4150,0,7917,21,0,0,0,0,0,0,1,155,0,8,1,1,1
