followers_count,friends_count,favourites_count,statuses_count,listed_count,verified,protected,default_profile,default_profile_image,geo_enabled,profile_use_background_image,has_created_date,description_length,screen_name_length,name_length,has_description,has_location,label
535348,1446,0,23617,1254,1,0,0,0,0,0,1,72,0,15,1,1,0
200157,1330,0,79892,391,1,0,0,0,0,0,1,106,0,13,1,1,0
203,122,0,536,0,0,0,0,0,0,0,1,1,0,21,1,1,1
3335,3616,0,448,1,0,0,0,0,0,0,1,21,0,19,1,1,0
430,2918,0,1706,10,0,0,0,0,0,0,1,2,0,12,1,1,0
609,139,0,121,24,0,0,0,0,0,0,1,155,0,13,1,1,0
46,658,0,533,0,0,0,0,0,0,0,1,8,0,39,1,1,1
472,1450,0,3058,3,0,0,0,0,0,0,1,1,0,13,1,1,1
582,390,0,3645,0,0,0,0,0,0,0,1,1,0,15,1,1,0
113203,7762,0,154304,844,1,0,0,0,0,0,1,159,0,13,1,1,0
257,287,0,100,0,0,0,0,0,0,0,1,1,0,15,1,1,1
768186,745,0,8606,3853,1,0,0,0,0,0,1,53,0,13,1,1,0
666,677,0,6211,25,0,0,0,0,0,0,1,143,0,17,1,1,1
602,580,0,10315,2,0,0,0,0,0,0,1,55,0,21,1,1,1
499446,404,0,493,7373,1,0,0,0,0,0,1,132,0,13,1,1,0
28999,22288,0,54510,2,0,0,0,0,0,0,1,107,0,23,1,1,1
42861,1129,0,10933,13,0,0,0,0,0,0,1,83,0,17,1,1,1
8604,9242,0,6124,2,0,0,0,0,0,0,1,68,0,15,1,1,1
3971,1107,0,256164,596,0,0,0,0,0,0,1,73,0,12,1,1,1
3755,287,0,1240,151,0,0,0,0,0,0,1,87,0,10,1,1,0
233,1488,0,46,0,0,0,0,0,0,0,1,104,0,13,1,1,1
710,3072,0,2640,2,0,0,0,0,0,0,1,131,0,15,1,1,1
150114,4621,0,62501,2954,1,0,0,0,0,0,1,126,0,13,1,1,0
299399,2567,0,263548,3144,1,0,0,0,0,0,1,113,0,17,1,1,0
194,1462,0,419,0,0,0,0,0,0,0,1,18,0,23,1,1,1
31667,1759,0,8193,10,0,0,0,0,0,0,1,146,0,8,0,1,1
14,40,0,4,0,0,0,0,0,0,0,1,1,0,14,1,1,1
2749,80,0,695,98,0,0,0,0,0,0,1,162,0,16,1,1,1
1990725,2452,0,30827,7075,1,0,0,0,0,0,0,144,0,15,0,1,0
53545,421,0,77178,464,1,0,0,0,0,0,1,135,0,13,1,1,0
162412,107309,0,51757,1248,1,0,0,0,0,0,1,48,0,14,1,0,0
1773,2108,0,2615,81,1,0,0,0,0,0,1,157,0,12,1,1,0
52496,1493,0,863,571,1,0,0,0,0,0,1,106,0,11,1,1,0
4988,5479,0,4399,56,0,0,0,0,0,0,1,158,0,11,1,1,1
157010,62115,0,69274,1040,1,0,0,0,0,0,1,131,0,12,1,1,0
0,864,0,8793,11,0,0,0,0,0,0,1,29,0,10,1,1,1
4154,4150,0,7917,21,0,0,0,0,0,0,1,155,0,8,1,1,1
151,1452,0,39,3,0,0,0,0,0,0,1,29,0,21,1,1,1
33482,596,0,5551,1131,0,0,0,0,0,0,1,38,0,13,1,1,1
22,183,0,475,0,0,0,0,0,0,0,1,106,0,14,1,1,0
1625814,2369,0,221558,7221,1,0,0,0,0,0,0,68,0,13,1,1,0
3679,565,0,10678,122,1,0,0,0,0,0,1,159,0,13,1,1,0
486904,797,0,100845,5633,1,0,0,0,0,0,1,107,0,15,1,1,0
4937,4971,0,1737,5,0,0,0,0,0,0,1,156,0,24,1,1,1
63626,12560,0,73189,2059,1,0,0,0,0,0,1,158,0,18,1,1,0
357,1285,0,568,0,0,0,0,0,0,0,1,157,0,15,1,1,1
1513565,348,0,1024,4033,0,0,0,0,0,0,1,42,0,15,1,1,0
2367,2313,0,17005,3,0,0,0,0,0,0,1,36,0,6,1,1,1
949,765,0,1650,12,0,0,0,0,0,0,1,149,0,13,1,1,0
17167,17729,0,3447,44,0,0,0,0,0,0,1,157,0,9,1,1,1
8510,2776,0,33832,249,1,0,0,0,0,0,1,161,0,17,1,1,0
254255,48585,0,76678,871,0,0,0,0,0,0,1,146,0,29,1,1,1
681,833,0,3802,10,0,0,0,0,0,0,1,142,0,17,1,1,1
1220331,577,0,20413,11691,1,0,0,0,0,0,1,1,0,12,1,1,0
2535,4999,0,78368,3,0,0,0,0,0,0,1,32,0,7,1,1,1
5022337,8,0,204186,5526,1,0,0,0,0,0,1,131,0,20,1,1,0
2498,2824,0,9820,96,0,0,0,0,0,0,0,130,0,20,1,1,1
2960,240,0,2734,32,0,0,0,0,0,0,1,80,0,12,1,1,0
2609,2569,0,11715,99,0,0,0,0,0,0,1,106,0,13,1,1,1
