item_id,dataset_source,title,search_query,marketplace,category,condition,price,currency,seller_username,seller_feedback_pct,seller_feedback_score,item_location,item_location_city,n_images,description_length,returns_accepted,return_period_days,spec_brand,spec_upc,spec_ean,spec_mpn,spec_model,spec_type,spec_style,has_detail
v1|137212734716|435541736925,consumer_products,Nike Air Jordan 1 Men's Retro High OG Midnight Navy DZ5485-401 CHOOSE SIZE,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,64.99,USD,classicshopp,98.9,2334,US,,8.0,500.0,True,30.0,Jordan,,,,Air Jordan 1,Athletic,Sneaker,True
v1|137218989162|0,consumer_products,Nike Air Jordan 1 Retro High OG Shattered Backboard DZ5485-008 Men's Size 9,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,129.95,USD,thornhill-kicks,99.9,3853,US,,7.0,7163.0,True,30.0,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|397449502475|666030158030,consumer_products,Nike Air Jordan 1 Retro High OG Blue UNC Reimagined Sneaker DZ5485-402 Mens Size,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,100.0,USD,sneakersupplyllc,99.5,24889,US,,6.0,623.0,False,,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|137227719218|0,consumer_products,Nike Air Jordan 1 Retro High OG Rare Air Royal Blue DZ5485-100 Men's Size 13,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New without box,89.95,USD,thornhill-kicks,99.9,3853,US,,5.0,7200.0,True,30.0,‎Nike‎,,,,Air Jordan 1,Athletic,Sneaker,True
v1|198277597624|0,consumer_products,Nike Air Jordan 1 Retro High OG Dark Mocha Shoes Mens Size 10.5 Brown 555088-105,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,Pre-owned - Excellent,74.95,USD,qr8dclub,100.0,5198,US,,20.0,2254.0,True,30.0,Nike,,,,Nike Air Jordan 1 Retro High OG Dark Mocha,Athletic,Sneaker,True
v1|168043864390|467646158054,consumer_products,Nike Air Jordan 1 Retro High OG Shoes White Black Varsity Red DZ5485-106 Men's,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,132.89,USD,namebrandshoedeals,100.0,24347,US,,9.0,802.0,False,,Jordan,,,,Air Jordan 1 High OG,Athletic,Sneaker,True
v1|136943697069|435420854353,consumer_products,Nike Air Jordan 1 Retro High OG UNC Reimagined DZ5485-402 Men's Sizes,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New without box,104.95,USD,thornhill-kicks,99.9,3853,US,,7.0,7018.0,False,,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|298238912587|0,consumer_products,Nike Air Jordan 1 Retro High OG Men's Shoes Size 9.5 DZ5485-042,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New without box,69.99,USD,msmoonbeam,99.9,24516,US,,9.0,436.0,True,30.0,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|298218549915|0,consumer_products,Nike Air Jordan 1 Retro High OG Men's Shoes Size 14 DZ5485-052,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New without box,67.99,USD,msmoonbeam,99.9,24516,US,,10.0,435.0,True,30.0,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|306884744849|0,consumer_products,Nike Air Jordan 1 Retro High OG Mens Size 9 Beige Red Basketball Shoes Sneakers,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,Pre-owned - Fair,39.99,USD,soleafootwear,99.8,43401,US,,13.0,5336.0,True,30.0,Nike,,,,Nike Air Jordan 1 Retro High OG X A Ma Maniére,Athletic,Sneaker,True
v1|198274010245|0,consumer_products,Nike Air Jordan 1 Retro High OG Rare Air Men's Size 9 White/Black Deep Royal,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,69.95,USD,muddyriverresell,99.9,1526,US,,18.0,7572.0,False,,Nike,,,,Nike Air Jordan 1,Athletic,Sneaker,True
v1|198283960052|0,consumer_products,Mens Size 10 - Nike Air Jordan 1 Retro High OG Black White (DZ5485-010) NEW!,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,89.99,USD,realiize.kicks,100.0,1867,US,,8.0,965.0,False,,Nike,196975643202,,,Air Jordan 1,Athletic,Sneaker,True
v1|397821140175|666157606254,consumer_products,Nike Air Jordan 1 Retro High OG Self Expression Black DZ5485-002 Mens Size,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New without box,100.0,USD,sneakersupplyllc,99.5,24889,US,,8.0,147.0,False,,Nike,,,,Air Jordan 1,Athletic,Sneaker,True
v1|406846157120|0,consumer_products,Nike Air Jordan 1 Retro High OG Green Glow White Black DZ5485-130 M SIZE 13 NEW,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,110.0,USD,gotemsoles,100.0,31,US,,20.0,1869.0,False,,Jordan,,,,Air Jordan 1,Athletic,Sneaker,True
v1|257372529094|0,consumer_products,Nike Air Jordan 1 Retro High OG Bloodline Men's Shoes Size 8.5 EXCELLENT W/ Box ,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,Pre-owned - Excellent,74.95,USD,sneakers.4.sale,100.0,4612,US,,15.0,322.0,True,30.0,Jordan,,,,Air Jordan 1,Athletic,Sneaker,True
v1|406865869152|0,consumer_products,Nike Air Jordan 1 Retro High OG Court Purple 2.0 555088-500 Men's Size 10 W/ OG,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,110.0,USD,cardboardartfan1102,100.0,3336,US,,8.0,1623.0,False,,Jordan,,,,Air Jordan 1,Athletic,Sneaker,True
v1|267642474896|0,consumer_products,Nike Air Jordan 1 Retro High OG FC Black Red Size 11 Mens NEW IN HAND,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,239.99,USD,cory-z-stuff,100.0,968,US,,12.0,400.0,True,30.0,Air Jordan,,,,,,,True
