item_id,dataset_source,title,search_query,marketplace,category,condition,price,currency,seller_username,seller_feedback_pct,seller_feedback_score,item_location,item_location_city,n_images,description_length,returns_accepted,return_period_days,spec_brand,spec_upc,spec_ean,spec_mpn,spec_model,spec_type,spec_style,has_detail
v1|137212734716|435541736925,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|137218989162|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|397449502475|666030158030,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|137227719218|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|198277597624|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|168043864390|467646158054,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|136943697069|435420854353,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|298238912587|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|298218549915|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
v1|306884744849|0,consumer_products,*NEW* Men Nike Dunk Low Retro BLUE LEGEND BLUE / VARSITY MAIZE (HF5441-403) 👍,Nike Air Jordan 1 Retro High OG,EBAY_US,Athletic Shoes,New with box,74.99,USD,thornhill-kicks,99.9,3759.0,US,,8.0,654.0,False,30.0,Nike,0191984199627,3508440561114,Dv0833800,New Balance 550,Athletic,Sneaker,True
