algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.5292976429578073,2.844514846801758,{'n_clusters': 15},127,195,28061,18207,28256,0.6975339155269951,0.690118912797282,99.30988108720273,0.84836605965575,0.848485284377631,0.8421911508363312,0.854075928529785,Normal,,,,,
K-Means (Smart),15,0.5292976429578073,2.844514846801758,{'n_clusters': 15},127,192,28064,18207,28256,0.6975339155269951,0.6795016987542469,99.32049830124575,0.8162058152793614,0.8162800916554774,0.8063377637606067,0.8251169729436496,Smart,,,,,
DBSCAN (Normal),266,0.8422586198042528,3.65802001953125,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8812270204022782,0.8813446642674001,0.878166019596968,0.8841379795351454,Normal,1743.0,,,,
DBSCAN (Smart),266,0.8422586198042528,3.65802001953125,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.879929349001514,0.8800262999887386,0.8778555975211764,0.8819338602771772,Smart,1743.0,,,,
Hierarchical-Ward (Normal),15,0.5239465570575249,6.5546183586120605,"{'n_clusters': 15, 'linkage': 'ward'}",127,201,28055,18207,28256,0.6975339155269951,0.7113533408833522,99.28864665911665,0.8783104615932988,0.8782732885890823,0.870031978072179,0.8855974800616581,Normal,,,,,
Hierarchical-Ward (Smart),15,0.5239465570575249,6.5546183586120605,"{'n_clusters': 15, 'linkage': 'ward'}",127,199,28057,18207,28256,0.6975339155269951,0.7042751981879954,99.295724801812,0.8120968029368785,0.8112926144573481,0.8197113740510225,0.8038106579339089,Smart,,,,,
Hierarchical-Average (Normal),15,0.45467986536099425,8.356236934661865,"{'n_clusters': 15, 'linkage': 'average'}",127,209,28047,18207,28256,0.6975339155269951,0.7396659116647792,99.26033408833523,0.8641565942881592,0.8641639603475608,0.8557473875511131,0.8716393774004447,Normal,,,,,
Hierarchical-Average (Smart),15,0.45467986536099425,8.356236934661865,"{'n_clusters': 15, 'linkage': 'average'}",127,183,28073,18207,28256,0.6975339155269951,0.6476500566251416,99.35234994337486,0.8290884479749225,0.8280171188321601,0.8074484308531985,0.8463558345074933,Smart,,,,,
GMM (Normal),15,0.4491775861823036,7.7218053340911865,{'n_components': 15},127,197,28059,18207,28256,0.6975339155269951,0.6971970554926387,99.30280294450736,0.8776150254820201,0.8776379352262513,0.8703955314009661,0.884072648707042,Normal,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
GMM (Smart),15,0.4491775861823036,7.7218053340911865,{'n_components': 15},127,197,28059,18207,28256,0.6975339155269951,0.6971970554926387,99.30280294450736,0.8685626715135963,0.8686758757358451,0.8649875530824426,0.871953336573849,Smart,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
HDBSCAN (Normal),600,0.9305069974325383,4.574216365814209,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9038461538461539,0.9039403254471604,0.9006496713650697,0.9068433614762567,Normal,1167.0,,,,
HDBSCAN (Smart),600,0.9305069974325383,4.574216365814209,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.877224591851743,0.8773415396559123,0.8739381583418281,0.8803440243683928,Smart,1167.0,,,,
