algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.5292976429578073,2.784564733505249,{'n_clusters': 15},127,195,28061,18207,28256,0.6975339155269951,0.690118912797282,99.30988108720273,0.8505755318769823,0.8505802160885569,0.8413004806782484,0.8588263021447089,Normal,,,,,
K-Means (Smart),15,0.5292976429578073,2.784564733505249,{'n_clusters': 15},127,195,28061,18207,28256,0.6975339155269951,0.690118912797282,99.30988108720273,0.8555646626991198,0.8554426196512114,0.8445518352318491,0.8651203035042764,Smart,,,,,
DBSCAN (Normal),266,0.8422586198042528,3.009326457977295,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8402422319948093,0.8397932908450454,0.8448613833660039,0.8353395749739931,Normal,1743.0,,,,
DBSCAN (Smart),266,0.8422586198042528,3.009326457977295,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8542642924086223,0.8537560060602987,0.8591927001706544,0.8489783721190841,Smart,1743.0,,,,
Hierarchical-Ward (Normal),15,0.5239465570575249,7.105414628982544,"{'n_clusters': 15, 'linkage': 'ward'}",127,200,28056,18207,28256,0.6975339155269951,0.7078142695356738,99.29218573046433,0.8577487881380097,0.857808447433446,0.8565678346810423,0.858910453565242,Normal,,,,,
Hierarchical-Ward (Smart),15,0.5239465570575249,7.105414628982544,"{'n_clusters': 15, 'linkage': 'ward'}",127,196,28060,18207,28256,0.6975339155269951,0.6936579841449604,99.30634201585504,0.8658588738417676,0.8659634709835042,0.8631173176230998,0.8684927678009923,Smart,,,,,
Hierarchical-Average (Normal),15,0.45467986536099425,7.32538104057312,"{'n_clusters': 15, 'linkage': 'average'}",127,208,28048,18207,28256,0.6975339155269951,0.7361268403171007,99.2638731596829,0.853001996577296,0.8530921020535625,0.8458749205637173,0.859499062872721,Normal,,,,,
Hierarchical-Average (Smart),15,0.45467986536099425,7.32538104057312,"{'n_clusters': 15, 'linkage': 'average'}",127,181,28075,18207,28256,0.6975339155269951,0.6405719139297849,99.35942808607021,0.8378984861976848,0.8373954615039942,0.8216622908421176,0.8514250269334988,Smart,,,,,
GMM (Normal),15,0.4491775861823036,7.530867099761963,{'n_components': 15},127,196,28060,18207,28256,0.6975339155269951,0.6936579841449604,99.30634201585504,0.8664647184604419,0.8664376513627516,0.8575989054839813,0.8742912738618446,Normal,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
GMM (Smart),15,0.4491775861823036,7.530867099761963,{'n_components': 15},127,198,28058,18207,28256,0.6975339155269951,0.7007361268403172,99.29926387315969,0.8621427043980326,0.8621170111925343,0.853028345618968,0.8701926303778778,Smart,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
HDBSCAN (Normal),600,0.9305069974325383,4.179248809814453,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9132593028386528,0.9132747563271499,0.9077614858260019,0.9181385987437971,Normal,1167.0,,,,
HDBSCAN (Smart),600,0.9305069974325383,4.179248809814453,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9180026474481542,0.9180706227075104,0.9142637447135717,0.9214290747656966,Smart,1167.0,,,,
