algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,bic,aic,converged,probabilities,n_noise
K-Means (Normal),15,0.7216320959246569,93.03893494606018,{'n_clusters': 15},127,176,190942,138534,191118,0.0916742460334647,0.09208970374323716,99.90791029625676,0.9303034429303139,0.9301513609919823,0.9229093773895313,0.9364032572542723,Normal,,,,,
K-Means (Smart),15,0.7216320959246569,93.03893494606018,{'n_clusters': 15},127,162,190956,138534,191118,0.0916742460334647,0.08476438640002512,99.91523561359998,0.9373206393095792,0.9372510114015157,0.931419567397221,0.9422866428464658,Smart,,,,,
Hierarchical-Ward (Normal),15,0.7186788000278349,617.1217527389526,"{'n_clusters': 15, 'linkage': 'ward'}",127,175,190943,138534,191118,0.0916742460334647,0.09156646679015058,99.90843353320984,0.9354728898152852,0.9352161288666556,0.9275529343972152,0.9418318642979553,Normal,,,,,
Hierarchical-Ward (Smart),15,0.7186788000278349,617.1217527389526,"{'n_clusters': 15, 'linkage': 'ward'}",127,163,190955,138534,191118,0.0916742460334647,0.08528762335311169,99.91471237664689,0.9428661202901207,0.9427567024904918,0.9369713915977261,0.9477525453274206,Smart,,,,,
Hierarchical-Average (Normal),15,0.6177976200538705,772.4115874767303,"{'n_clusters': 15, 'linkage': 'average'}",127,183,190935,138534,191118,0.0916742460334647,0.0957523624148432,99.90424763758516,0.9507947730903187,0.950563975208001,0.9444592237888327,0.9558329219848154,Normal,,,,,
Hierarchical-Average (Smart),15,0.6177976200538705,772.4115874767303,"{'n_clusters': 15, 'linkage': 'average'}",127,167,190951,138534,191118,0.0916742460334647,0.08738057116545798,99.91261942883453,0.9337212164377249,0.9336130144524577,0.9270791320480761,0.9392543101793188,Smart,,,,,
GMM (Normal),15,0.6850189019502038,129.2738800048828,{'n_components': 15},127,177,190941,138534,191118,0.0916742460334647,0.09261294069632374,99.90738705930367,0.9617578204785772,0.9616258352932153,0.9572387299282041,0.9654130352406215,Normal,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]",
GMM (Smart),15,0.6850189019502038,129.2738800048828,{'n_components': 15},127,161,190957,138534,191118,0.0916742460334647,0.08424114944693854,99.91575885055306,0.9449195368590835,0.9448310358760756,0.9394201195701005,0.9495035815105717,Smart,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]",
HDBSCAN (Normal),575,0.9957879681273996,108.26924800872803,"{'min_cluster_size': 5, 'min_samples': 5}",575,1467,189651,138534,191118,0.41506056274993863,0.7675886101780052,99.23241138982199,0.8445829444611418,0.8433156290857245,0.8531558416324985,0.8349469982472744,Normal,,,,,658.0
HDBSCAN (Smart),575,0.9957879681273996,108.26924800872803,"{'min_cluster_size': 5, 'min_samples': 5}",575,1467,189651,138534,191118,0.41506056274993863,0.7675886101780052,99.23241138982199,0.8129247934363647,0.8100526607503262,0.8282844904774581,0.7945473602529431,Smart,,,,,658.0
