algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,bic,aic,converged,probabilities,n_noise
K-Means (Normal),15,0.7216320959246569,96.08729696273804,{'n_clusters': 15},1385,1912,189206,138534,191118,0.9997545728846348,1.000429054301531,98.99957094569847,0.9880447765927085,0.9880360441701153,0.9869740979188502,0.9889528125885191,Normal,,,,,
K-Means (Smart),15,0.7216320959246569,96.08729696273804,{'n_clusters': 15},1385,1468,189650,138534,191118,0.9997545728846348,0.7681118471310918,99.2318881528689,0.8930029000790931,0.8931012408472435,0.8874854449681175,0.8980045237496859,Smart,,,,,
Hierarchical-Ward (Normal),15,0.7186788000278349,402.4814703464508,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1910,189208,138534,191118,0.9997545728846348,0.9993825803953579,99.00061741960464,0.9871464208701535,0.9871406653202776,0.9860441628793095,0.9880873074963753,Normal,,,,,
Hierarchical-Ward (Smart),15,0.7186788000278349,402.4814703464508,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1468,189650,138534,191118,0.9997545728846348,0.7681118471310918,99.2318881528689,0.9422620616925916,0.9423223181316758,0.939597537565367,0.9447014382676148,Smart,,,,,
Hierarchical-Average (Normal),15,0.6177976200538705,500.2303943634033,"{'n_clusters': 15, 'linkage': 'average'}",1385,1912,189206,138534,191118,0.9997545728846348,1.000429054301531,98.99957094569847,0.9909992283542806,0.990994864926218,0.9902222528434699,0.9916618112915624,Normal,,,,,
Hierarchical-Average (Smart),15,0.6177976200538705,500.2303943634033,"{'n_clusters': 15, 'linkage': 'average'}",1385,1454,189664,138534,191118,0.9997545728846348,0.7607865297878798,99.23921347021212,0.9427408469714864,0.9423518435853239,0.9347638041232159,0.9489795918367347,Smart,,,,,
GMM (Normal),15,0.6850189019502038,129.03185963630676,{'n_components': 15},1385,1909,189209,138534,191118,0.9997545728846348,0.9988593434422712,99.00114065655772,0.9920986845234635,0.992095630046807,0.9914278997494309,0.9926721074430802,Normal,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]",
GMM (Smart),15,0.6850189019502038,129.03185963630676,{'n_components': 15},1385,1459,189659,138534,191118,0.9997545728846348,0.7634027145533127,99.23659728544669,0.9376407130692453,0.9377121070695476,0.9355417123112223,0.9396073224908724,Smart,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]",
HDBSCAN (Normal),575,0.9957879681273996,103.35931730270386,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2527,188591,138534,191118,0.9997545728846348,1.3222197804497744,98.67778021955023,0.9931704057987921,0.993166889152913,0.9925260543601885,0.9937124725408836,Normal,,,,,658.0
HDBSCAN (Smart),575,0.9957879681273996,103.35931730270386,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2447,188671,138534,191118,0.9997545728846348,1.2803608242028486,98.71963917579714,0.991816442378532,0.9918119519900379,0.9910513504114988,0.9924610111229383,Smart,,,,,658.0
