algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.7216320959246569,97.2460207939148,{'n_clusters': 15},1385,1911,189207,138534,191118,0.9997545728846348,0.9999058173484444,99.00009418265155,0.9904760394699985,0.990471996304644,0.9896622148790675,0.9911710811261036,Normal,,,,,
K-Means (Smart),15,0.7216320959246569,97.2460207939148,{'n_clusters': 15},1385,1468,189650,138534,191118,0.9997545728846348,0.7681118471310918,99.2318881528689,0.9156129712628526,0.9156834054307595,0.9142244613570586,0.9169572436695724,Smart,,,,,
DBSCAN (Normal),35,0.7876981014334454,152.52827286720276,"{'eps': 0.5, 'min_samples': 5}",1385,1909,189209,138534,191118,0.9997545728846348,0.9988593434422712,99.00114065655772,0.991422183934168,0.9914198747701634,0.9907082457877954,0.9920342385409355,Normal,18.0,,,,
DBSCAN (Smart),35,0.7876981014334454,152.52827286720276,"{'eps': 0.5, 'min_samples': 5}",1385,3842,187276,138534,191118,0.9997545728846348,2.0102763737586202,97.98972362624137,0.9607744719024328,0.9608112698916269,0.9572165728995585,0.9637860488045353,Smart,18.0,,,,
Hierarchical-Ward (Normal),15,0.7186788000278349,275.9922659397125,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1912,189206,138534,191118,0.9997545728846348,1.000429054301531,98.99957094569847,0.9903544285064956,0.9903510133042722,0.9895398089080707,0.9910513334738968,Normal,,,,,
Hierarchical-Ward (Smart),15,0.7186788000278349,275.9922659397125,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1468,189650,138534,191118,0.9997545728846348,0.7681118471310918,99.2318881528689,0.9705984708673873,0.9705435751323748,0.967739322618345,0.9729920855573531,Smart,,,,,
Hierarchical-Average (Normal),15,0.6177976200538705,330.6195960044861,"{'n_clusters': 15, 'linkage': 'average'}",1385,1912,189206,138534,191118,0.9997545728846348,1.000429054301531,98.99957094569847,0.990481274378191,0.9904772016236943,0.9896670625426714,0.9911765426352791,Normal,,,,,
Hierarchical-Average (Smart),15,0.6177976200538705,330.6195960044861,"{'n_clusters': 15, 'linkage': 'average'}",1385,1454,189664,138534,191118,0.9997545728846348,0.7607865297878798,99.23921347021212,0.970421376750464,0.9703453563710522,0.9673343426109234,0.9729753164922827,Smart,,,,,
GMM (Normal),15,0.6850189019502038,125.76326370239258,{'n_components': 15},1385,1911,189207,138534,191118,0.9997545728846348,0.9999058173484444,99.00009418265155,0.9885416501503644,0.9885340756769739,0.9875260353735861,0.9894043360115731,Normal,,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]"
GMM (Smart),15,0.6850189019502038,125.76326370239258,{'n_components': 15},1385,1458,189660,138534,191118,0.9997545728846348,0.762879477600226,99.23712052239976,0.9366867025202995,0.936758289222196,0.9341962494931006,0.9389955191578861,Smart,,-21554398.961765867,-21574460.419860974,True,"[[5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [5.48646479e-174 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 9.99899463e-001 0.00000000e+000 ... 0.00000000e+000
  1.00536729e-004 0.00000000e+000]
 ...
 [0.00000000e+000 1.10119454e-012 0.00000000e+000 ... 4.38303925e-010
  9.42441120e-034 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]]"
HDBSCAN (Normal),575,0.9957879681273996,106.7305543422699,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2527,188591,138534,191118,0.9997545728846348,1.3222197804497744,98.67778021955023,0.9923061015637014,0.9923015160787889,0.9915722342581998,0.9929224000429241,Normal,658.0,,,,
HDBSCAN (Smart),575,0.9957879681273996,106.7305543422699,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2447,188671,138534,191118,0.9997545728846348,1.2803608242028486,98.71963917579714,0.9915037287129448,0.991498184155788,0.9906981332435836,0.9921809073659462,Smart,658.0,,,,
