algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.4828816434873652,2.670117139816284,{'n_clusters': 15},182,284,27972,18207,28256,0.9996155324875048,1.0050962627406568,98.99490373725935,0.855033605033605,0.8551490963254565,0.8492396921589769,0.8603986642338279,Normal,,,,,
K-Means (Smart),15,0.4828816434873652,2.670117139816284,{'n_clusters': 15},182,272,27984,18207,28256,0.9996155324875048,0.9626274065685164,99.03737259343148,0.8427315608919382,0.8428647581887461,0.8377750746433705,0.84739415375013,Smart,,,,,
DBSCAN (Normal),294,0.8735329273868765,2.1124491691589355,"{'eps': np.float64(0.03932909686659778), 'min_samples': 5}",294,564,27692,18207,28256,1.6147635524798154,1.9960362400906002,98.0039637599094,0.8360176224180269,0.8351973045607922,0.8431704368848213,0.8281811646297628,Normal,1769.0,,,,
DBSCAN (Smart),294,0.8735329273868765,2.1124491691589355,"{'eps': np.float64(0.03932909686659778), 'min_samples': 5}",294,564,27692,18207,28256,1.6147635524798154,1.9960362400906002,98.0039637599094,0.8837931532572584,0.8835761746970661,0.8862093352192362,0.8812721369539551,Smart,1769.0,,,,
Hierarchical-Ward (Normal),15,0.491042787869057,6.1744115352630615,"{'n_clusters': 15, 'linkage': 'ward'}",182,293,27963,18207,28256,0.9996155324875048,1.036947904869762,98.96305209513024,0.8960411972964274,0.8961107141288415,0.8910460627412765,0.9005983928876731,Normal,,,,,
Hierarchical-Ward (Smart),15,0.491042787869057,6.1744115352630615,"{'n_clusters': 15, 'linkage': 'ward'}",182,246,28010,18207,28256,0.9996155324875048,0.8706115515288788,99.12938844847112,0.8335951445912174,0.8333752357398299,0.8202260192077757,0.8451134815405577,Smart,,,,,
Hierarchical-Average (Normal),15,0.34287250947652087,7.2425782680511475,"{'n_clusters': 15, 'linkage': 'average'}",182,273,27983,18207,28256,0.9996155324875048,0.9661664779161947,99.0338335220838,0.8931136761605261,0.8931323681718268,0.8869144391092291,0.898668563878443,Normal,,,,,
Hierarchical-Average (Smart),15,0.34287250947652087,7.2425782680511475,"{'n_clusters': 15, 'linkage': 'average'}",182,276,27980,18207,28256,0.9996155324875048,0.9767836919592299,99.02321630804077,0.859542530378842,0.8591788045635795,0.8461839530332681,0.8707661953304834,Smart,,,,,
GMM (Normal),15,0.3735207987258205,5.9229960441589355,{'n_components': 15},182,287,27969,18207,28256,0.9996155324875048,1.015713476783692,98.9842865232163,0.8846580142300404,0.8846352314015905,0.8769641495041953,0.8914462615250017,Normal,,-1421822.1300555165,-1429545.786294461,True,"[[6.46440153e-016 0.00000000e+000 0.00000000e+000 ... 2.68420945e-010
  3.01537002e-012 3.38058507e-024]
 [2.80531062e-011 0.00000000e+000 0.00000000e+000 ... 2.11782699e-013
  1.85450503e-010 1.49154707e-025]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 1.89597822e-312
  0.00000000e+000 2.63334520e-018]
 ...
 [9.99986510e-001 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  2.76304844e-027 1.34892010e-005]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.35931504e-256]
 [4.97421879e-011 0.00000000e+000 0.00000000e+000 ... 4.59028768e-012
  1.63459307e-012 2.98202691e-024]]"
GMM (Smart),15,0.3735207987258205,5.9229960441589355,{'n_components': 15},182,248,28008,18207,28256,0.9996155324875048,0.8776896942242356,99.12231030577576,0.8741431019708654,0.874246908588171,0.869729110462323,0.8782677763580481,Smart,,-1421822.1300555165,-1429545.786294461,True,"[[6.46440153e-016 0.00000000e+000 0.00000000e+000 ... 2.68420945e-010
  3.01537002e-012 3.38058507e-024]
 [2.80531062e-011 0.00000000e+000 0.00000000e+000 ... 2.11782699e-013
  1.85450503e-010 1.49154707e-025]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 1.89597822e-312
  0.00000000e+000 2.63334520e-018]
 ...
 [9.99986510e-001 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  2.76304844e-027 1.34892010e-005]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.35931504e-256]
 [4.97421879e-011 0.00000000e+000 0.00000000e+000 ... 4.59028768e-012
  1.63459307e-012 2.98202691e-024]]"
HDBSCAN (Normal),585,0.9295056855034923,2.97552752494812,"{'min_cluster_size': 5, 'min_samples': 5}",585,1022,27234,18207,28256,3.2130499258526943,3.616930917327293,96.3830690826727,0.9275905118601748,0.927657887137306,0.9246004435268028,0.9303524758070213,Normal,1158.0,,,,
HDBSCAN (Smart),585,0.9295056855034923,2.97552752494812,"{'min_cluster_size': 5, 'min_samples': 5}",585,1022,27234,18207,28256,3.2130499258526943,3.616930917327293,96.3830690826727,0.9145186164353382,0.9146119974427497,0.9122171945701357,0.9167024474023185,Smart,1158.0,,,,
