feature,importance
h2_is_obfuscation,0.1902179404605397
h3_distribution_score,0.18534699654815867
h1_plausible,0.13764497605120823
h4_coherence_score,0.11042075853124501
h7_gain_direction,0.10941844467888835
h2_min_edit_distance,0.09453013903884087
h6_column_importance,0.0404803376728974
h5_error_count,0.03987854826634409
h7_comprehensibility,0.03367460061105381
h5_codependent_flag,0.025223753419548717
h8_is_majority_value,0.014679737584909976
h7_mutability,0.010740935573750832
h8_is_sensitive,0.007742831562614528
