row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
68,age,1,,,0.7662577840363072,0.40212157794460823,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,17.0,0.3617021276595745,-1.0,46.0,29.0,3.8501476017100584,3.4011973816621555,0.0,32.0,15.0,-1,-1.0
72,age,1,,,0.9907022069980864,0.9985417599462061,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,9.0,0.2903225806451613,1.0,30.0,39.0,3.4339872044851463,3.6888794541139363,0.0,16.0,25.0,-1,-1.0
100,age,1,,,0.6261421935496769,0.0,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,3.0,0.057692307692307696,1.0,51.0,54.0,3.9512437185814275,4.007333185232471,0.0,37.0,40.0,-1,1.0
152,age,0,,,0.18867017741158554,0.5698191841308764,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,22.0,0.43137254901960786,1.0,50.0,72.0,3.9318256327243257,4.290459441148391,0.0,36.0,58.0,-1,1.0
170,age,1,,,0.9849937921053529,0.4006633378908149,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,16.0,0.2909090909090909,-1.0,54.0,38.0,4.007333185232471,3.6635616461296463,0.0,40.0,24.0,-1,-1.0
188,age,1,,,0.9849937921053529,0.8323023938137318,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,4.0,0.11428571428571428,1.0,34.0,38.0,3.5553480614894135,3.6635616461296463,0.0,20.0,24.0,-1,-1.0
205,age,1,,,0.6990541962393588,0.7010607889723042,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,17.0,0.4857142857142857,1.0,34.0,51.0,3.5553480614894135,3.9512437185814275,0.0,20.0,37.0,-1,-1.0
217,age,1,,,0.6933457813466253,0.9270879973103181,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,5.0,0.22727272727272727,1.0,21.0,26.0,3.091042453358316,3.295836866004329,0.0,7.0,12.0,-1,-1.0
262,age,1,,,0.5718257768638222,0.26358877283421267,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,8.0,0.26666666666666666,-1.0,29.0,21.0,3.4011973816621555,3.091042453358316,0.0,15.0,7.0,-1,-1.0
281,age,1,,,0.7662577840363072,0.0,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,3.0,0.09090909090909091,-1.0,32.0,29.0,3.4965075614664802,3.4011973816621555,0.0,18.0,15.0,-1,-1.0
302,age,1,,,0.9606897912087923,0.7346003102095578,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,1.0,0.02564102564102564,-1.0,38.0,37.0,3.6635616461296463,3.6375861597263857,0.0,24.0,23.0,-1,-1.0
314,age,1,,,0.9363857903122317,0.6179411059060667,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.05714285714285714,1.0,34.0,36.0,3.5553480614894135,3.6109179126442243,0.0,20.0,22.0,-1,-1.0
384,age,1,,,0.9177902043084045,0.6835619083267803,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,13.0,0.43333333333333335,1.0,29.0,42.0,3.4011973816621555,3.7612001156935624,0.0,15.0,28.0,-1,-1.0
403,age,1,,,0.7662577840363072,0.2067174107362607,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.07142857142857142,1.0,27.0,29.0,3.332204510175204,3.4011973816621555,0.0,13.0,15.0,-1,-1.0
426,age,1,,,0.45601418727375254,0.0,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.03333333333333333,1.0,59.0,61.0,4.0943445622221,4.127134385045092,0.0,45.0,47.0,-1,-1.0
487,age,1,,,0.6690417804500647,0.8731331153199536,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.07142857142857142,-1.0,27.0,25.0,3.332204510175204,3.258096538021482,0.0,13.0,11.0,-1,-1.0
591,age,1,,,0.8634737876225498,0.6500223870895271,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.0625,1.0,31.0,33.0,3.4657359027997265,3.5263605246161616,0.0,17.0,19.0,-1,-1.0
599,age,1,,,0.6204337786569434,0.9839593594082701,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,1.0,0.043478260869565216,1.0,22.0,23.0,3.1354942159291497,3.1780538303479458,0.0,8.0,9.0,-1,-1.0
617,age,1,,,0.8877777885191104,0.25046461235007,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,18.0,0.33962264150943394,-1.0,52.0,34.0,3.970291913552122,3.5553480614894135,0.0,38.0,20.0,-1,-1.0
634,age,1,,,0.8148657858294285,0.1396383682617538,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,11.0,0.2558139534883721,-1.0,42.0,31.0,3.7612001156935624,3.4657359027997265,0.0,28.0,17.0,-1,-1.0
663,age,1,,,0.5718257768638222,0.4064962981059893,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,3.0,0.12,-1.0,24.0,21.0,3.2188758248682006,3.091042453358316,0.0,10.0,7.0,-1,-1.0
667,age,1,,,0.6690417804500647,0.2942118139638793,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,16.0,0.38095238095238093,-1.0,41.0,25.0,3.7376696182833684,3.258096538021482,0.0,27.0,11.0,-1,-1.0
701,age,1,,,0.9849937921053529,0.943128637902048,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.04878048780487805,-1.0,40.0,38.0,3.713572066704308,3.6635616461296463,0.0,26.0,24.0,-1,-1.0
784,age,1,,,0.8934862034118439,0.38462269729908494,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,6.0,0.12,-1.0,49.0,43.0,3.912023005428146,3.784189633918261,0.0,35.0,29.0,-1,-1.0
832,age,1,,,0.6933457813466253,0.0,3,0,0.11664145071594606,1.0,0.5,0.0,1,0,36.0,0.5714285714285714,-1.0,62.0,26.0,4.143134726391533,3.295836866004329,0.0,48.0,12.0,-1,
838,age,1,,,0.45601418727375254,0.547945583323972,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,9.0,0.1267605633802817,-1.0,70.0,61.0,4.2626798770413155,4.127134385045092,0.0,56.0,47.0,-1,-1.0
873,age,1,,,0.6261421935496769,0.6631465475736698,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,4.0,0.0784313725490196,1.0,50.0,54.0,3.9318256327243257,4.007333185232471,0.0,36.0,40.0,-1,1.0
899,age,1,,,0.9849937921053529,0.88771551585789,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,52.0,0.5714285714285714,-1.0,90.0,38.0,4.51085950651685,3.6635616461296463,0.0,76.0,24.0,-1,-1.0
903,age,0,,,0.4989137741741403,0.49690718144119506,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,1.0,0.05555555555555555,1.0,17.0,18.0,2.8903717578961645,2.9444389791664403,0.0,3.0,4.0,-1,-1.0
944,age,1,,,0.5718257768638222,0.9183385569875562,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,1.0,0.047619047619047616,1.0,20.0,21.0,3.044522437723423,3.091042453358316,0.0,6.0,7.0,-1,-1.0
945,age,1,,,0.9363857903122317,0.6223158260674477,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,2.0,0.05128205128205128,-1.0,38.0,36.0,3.6635616461296463,3.6109179126442243,0.0,24.0,22.0,-1,-1.0
