feature,importance
h1_plausible,0.1263095218547668
stat_relative_change,0.10215178102178339
stat_new_value_encoded,0.09736053219616497
stat_new_magnitude,0.08933475591305337
h5_error_count,0.07591948219764556
h5_codependent_flag,0.06462919294297322
stat_original_value_encoded,0.057549899310600526
stat_new_log,0.05694271911698273
stat_change_magnitude,0.050858640958196845
h6_column_importance,0.04554579486123442
stat_original_log,0.04545976001778154
stat_original_magnitude,0.0448285687817272
stat_feature_name_encoded,0.04442512510496565
h4_coherence_score,0.03972371636966391
h3_distribution_score,0.03562495033016388
stat_change_direction,0.016112644195410065
h7_comprehensibility,0.007222914826885958
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
h7_mutability,0.0
h7_gain_direction,0.0
