row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
92,followers_count,0,,,0.9509922096633139,0.9563601949722387,3,1,1.0,1.0,0.5,1.0,0,0,1713.0,0.9994165694282381,-1.0,1713.0,0.0,7.446585099157725,0.0,0.0,778.0,0.0,-1,-1.0
97,followers_count,0,,,0.9509922096633139,0.9997478282541551,1,0,1.0,1.0,0.5,1.0,0,0,231.0,0.9956896551724138,-1.0,231.0,0.0,5.44673737166631,0.0,0.0,1190.0,0.0,-1,-1.0
100,followers_count,0,,,0.9509922096633139,0.9999959871782251,1,0,1.0,1.0,0.5,1.0,0,0,112.0,0.9911504424778761,-1.0,112.0,0.0,4.727387818712341,0.0,0.0,175.0,0.0,-1,-1.0
118,followers_count,0,,,0.9509922096633139,0.9986701031618451,1,0,1.0,1.0,0.5,1.0,0,0,1038.0,0.9990375360923965,-1.0,1038.0,0.0,6.946013991099227,0.0,0.0,74.0,0.0,-1,-1.0
165,followers_count,0,,,0.9509922096633139,0.996099679503751,1,0,1.0,1.0,0.5,1.0,0,0,19738.0,0.9999493388722833,-1.0,19738.0,0.0,9.890351653142988,0.0,0.0,991.0,0.0,-1,-1.0
175,followers_count,0,,,0.9509922096633139,0.9999988200044416,1,0,1.0,1.0,0.5,1.0,0,0,4.0,0.8,-1.0,4.0,0.0,1.6094379124341003,0.0,0.0,2001.0,0.0,-1,-1.0
219,followers_count,0,,,0.9509922096633139,0.9999964516445619,1,0,1.0,1.0,0.5,1.0,0,0,4.0,0.8,-1.0,4.0,0.0,1.6094379124341003,0.0,0.0,2001.0,0.0,-1,-1.0
257,followers_count,0,,,0.9509922096633139,0.9988640785310002,1,0,1.0,1.0,0.5,1.0,0,0,1204.0,0.9991701244813278,-1.0,1204.0,0.0,7.094234845924755,0.0,0.0,285.0,0.0,-1,-1.0
310,followers_count,0,,,0.9509922096633139,0.9999876769967392,1,0,1.0,1.0,0.5,1.0,0,0,7.0,0.875,-1.0,7.0,0.0,2.0794415416798357,0.0,0.0,2798.0,0.0,-1,-1.0
320,followers_count,0,,,0.9509922096633139,0.999909671758441,3,1,1.0,1.0,0.5,1.0,0,0,435.0,0.9977064220183486,-1.0,435.0,0.0,6.077642243349034,0.0,0.0,2123.0,0.0,-1,
376,followers_count,0,,,0.9509922096633139,0.999757050630789,1,0,1.0,1.0,0.5,1.0,0,0,1792.0,0.9994422755158952,-1.0,1792.0,0.0,7.491645473605133,0.0,0.0,850.0,0.0,-1,-1.0
396,followers_count,0,,,0.9509922096633139,0.9981102036381372,1,0,1.0,1.0,0.5,1.0,0,0,7255.0,0.9998621830209482,-1.0,7255.0,0.0,8.889583991794973,0.0,0.0,2851.0,0.0,-1,-1.0
520,followers_count,0,,,0.9509922096633139,0.9991215518880951,1,0,1.0,1.0,0.5,1.0,0,0,3164.0,0.9996840442338073,-1.0,3164.0,0.0,8.059908334578276,0.0,0.0,1635.0,0.0,-1,-1.0
525,followers_count,0,,,0.9509922096633139,0.999926354887134,1,0,1.0,1.0,0.5,1.0,0,0,52.0,0.9811320754716981,-1.0,52.0,0.0,3.970291913552122,0.0,0.0,2386.0,0.0,-1,-1.0
567,followers_count,0,,,0.9509922096633139,0.9999672865061144,1,0,1.0,1.0,0.5,1.0,0,0,13.0,0.9285714285714286,-1.0,13.0,0.0,2.6390573296152584,0.0,0.0,378.0,0.0,-1,-1.0
573,followers_count,0,,,0.9509922096633139,0.9995843319192111,1,0,1.0,1.0,0.5,1.0,0,0,1659.0,0.9993975903614458,-1.0,1659.0,0.0,7.414572881350589,0.0,0.0,735.0,0.0,-1,-1.0
581,followers_count,1,,,0.9595197000239233,0.7237702703846776,1,0,1.0,1.0,0.5,1.0,0,0,240991.0,0.6633972714359646,-1.0,363267.0,122276.0,12.802896132854528,11.71404424184709,0.0,1850.0,304.0,-1,-1.0
586,followers_count,0,,,0.9509922096633139,0.9998766444359495,1,0,1.0,1.0,0.5,1.0,0,0,469.0,0.997872340425532,-1.0,469.0,0.0,6.152732694704104,0.0,0.0,2234.0,0.0,-1,-1.0
631,followers_count,0,,,0.5012298616641295,0.0,1,0,1.0,1.0,0.5,1.0,0,0,195264.0,0.024256780200134834,-1.0,8049872.0,7854608.0,15.901166872872782,15.876611051220966,0.0,2997.0,2964.0,-1,-1.0
668,followers_count,0,,,0.9509922096633139,0.9982629293753245,1,0,1.0,1.0,0.5,1.0,0,0,296.0,0.9966329966329966,-1.0,296.0,0.0,5.6937321388027,0.0,0.0,1529.0,0.0,-1,-1.0
672,followers_count,0,,,0.9509922096633139,0.9999693996187279,2,1,1.0,1.0,0.5,1.0,0,0,369.0,0.9972972972972973,-1.0,369.0,0.0,5.91350300563827,0.0,0.0,1874.0,0.0,-1,-1.0
761,followers_count,0,,,0.9509922096633139,0.9999757431409497,1,0,1.0,1.0,0.5,1.0,0,0,201.0,0.995049504950495,-1.0,201.0,0.0,5.308267697401205,0.0,0.0,1020.0,0.0,-1,-1.0
766,followers_count,0,,,0.9509922096633139,0.999996665048014,1,0,1.0,1.0,0.5,1.0,0,0,28.0,0.9655172413793104,-1.0,28.0,0.0,3.367295829986474,0.0,0.0,1455.0,0.0,-1,-1.0
795,followers_count,0,,,0.9509922096633139,0.9999954850524555,1,0,1.0,1.0,0.5,1.0,0,0,2.0,0.6666666666666666,-1.0,2.0,0.0,1.0986122886681098,0.0,0.0,1008.0,0.0,-1,-1.0
804,followers_count,0,,,0.9509922096633139,0.9325171252155331,1,0,1.0,1.0,0.5,1.0,0,0,101889.0,0.9999901854941604,-1.0,101889.0,0.0,11.53164907896833,0.0,0.0,29.0,0.0,-1,-1.0
817,followers_count,0,,,0.8011743414009578,0.0,1,0,1.0,1.0,0.5,1.0,0,0,196664.0,0.052438727182844945,-1.0,3750357.0,3553693.0,15.137361860056608,15.083498183821078,0.0,1899.0,1813.0,-1,-1.0
826,followers_count,0,,,0.9509922096633139,0.9999007841323201,1,0,1.0,1.0,0.5,1.0,0,0,557.0,0.9982078853046595,-1.0,557.0,0.0,6.324358962381311,0.0,0.0,2482.0,0.0,-1,-1.0
951,followers_count,0,,,0.9509922096633139,0.9994166553872358,1,0,1.0,1.0,0.5,1.0,0,0,3070.0,0.9996743731683491,-1.0,3070.0,0.0,8.029758520440822,0.0,0.0,1587.0,0.0,-1,-1.0
953,followers_count,0,,,0.9133001415744926,0.06986546739796173,1,0,1.0,1.0,0.5,1.0,0,0,201927.0,0.09401376728767671,-1.0,2147844.0,1945917.0,14.579975571858247,14.481244403121872,0.0,1100.0,966.0,-1,-1.0
987,followers_count,0,,,0.9509922096633139,0.9954352876074015,1,0,1.0,1.0,0.5,1.0,0,0,3501.0,0.9997144488863506,-1.0,3501.0,0.0,8.161089512845797,0.0,0.0,1779.0,0.0,-1,-1.0
998,followers_count,0,,,0.9509922096633139,0.9990119922295628,1,0,1.0,1.0,0.5,1.0,0,0,4331.0,0.9997691597414589,-1.0,4331.0,0.0,8.37378460812088,0.0,0.0,2117.0,0.0,-1,-1.0
1009,followers_count,0,,,0.9509922096633139,0.9999795718499425,1,0,1.0,1.0,0.5,1.0,0,0,93.0,0.9893617021276596,-1.0,93.0,0.0,4.543294782270004,0.0,0.0,3226.0,0.0,-1,-1.0
1053,followers_count,0,,,0.0,0.0,2,1,1.0,1.0,0.5,1.0,0,0,196294.0,0.0022554280868438744,-1.0,87031814.0,86835520.0,18.281784299425865,18.27952632403019,0.0,3119.0,3114.0,-1,-1.0
1086,followers_count,0,,,0.9509922096633139,0.9973100327493224,1,0,1.0,1.0,0.5,1.0,0,0,1310.0,0.9992372234935164,-1.0,1310.0,0.0,7.1785454837637,0.0,0.0,395.0,0.0,-1,-1.0
1129,followers_count,0,,,0.0,0.0,1,0,1.0,1.0,0.5,1.0,0,0,197073.0,0.004929815426037434,-1.0,39975735.0,39778662.0,17.503783228021994,17.498841220971077,0.0,1999.0,1988.0,-1,-1.0
