feature,importance
n_applicable,0.16565373958229138
cell_signal_ratio,0.1491576586033383
cell_signal_sum,0.13214302515763948
row_signal_sum,0.10470480931028377
signal_C15,0.08872078112518925
signal_C14,0.05903528131955215
signal_C27,0.051598296259525805
signal_C8,0.0452650182004082
signal_C16,0.04336275336878005
signal_C1,0.04187469723416939
signal_C9,0.03474005624871774
signal_C12,0.01682098673820367
signal_C3,0.01365356081212328
signal_C28,0.013510395769507905
signal_C4,0.010481275290586307
signal_C30,0.00983449988462865
signal_C29,0.005070940412886522
signal_C18,0.004544295074029955
signal_C5,0.0038494182132239674
signal_C25,0.0023025576813696376
signal_C26,0.002221762288903594
signal_C19,0.00098718596687597
signal_C22,0.0004670054577649442
signal_C2,0.0
signal_C6,0.0
signal_C7,0.0
signal_C11,0.0
signal_C17,0.0
signal_C13,0.0
signal_C10,0.0
signal_C23,0.0
signal_C24,0.0
signal_C20,0.0
signal_C21,0.0
signal_C31,0.0
