feature,importance
h5_error_count,0.21061229813777704
h3_distribution_score,0.17297172083924997
h4_coherence_score,0.12989845715106899
h6_column_importance,0.1197310586391019
row_signal_sum,0.06787935759854849
h1_plausible,0.06764335326647467
h5_codependent_flag,0.04927185678665356
h7_comprehensibility,0.039803795254600656
signal_C1,0.03724244538905949
n_applicable,0.02369973512366192
cell_signal_ratio,0.019960862042467196
cell_signal_sum,0.015989534193666315
signal_C2,0.009403949590067913
signal_C8,0.00934197954368747
h8_is_sensitive,0.009334447150800151
h8_is_majority_value,0.008743634741117877
signal_C3,0.00609000035640221
signal_C7,0.0015305150032491185
signal_C6,0.000850999192345134
h2_min_edit_distance,0.0
h7_gain_direction,0.0
h7_mutability,0.0
h2_is_obfuscation,0.0
signal_C5,0.0
signal_C12,0.0
signal_C13,0.0
signal_C14,0.0
signal_C15,0.0
signal_C4,0.0
signal_C9,0.0
signal_C10,0.0
signal_C11,0.0
signal_C19,0.0
signal_C18,0.0
signal_C17,0.0
signal_C16,0.0
signal_C20,0.0
signal_C21,0.0
signal_C22,0.0
signal_C23,0.0
signal_C27,0.0
signal_C26,0.0
signal_C25,0.0
signal_C24,0.0
signal_C31,0.0
signal_C30,0.0
signal_C29,0.0
signal_C28,0.0
