feature,importance
h5_error_count,0.18080230333017458
h6_column_importance,0.1032099009884835
stat_new_log,0.10233551458320163
stat_new_magnitude,0.0843109558265123
stat_original_value_encoded,0.07022641474381017
stat_relative_change,0.06974240473299996
h3_distribution_score,0.05786574250357947
stat_change_magnitude,0.056257677868779735
stat_new_value_encoded,0.05616264748622779
h4_coherence_score,0.05251921389093416
stat_feature_name_encoded,0.03905653049068749
h5_codependent_flag,0.027891441475239708
stat_original_log,0.01919453807080309
stat_original_magnitude,0.018784889884248063
h1_plausible,0.01807834429864316
h7_comprehensibility,0.015701400529575665
h8_is_majority_value,0.0121125476590663
stat_change_direction,0.010992809284496204
h8_is_sensitive,0.004754722352536933
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h7_mutability,0.0
h7_gain_direction,0.0
