row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,signal_C10,signal_C11,signal_C12,signal_C13,signal_C14,signal_C15,signal_C16,signal_C17,signal_C18,signal_C19,signal_C20,signal_C21,signal_C22,signal_C23,signal_C24,signal_C25,signal_C26,signal_C27,signal_C28,signal_C29,signal_C30,signal_C31,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,intent_label,predicted_intent
68,age,1,,,0.7662577840363072,0.4021215779446082,1,0,0.116641450715946,1.0,0.5,0.0,1,0,17.0,0.3617021276595745,-1.0,46.0,29.0,3.8501476017100575,3.4011973816621555,0.0,32.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,-1.0
72,age,1,,,0.9907022069980864,0.998541759946206,1,0,0.116641450715946,1.0,0.5,0.0,1,0,9.0,0.2903225806451613,1.0,30.0,39.0,3.4339872044851463,3.688879454113936,0.0,16.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,-1,-1.0
100,age,1,,,0.6261421935496769,0.0,2,0,0.116641450715946,1.0,0.5,0.0,1,0,3.0,0.0576923076923076,1.0,51.0,54.0,3.951243718581428,4.007333185232471,0.0,37.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,-1,-1.0
152,age,0,,,0.1886701774115855,0.5698191841308764,1,0,0.116641450715946,1.0,0.5,0.0,1,0,22.0,0.4313725490196078,1.0,50.0,72.0,3.9318256327243257,4.290459441148391,0.0,36.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,-1.0
170,age,1,,,0.9849937921053528,0.4006633378908149,2,0,0.116641450715946,1.0,0.5,0.0,1,0,16.0,0.2909090909090909,-1.0,54.0,38.0,4.007333185232471,3.6635616461296463,0.0,40.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,6,-1,-1.0
188,age,1,,,0.9849937921053528,0.8323023938137318,1,0,0.116641450715946,1.0,0.5,0.0,1,0,4.0,0.1142857142857142,1.0,34.0,38.0,3.555348061489413,3.6635616461296463,0.0,20.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,-1,-1.0
205,age,1,,,0.6990541962393588,0.7010607889723042,1,0,0.116641450715946,1.0,0.5,0.0,1,0,17.0,0.4857142857142857,1.0,34.0,51.0,3.555348061489413,3.951243718581428,0.0,20.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,7,-1,-1.0
217,age,1,,,0.6933457813466253,0.927087997310318,2,0,0.116641450715946,1.0,0.5,0.0,1,0,5.0,0.2272727272727272,1.0,21.0,26.0,3.091042453358316,3.295836866004329,0.0,7.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,-1,-1.0
262,age,1,,,0.5718257768638222,0.2635887728342126,1,0,0.116641450715946,1.0,0.5,0.0,1,0,8.0,0.2666666666666666,-1.0,29.0,21.0,3.4011973816621555,3.091042453358316,0.0,15.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,-1.0
281,age,1,,,0.7662577840363072,0.0,1,0,0.116641450715946,1.0,0.5,0.0,1,0,3.0,0.0909090909090909,-1.0,32.0,29.0,3.49650756146648,3.4011973816621555,0.0,18.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,-1.0
302,age,1,,,0.9606897912087924,0.7346003102095578,1,0,0.116641450715946,1.0,0.5,0.0,1,0,1.0,0.0256410256410256,-1.0,38.0,37.0,3.6635616461296463,3.6375861597263857,0.0,24.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,-1,-1.0
314,age,1,,,0.9363857903122316,0.6179411059060667,1,0,0.116641450715946,1.0,0.5,0.0,1,0,2.0,0.0571428571428571,1.0,34.0,36.0,3.555348061489413,3.610917912644224,0.0,20.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,-1.0
384,age,1,,,0.9177902043084044,0.6835619083267803,1,0,0.116641450715946,1.0,0.5,0.0,1,0,13.0,0.4333333333333333,1.0,29.0,42.0,3.4011973816621555,3.7612001156935615,0.0,15.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,-1,-1.0
403,age,1,,,0.7662577840363072,0.2067174107362607,1,0,0.116641450715946,1.0,0.5,0.0,1,0,2.0,0.0714285714285714,1.0,27.0,29.0,3.332204510175204,3.4011973816621555,0.0,13.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,-1,-1.0
426,age,1,,,0.4560141872737525,0.0,1,0,0.116641450715946,1.0,0.5,0.0,1,0,2.0,0.0333333333333333,1.0,59.0,61.0,4.0943445622221,4.127134385045092,0.0,45.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,-1,-1.0
