feature,importance
row_signal_sum,0.566281954431899
n_applicable,0.1209004121015582
signal_C1,0.10022445140272636
signal_C2,0.07412353855960416
signal_C3,0.03897500849716105
cell_signal_ratio,0.034615911622112146
cell_signal_sum,0.03128493980150085
signal_C8,0.018646186779129725
signal_C6,0.014947596804308436
signal_C5,0.0
signal_C4,0.0
signal_C12,0.0
signal_C13,0.0
signal_C14,0.0
signal_C15,0.0
signal_C7,0.0
signal_C9,0.0
signal_C10,0.0
signal_C11,0.0
signal_C19,0.0
signal_C18,0.0
signal_C17,0.0
signal_C16,0.0
signal_C20,0.0
signal_C21,0.0
signal_C22,0.0
signal_C23,0.0
signal_C27,0.0
signal_C26,0.0
signal_C25,0.0
signal_C24,0.0
signal_C31,0.0
signal_C30,0.0
signal_C29,0.0
signal_C28,0.0
