feature,importance
h5_error_count,0.4547500058108473
h2_min_edit_distance,0.1427017300161625
h6_column_importance,0.10490179132474342
row_signal_sum,0.10187182526081155
h7_comprehensibility,0.05462097398924014
h5_codependent_flag,0.0475735209655132
n_applicable,0.03658297400283447
h4_coherence_score,0.026605549838738037
cell_signal_sum,0.007541494505603485
cell_signal_ratio,0.006203446043561438
signal_C3,0.005882443568863472
h1_plausible,0.005739294369336132
h3_distribution_score,0.004664502972824857
signal_C4,0.00036044733091995654
h2_is_obfuscation,0.0
signal_C2,0.0
signal_C1,0.0
h8_is_majority_value,0.0
h8_is_sensitive,0.0
h7_gain_direction,0.0
h7_mutability,0.0
signal_C5,0.0
signal_C6,0.0
signal_C10,0.0
signal_C9,0.0
signal_C8,0.0
signal_C7,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
