feature,importance
h3_distribution_score,0.18826312008219145
h4_coherence_score,0.1543614876255243
h6_column_importance,0.1472571965095439
h5_error_count,0.13187212551337357
row_signal_sum,0.12437391538496499
h1_plausible,0.05543113631475324
h5_codependent_flag,0.04217021295647099
cell_signal_ratio,0.0404641096991809
signal_C6,0.03559219621691456
n_applicable,0.034593838281653154
cell_signal_sum,0.027247498334208753
h7_comprehensibility,0.01837316308122022
h2_is_obfuscation,0.0
h2_min_edit_distance,0.0
h7_gain_direction,0.0
h7_mutability,0.0
h8_is_majority_value,0.0
h8_is_sensitive,0.0
signal_C5,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C1,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C14,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
