feature,importance
h5_error_count,0.10740632965020507
stat_new_value_encoded,0.09589808087513023
h3_distribution_score,0.08300014896727677
h4_coherence_score,0.07855359243423632
h6_column_importance,0.07258391545263035
stat_relative_change,0.07167368199134694
stat_new_log,0.05766608711954335
stat_original_log,0.05492125536373998
stat_original_value_encoded,0.053446821762013465
row_signal_sum,0.04725880993943883
stat_change_direction,0.04711493475482232
stat_change_magnitude,0.04316922733000224
stat_original_magnitude,0.04100210158396907
stat_new_magnitude,0.03890880454403533
h5_codependent_flag,0.022172708459154873
stat_feature_name_encoded,0.022172130573168303
h1_plausible,0.018106643154239533
n_applicable,0.017149386390224074
signal_C6,0.010553727021579189
cell_signal_sum,0.010429206399509377
cell_signal_ratio,0.005235602094240838
h7_comprehensibility,0.0015768041394935857
h8_is_majority_value,0.0
h7_mutability,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h7_gain_direction,0.0
h8_is_sensitive,0.0
signal_C5,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C1,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C14,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
