feature,importance
row_signal_sum,0.8195048265338676
cell_signal_ratio,0.06965284107708207
signal_C4,0.043312737003858834
n_applicable,0.03914216534912773
cell_signal_sum,0.02838743003606383
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C5,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C14,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
