feature,importance
h3_distribution_score,0.23067269440285476
h4_coherence_score,0.21704916231453225
h6_column_importance,0.15610746287916652
h1_plausible,0.12892343539308687
h5_error_count,0.12054301518843177
h5_codependent_flag,0.11494376495531318
h7_comprehensibility,0.0317604648666148
h2_min_edit_distance,0.0
h7_mutability,0.0
h2_is_obfuscation,0.0
h7_gain_direction,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C5,0.0
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
signal_C10,0.0
signal_C11,0.0
signal_C12,0.0
signal_C13,0.0
signal_C14,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C18,0.0
signal_C19,0.0
signal_C20,0.0
signal_C21,0.0
signal_C22,0.0
signal_C23,0.0
signal_C24,0.0
signal_C25,0.0
n_applicable,0.0
cell_signal_sum,0.0
cell_signal_ratio,0.0
row_signal_sum,0.0
