feature,importance
h3_distribution_score,0.11897675621437313
stat_new_value_encoded,0.08686798422362706
h1_plausible,0.08407080412501583
stat_feature_name_encoded,0.07729985448751503
h5_codependent_flag,0.07310328009884338
stat_original_log,0.0726732599307206
stat_original_value_encoded,0.07022365856311813
h5_error_count,0.06297389860804448
stat_relative_change,0.05865592244774601
stat_change_magnitude,0.05347209628390881
h4_coherence_score,0.05175756752862375
stat_original_magnitude,0.05145256144488473
stat_new_log,0.049535802825035884
h6_column_importance,0.03942275110238812
stat_new_magnitude,0.03638147818892625
stat_change_direction,0.010830906680459123
h7_comprehensibility,0.0023014172467696694
h8_is_sensitive,0.0
h2_is_obfuscation,0.0
h2_min_edit_distance,0.0
h8_is_majority_value,0.0
h7_mutability,0.0
h7_gain_direction,0.0
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C5,0.0
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
signal_C10,0.0
signal_C11,0.0
signal_C12,0.0
signal_C13,0.0
signal_C14,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C18,0.0
signal_C19,0.0
signal_C20,0.0
signal_C21,0.0
signal_C22,0.0
signal_C23,0.0
signal_C24,0.0
signal_C25,0.0
n_applicable,0.0
cell_signal_sum,0.0
cell_signal_ratio,0.0
row_signal_sum,0.0
