feature,importance
n_applicable,0.2511635431434089
row_signal_sum,0.2418052996004524
cell_signal_ratio,0.1278852114757422
signal_C6,0.1269615308527752
signal_C12,0.1061506281436947
cell_signal_sum,0.0866774752809511
signal_C15,0.05935631150297553
signal_C8,0.0
signal_C4,0.0
signal_C5,0.0
signal_C3,0.0
signal_C2,0.0
signal_C1,0.0
signal_C13,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C7,0.0
signal_C14,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
