feature,importance
h6_column_importance,0.1791025273881537
h3_distribution_score,0.15178361548845837
h5_codependent_flag,0.13984208207260349
h4_coherence_score,0.13411690334882945
h5_error_count,0.12362614471216862
h7_comprehensibility,0.09291406380999655
row_signal_sum,0.05843543378683374
n_applicable,0.049079173427612796
h1_plausible,0.046805642576167025
cell_signal_ratio,0.012682350662542757
signal_C15,0.008017779317299138
cell_signal_sum,0.00359428340933444
h2_is_obfuscation,0.0
h2_min_edit_distance,0.0
h7_gain_direction,0.0
h7_mutability,0.0
h8_is_majority_value,0.0
h8_is_sensitive,0.0
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C5,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C14,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
