feature,importance
stat_relative_change,0.13185152476389592
stat_change_magnitude,0.1285295693050792
stat_original_log,0.12001579671060378
stat_original_magnitude,0.07616307348622058
stat_original_value_encoded,0.07441151345790523
stat_feature_name_encoded,0.06940353460972018
h5_error_count,0.06670216956311091
h6_column_importance,0.05822399250234302
stat_new_magnitude,0.05024831142174986
h4_coherence_score,0.04643995288630796
stat_new_log,0.03931547488333335
h3_distribution_score,0.02956185567010309
h5_codependent_flag,0.023006937446709563
h7_comprehensibility,0.020750052598358933
stat_new_value_encoded,0.01704635570614951
n_applicable,0.015663769220470258
h1_plausible,0.012918804317920664
signal_C15,0.007430436789139034
row_signal_sum,0.005154639175257732
stat_change_direction,0.005154639175257732
cell_signal_sum,0.002007596310363536
cell_signal_ratio,1.1954291444990218e-17
h8_is_majority_value,0.0
h7_mutability,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h7_gain_direction,0.0
h8_is_sensitive,0.0
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C5,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C14,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
