row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,signal_C10,signal_C11,signal_C12,signal_C13,signal_C14,signal_C15,signal_C16,signal_C17,signal_C18,signal_C19,signal_C20,signal_C21,signal_C22,signal_C23,signal_C24,signal_C25,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,intent_label,predicted_intent
25,followers_count,1,,,0.9539648928275585,0.9941815174338837,2,0,0.9975618303923931,1.0,0.5,1.0,0,0,30365.0,23.303914044512663,1.0,1302.0,31667.0,7.172424577124845,10.363061986291324,0.0,397.0,1698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,-1,1.0
35,followers_count,0,,,0.9519420485366106,0.9998130438847984,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,301.0,0.9966887417218543,-1.0,301.0,0.0,5.71042701737487,0.0,0.0,1609.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
67,followers_count,0,,,0.7698100883430546,0.6969909002414888,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,2512042.0,1.362394737512901,1.0,1843842.0,4355884.0,14.427362538476144,15.287038362319183,0.0,920.0,2202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
76,followers_count,0,,,0.9519420485366106,0.9895353250996299,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,5949.0,0.9998319327731092,-1.0,5949.0,0.0,8.691146498539675,0.0,0.0,2676.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
78,followers_count,1,,,0.9535140375205983,0.9953011614614696,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,24559.0,481.54901960784315,1.0,50.0,24609.0,3.9318256327243257,10.110908143385101,0.0,2417.0,1311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
136,followers_count,0,,,0.6769091740829155,0.0,3,1,0.9975618303923931,1.0,0.5,1.0,0,0,41381276.0,0.87687993616477,-1.0,47191495.0,5810219.0,17.669724264831785,15.575128993859913,0.0,2332.0,2645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,-1,1.0
167,followers_count,0,,,0.9519420485366106,0.9998383781458837,2,0,0.9975618303923931,1.0,0.5,1.0,0,0,275.0,0.9963768115942029,-1.0,275.0,0.0,5.62040086571715,0.0,0.0,1485.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,-1,1.0
168,followers_count,1,,,0.9522289274234848,0.9991596959044389,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,4273.0,19.511415525114156,1.0,218.0,4491.0,5.389071729816501,8.410053315858335,0.0,1151.0,2249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
185,followers_count,1,,,0.9534890609797905,0.9953625041012081,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,24131.0,274.21590909090907,1.0,87.0,24218.0,4.477336814478207,10.094892728063126,0.0,3259.0,1287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
187,followers_count,1,,,0.9542134445418377,0.9971719605811604,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,29978.0,5.371438810249059,1.0,5580.0,35558.0,8.627123250788433,10.47894856774761,0.0,2582.0,1883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,-1,1.0
203,followers_count,1,,,0.953633618299095,0.9973318347162063,3,0,0.9975618303923931,1.0,0.5,1.0,0,0,37422.0,0.5855971457185779,-1.0,63903.0,26481.0,11.065137236215541,10.184220535899701,0.0,2776.0,1415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,-1,1.0
