rank,feature,importance
1,h3_distribution_score,0.25872635408686534
2,h4_coherence_score,0.18295983720760933
3,h1_plausible,0.18002228699241352
4,h2_is_obfuscation,0.13822385717050825
5,h2_min_edit_distance,0.0908266449900939
6,h7_gain_direction,0.05504261819519743
7,h5_error_count,0.038386384551763394
8,h6_column_importance,0.021967230274057985
9,h7_comprehensibility,0.013482576127716498
10,h5_codependent_flag,0.010249190322321427
11,h7_mutability,0.0038402053539565786
12,h8_is_sensitive,0.0037597436622262264
13,h8_is_majority_value,0.0025130710652701382
