,feature,importance
1,h3_distribution_score,0.24085650931196395
2,h4_coherence_score,0.1981304651237383
3,h1_plausible,0.16648040755329813
4,h2_is_obfuscation,0.15235912043587452
5,h2_min_edit_distance,0.1006785177038806
6,h7_gain_direction,0.04788244528172083
7,h5_error_count,0.027817834453899733
8,h5_codependent_flag,0.021910836471643526
9,h6_column_importance,0.02115517993306358
10,h7_comprehensibility,0.013429061358498908
11,h8_is_sensitive,0.004238569562161187
12,h7_mutability,0.003331308739649187
13,h8_is_majority_value,0.0017297440706076656
