,feature,importance
1,h7_gain_direction,0.207380993720117
2,h1_plausible,0.16291541857989156
3,h6_column_importance,0.13409627567732585
4,h3_distribution_score,0.12988182904909248
5,h5_error_count,0.1285497162259444
6,h2_is_obfuscation,0.08335867603534872
7,h4_coherence_score,0.06408087781114634
8,h2_min_edit_distance,0.02808595267792953
9,h5_codependent_flag,0.025534679531897208
10,h7_comprehensibility,0.019012827397718517
11,h8_is_sensitive,0.007685275521584296
12,h7_mutability,0.007436423224165803
13,h8_is_majority_value,0.0019810545478384117
