feature,intentional_mean,unintentional_mean,delta
h1_plausible,1.0,0.49074074074074076,0.5092592592592593
h2_min_edit_distance,,,
h2_is_obfuscation,,,
h3_distribution_score,0.8574926104038576,0.8356461310301503,0.021846479373707317
h4_coherence_score,0.842190339841555,0.7496945897709282,0.09249575007062683
h5_error_count,1.7317784256559767,1.2023809523809523,0.5293974732750244
h5_codependent_flag,0.6763848396501457,0.1335978835978836,0.5427869560522621
h6_column_importance,0.3400203087868703,0.49112863656664957,-0.15110832777977928
h7_mutability,1.0,1.0,0.0
h7_gain_direction,0.5,0.5,0.0
h7_comprehensibility,1.0,0.9666666666666666,0.03333333333333344
h8_is_sensitive,0.0,0.0,0.0
h8_is_majority_value,0.0,0.0,0.0
