method,accuracy,precision,recall,f1_intentional,f1_weighted,auc,runtime,n_labeled,n_test,pct_labeled,algorithm,n_clusters,noise_count,silhouette,dataset,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
RandomForest,0.9527,0.9255,0.9313,0.9284,0.9527,0.9473,0.19,117,11544,1.0,kmeans,15.0,0,0.5124,kireev,,,,,,,,
ClusterMajorityVote,0.9247,0.9146,0.8508,0.8816,0.924,0.9059,0.19,117,11544,1.0,kmeans,15.0,0,0.5124,kireev,,,,,,,,
KNN_k7,0.9401,0.94,0.874,0.9058,0.9396,0.9233,0.19,117,11544,1.0,kmeans,15.0,0,0.5124,kireev,,,,,,,,
LabelPropagation,0.7962,0.9289,0.4125,0.5713,0.7692,0.6985,0.19,117,11544,1.0,kmeans,15.0,0,0.5124,kireev,,,,,,,,
LabelSpreading,0.7847,0.972,0.3562,0.5214,0.7492,0.6756,0.19,117,11544,1.0,kmeans,15.0,0,0.5124,kireev,,,,,,,,
RandomForest,0.9825,0.9739,0.9725,0.9732,0.9825,0.9799,0.33,623,11038,5.34,dbscan,125.0,869,0.611,kireev,0.2202,5.0,,,,,,
ClusterMajorityVote,0.9398,0.9257,0.8864,0.9056,0.9394,0.926,0.33,623,11038,5.34,dbscan,125.0,869,0.611,kireev,0.2202,5.0,,,,,,
KNN_k7,0.9683,0.9368,0.9681,0.9522,0.9684,0.9682,0.33,623,11038,5.34,dbscan,125.0,869,0.611,kireev,0.2202,5.0,,,,,,
LabelPropagation,0.8521,0.8817,0.6314,0.7358,0.8447,0.7952,0.33,623,11038,5.34,dbscan,125.0,869,0.611,kireev,0.2202,5.0,,,,,,
LabelSpreading,0.8555,0.9239,0.6069,0.7326,0.8461,0.7914,0.33,623,11038,5.34,dbscan,125.0,869,0.611,kireev,0.2202,5.0,,,,,,
RandomForest,0.9674,0.9678,0.9321,0.9496,0.9673,0.9584,2.05,117,11544,1.0,hierarchical_ward,15.0,0,0.5044,kireev,,,ward,,,,,
ClusterMajorityVote,0.9431,0.9801,0.8442,0.9071,0.9419,0.9179,2.05,117,11544,1.0,hierarchical_ward,15.0,0,0.5044,kireev,,,ward,,,,,
KNN_k7,0.9536,0.9587,0.8976,0.9272,0.9532,0.9393,2.05,117,11544,1.0,hierarchical_ward,15.0,0,0.5044,kireev,,,ward,,,,,
LabelPropagation,0.7762,0.8475,0.3905,0.5347,0.748,0.678,2.05,117,11544,1.0,hierarchical_ward,15.0,0,0.5044,kireev,,,ward,,,,,
LabelSpreading,0.7819,0.939,0.3608,0.5213,0.7477,0.6746,2.05,117,11544,1.0,hierarchical_ward,15.0,0,0.5044,kireev,,,ward,,,,,
RandomForest,0.9455,0.9812,0.8511,0.9115,0.9444,0.9215,1.84,130,11531,1.11,hierarchical_average,15.0,0,0.3682,kireev,,,average,,,,,
ClusterMajorityVote,0.809,0.9724,0.4341,0.6002,0.784,0.714,1.84,130,11531,1.11,hierarchical_average,15.0,0,0.3682,kireev,,,average,,,,,
KNN_k7,0.9226,0.9402,0.8178,0.8747,0.9212,0.8961,1.84,130,11531,1.11,hierarchical_average,15.0,0,0.3682,kireev,,,average,,,,,
LabelPropagation,0.7469,0.9513,0.2463,0.3913,0.692,0.6201,1.84,130,11531,1.11,hierarchical_average,15.0,0,0.3682,kireev,,,average,,,,,
LabelSpreading,0.7378,0.958,0.2156,0.352,0.6759,0.6055,1.84,130,11531,1.11,hierarchical_average,15.0,0,0.3682,kireev,,,average,,,,,
RandomForest,0.9472,0.9222,0.9171,0.9196,0.9472,0.9396,0.41,117,11544,1.0,gmm,,0,0.4622,kireev,,,,15.0,-1063258.53,-1074849.47,True,
ClusterMajorityVote,0.9035,0.8533,0.8533,0.8533,0.9035,0.8907,0.41,117,11544,1.0,gmm,,0,0.4622,kireev,,,,15.0,-1063258.53,-1074849.47,True,
KNN_k7,0.9355,0.9048,0.8984,0.9016,0.9354,0.926,0.41,117,11544,1.0,gmm,,0,0.4622,kireev,,,,15.0,-1063258.53,-1074849.47,True,
LabelPropagation,0.7626,0.7957,0.3744,0.5092,0.7335,0.6636,0.41,117,11544,1.0,gmm,,0,0.4622,kireev,,,,15.0,-1063258.53,-1074849.47,True,
LabelSpreading,0.7688,0.8869,0.3407,0.4923,0.7325,0.6597,0.41,117,11544,1.0,gmm,,0,0.4622,kireev,,,,15.0,-1063258.53,-1074849.47,True,
RandomForest,0.9787,0.974,0.9611,0.9675,0.9787,0.9743,0.51,415,11246,3.56,hdbscan,83.0,816,0.5962,kireev,,5.0,,,,,,50.0
ClusterMajorityVote,0.9305,0.9388,0.844,0.8889,0.9295,0.9085,0.51,415,11246,3.56,hdbscan,83.0,816,0.5962,kireev,,5.0,,,,,,50.0
KNN_k7,0.9669,0.945,0.9552,0.9501,0.967,0.9639,0.51,415,11246,3.56,hdbscan,83.0,816,0.5962,kireev,,5.0,,,,,,50.0
LabelPropagation,0.8582,0.923,0.6213,0.7427,0.8496,0.7979,0.51,415,11246,3.56,hdbscan,83.0,816,0.5962,kireev,,5.0,,,,,,50.0
LabelSpreading,0.8517,0.9278,0.5962,0.7259,0.8415,0.7867,0.51,415,11246,3.56,hdbscan,83.0,816,0.5962,kireev,,5.0,,,,,,50.0
