row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
11835,education,1,0.0,0.0,0.25,0.64,2,0,0.5859149701202273,1.0,1.0,0.8,0,0,0,1
30450,relationship,1,0.0,0.0,0.33333333333333337,0.76,1,0,1.0,1.0,1.0,0.8,0,0,0,1
5969,relationship,1,0.0,0.0,1.0,0.68,3,0,1.0,1.0,1.0,0.8,0,0,0,1
16488,relationship,1,0.0,0.0,1.0,0.66,2,0,1.0,1.0,1.0,0.8,0,0,0,1
12398,education,1,0.0,0.0,0.25,0.56,2,0,0.5859149701202273,1.0,1.0,0.8,0,0,0,1
23359,relationship,1,0.0,0.0,0.33333333333333337,0.68,1,0,1.0,1.0,1.0,0.8,0,0,0,1
5721,relationship,1,0.0,0.0,1.0,0.7,2,0,1.0,1.0,1.0,0.8,0,0,0,1
4678,hours-per-week,1,,,0.9579437417449058,0.9661500816295817,1,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,1
22373,hours-per-week,1,,,0.5045399444994472,0.47935601744547285,1,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,0
35388,hours-per-week,1,,,0.9614288111917472,0.9532548746313274,1,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,0
32589,hours-per-week,1,,,0.5582915758750118,0.4664608104472183,1,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,0
39738,hours-per-week,1,,,0.9614288111917472,0.9097335510122184,2,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,0
36590,hours-per-week,1,,,0.9614288111917472,0.9597024781304546,1,0,0.3765115207630643,1.0,0.63803846497504,0.3,0,0,1,0
24987,marital-status,1,0.0,0.0,1.0,0.98,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
21745,marital-status,1,0.0,0.0,1.0,0.88,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
15266,marital-status,1,0.0,0.0,1.0,0.96,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
17358,marital-status,1,0.0,0.0,1.0,0.62,2,0,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
8886,marital-status,1,0.0,0.0,1.0,0.96,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
17047,marital-status,1,0.0,0.0,1.0,1.0,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
31388,marital-status,1,0.0,0.0,1.0,0.62,2,0,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
30190,marital-status,1,0.0,0.0,1.0,1.0,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,2,1
37479,relationship,0,1.0,0.0,0.0,0.54,1,0,1.0,1.0,0.5,0.8,0,0,3,0
39555,native-country,0,1.0,0.0,0.0,0.56,1,0,0.0639117874016856,1.0,0.5,1.0,0,0,3,0
34503,marital-status,0,7.0,1.0,0.0,0.68,2,0,0.9686384828775839,1.0,0.5,1.0,1,0,3,0
11721,education,0,1.0,0.0,0.0,0.62,1,0,0.5859149701202273,1.0,0.5,0.8,0,0,3,0
9136,marital-status,0,7.0,1.0,0.0,0.62,1,0,0.9686384828775839,1.0,0.5,1.0,1,0,3,0
28683,education,0,1.0,0.0,0.0,0.68,1,0,0.5859149701202273,1.0,0.5,0.8,0,0,3,0
11384,marital-status,0,7.0,1.0,0.0,0.62,1,0,0.9686384828775839,1.0,0.5,1.0,1,0,3,0
32871,education,0,1.0,0.0,0.0,0.78,1,0,0.5859149701202273,1.0,0.5,0.8,0,0,3,0
22110,relationship,0,1.0,0.0,0.0,0.66,1,0,1.0,1.0,0.5,0.8,0,0,3,0
24370,marital-status,0,7.0,1.0,0.0,0.62,1,0,0.9686384828775839,1.0,0.5,1.0,1,0,3,0
41501,relationship,0,1.0,0.0,0.0,0.72,1,0,1.0,1.0,0.5,0.8,0,0,3,0
29415,marital-status,0,7.0,1.0,0.0,0.64,1,0,0.9686384828775839,1.0,0.5,1.0,1,0,3,0
18919,relationship,0,1.0,0.0,0.0,0.66,1,0,1.0,1.0,0.5,0.8,0,0,3,0
36022,relationship,0,1.0,0.0,0.0,0.56,1,0,1.0,1.0,0.5,0.8,0,0,3,0
17472,native-country,0,1.0,0.0,0.0,0.64,1,0,0.0639117874016856,1.0,0.5,1.0,0,0,3,0
7506,relationship,0,1.0,0.0,0.0,0.74,1,0,1.0,1.0,0.5,0.8,0,0,3,0
27491,capital-gain,1,,,0.8269249571236167,0.8635231238231972,1,0,0.701832971226286,1.0,0.6427272235411069,1.0,0,0,4,1
4838,capital-gain,1,,,0.8269249571236167,0.82531206458801,2,0,0.701832971226286,1.0,0.6427272235411069,1.0,0,0,4,1
32057,capital-gain,1,,,0.8269249571236167,0.8099230999391703,1,0,0.701832971226286,1.0,0.6427272235411069,1.0,0,0,4,1
