row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
30533,marital-status,1,0.0,0.0,1.0,0.68,2,0,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
17038,marital-status,1,0.0,0.0,1.0,0.7,1,0,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
26251,marital-status,1,0.0,0.0,1.0,0.74,2,0,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
3745,marital-status,1,0.0,0.0,1.0,0.76,2,0,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
16481,marital-status,1,0.0,0.0,1.0,0.64,1,0,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
37621,education-num,1,,,0.9893645386849175,0.44420791809946614,3,1,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1,1
6380,fnlwgt,0,,,0.24534773477677063,0.16979341468768483,3,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,1,0
8194,education-num,1,,,0.9893645386849175,0.7992973037581407,2,1,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1,1
25505,education-num,1,,,0.9893645386849175,0.7915779692873001,2,1,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1,1
23325,education-num,1,,,0.9893645386849175,0.7684199658747776,2,1,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1,1
37220,race,0,5.0,1.0,0.0,0.66,2,0,0.09134469573695347,0.5,0.5,0.8,1,0,2,0
22972,sex,0,1.0,0.0,0.0,0.6,2,0,0.23351546360912023,0.5,0.5,0.0,1,0,2,0
31374,race,0,5.0,1.0,0.0,0.72,4,0,0.09134469573695347,0.5,0.5,0.8,1,0,2,0
29476,race,0,5.0,1.0,0.0,0.52,2,0,0.09134469573695347,0.5,0.5,0.8,1,0,2,0
12916,race,0,5.0,1.0,0.0,0.5,2,0,0.09134469573695347,0.5,0.5,0.8,1,0,2,0
15069,marital-status,1,0.0,0.0,1.0,1.0,3,1,0.9686384828775839,1.0,1.0,1.0,1,1,3,1
6033,marital-status,1,0.0,0.0,1.0,0.9,3,1,0.9686384828775839,1.0,1.0,1.0,1,1,3,1
12733,marital-status,1,0.0,0.0,1.0,0.8,3,1,0.9686384828775839,1.0,1.0,1.0,1,1,3,1
11136,marital-status,1,0.0,0.0,1.0,0.98,3,1,0.9686384828775839,1.0,1.0,1.0,1,1,3,1
27761,marital-status,1,0.0,0.0,1.0,0.88,3,1,0.9686384828775839,1.0,1.0,1.0,1,1,3,1
