row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
3581,marital-status,1,0.0,0.0,1.0,1.0,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
27702,marital-status,1,0.0,0.0,1.0,0.96,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
33112,marital-status,1,0.0,0.0,1.0,0.98,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
25330,marital-status,1,0.0,0.0,1.0,0.96,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
16700,marital-status,1,0.0,0.0,1.0,1.0,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
16808,marital-status,1,0.0,0.0,1.0,0.94,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
3719,marital-status,1,0.0,0.0,1.0,0.96,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
29933,marital-status,1,0.0,0.0,1.0,1.0,2,1,0.9686384828775839,1.0,1.0,1.0,1,1,0,1
11084,workclass,1,0.0,1.0,0.6666666666666667,0.56,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1,0
4085,occupation,1,0.0,0.0,0.8,0.62,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
39321,occupation,1,0.0,1.0,0.5333333333333333,0.64,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
10371,occupation,1,0.0,1.0,0.5333333333333333,0.68,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
42,occupation,1,0.0,1.0,0.5333333333333333,0.68,2,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
6495,occupation,1,0.0,0.0,0.8,0.68,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
1616,occupation,1,0.0,0.0,0.8,0.66,3,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
20183,occupation,1,0.0,1.0,0.5333333333333333,0.98,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
37397,occupation,1,0.0,1.0,0.5333333333333333,0.64,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
39844,occupation,1,0.0,0.0,0.8,0.62,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
22564,workclass,1,0.0,1.0,0.6666666666666667,0.68,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1,0
37349,occupation,1,0.0,1.0,0.5333333333333333,0.62,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
15996,workclass,1,0.0,1.0,0.6666666666666667,0.56,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1,0
45079,occupation,1,0.0,0.0,0.8,0.62,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
4038,occupation,1,0.0,0.0,0.8,0.76,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
9304,occupation,1,0.0,1.0,0.5333333333333333,0.54,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
3816,occupation,1,0.0,1.0,0.5333333333333333,0.9,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
6706,occupation,1,0.0,0.0,0.8,0.7,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1,0
29935,workclass,1,0.0,1.0,0.6666666666666667,0.62,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1,0
11648,education-num,1,,,0.6230116490733759,0.9768419965874775,2,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,2,1
27872,education-num,1,,,0.730948663857113,0.8301746416415037,1,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,2,0
26971,fnlwgt,1,,,0.9063827544204798,0.7936516449398182,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,2,0
