method,accuracy,precision,recall,f1_intentional,f1_weighted,auc,runtime,n_labeled,n_test,pct_labeled,algorithm,n_clusters,noise_count,silhouette,dataset,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
RandomForest,0.8719,0.8295,0.8715,0.85,0.8724,0.8719,0.27,433,42826,1.0,kmeans,15.0,0,0.4656,llm,,,,,,,,
ClusterMajorityVote,0.802,0.8595,0.6268,0.7249,0.7952,0.7768,0.27,433,42826,1.0,kmeans,15.0,0,0.4656,llm,,,,,,,,
KNN_k7,0.8163,0.7818,0.7751,0.7784,0.8162,0.8104,0.27,433,42826,1.0,kmeans,15.0,0,0.4656,llm,,,,,,,,
LabelPropagation,0.6682,0.7421,0.3111,0.4384,0.6288,0.617,0.27,433,42826,1.0,kmeans,15.0,0,0.4656,llm,,,,,,,,
LabelSpreading,0.6455,0.7208,0.2421,0.3625,0.5913,0.5876,0.27,433,42826,1.0,kmeans,15.0,0,0.4656,llm,,,,,,,,
RandomForest,0.9085,0.9083,0.863,0.8851,0.9081,0.9015,2.45,3667,39592,8.48,dbscan,728.0,3670,0.5702,llm,0.0808,5.0,,,,,,
ClusterMajorityVote,0.8184,0.7676,0.7963,0.7817,0.8189,0.815,2.45,3667,39592,8.48,dbscan,728.0,3670,0.5702,llm,0.0808,5.0,,,,,,
KNN_k7,0.8494,0.8497,0.7666,0.806,0.848,0.8365,2.45,3667,39592,8.48,dbscan,728.0,3670,0.5702,llm,0.0808,5.0,,,,,,
LabelPropagation,0.7599,0.833,0.5147,0.6363,0.7455,0.7218,2.45,3667,39592,8.48,dbscan,728.0,3670,0.5702,llm,0.0808,5.0,,,,,,
LabelSpreading,0.7374,0.8334,0.4457,0.5808,0.7158,0.6921,2.45,3667,39592,8.48,dbscan,728.0,3670,0.5702,llm,0.0808,5.0,,,,,,
RandomForest,0.8884,0.8449,0.8964,0.8699,0.8888,0.8895,30.75,433,42826,1.0,hierarchical_ward,15.0,0,0.4734,llm,,,ward,,,,,
ClusterMajorityVote,0.8133,0.7778,0.7719,0.7749,0.8132,0.8074,30.75,433,42826,1.0,hierarchical_ward,15.0,0,0.4734,llm,,,ward,,,,,
KNN_k7,0.8206,0.777,0.7981,0.7874,0.821,0.8174,30.75,433,42826,1.0,hierarchical_ward,15.0,0,0.4734,llm,,,ward,,,,,
LabelPropagation,0.6783,0.7583,0.3334,0.4632,0.6425,0.6288,30.75,433,42826,1.0,hierarchical_ward,15.0,0,0.4734,llm,,,ward,,,,,
LabelSpreading,0.6537,0.7712,0.2388,0.3647,0.5967,0.5942,30.75,433,42826,1.0,hierarchical_ward,15.0,0,0.4734,llm,,,ward,,,,,
RandomForest,0.8832,0.8625,0.856,0.8593,0.8831,0.8793,25.3,436,42823,1.01,hierarchical_average,15.0,0,0.462,llm,,,average,,,,,
ClusterMajorityVote,0.7586,0.7473,0.6354,0.6868,0.755,0.741,25.3,436,42823,1.01,hierarchical_average,15.0,0,0.462,llm,,,average,,,,,
KNN_k7,0.8317,0.8333,0.7449,0.7866,0.83,0.8192,25.3,436,42823,1.01,hierarchical_average,15.0,0,0.462,llm,,,average,,,,,
LabelPropagation,0.6754,0.779,0.3082,0.4417,0.6339,0.6229,25.3,436,42823,1.01,hierarchical_average,15.0,0,0.462,llm,,,average,,,,,
LabelSpreading,0.6576,0.7889,0.243,0.3716,0.6009,0.5983,25.3,436,42823,1.01,hierarchical_average,15.0,0,0.462,llm,,,average,,,,,
RandomForest,0.8853,0.8895,0.8275,0.8574,0.8846,0.8771,4.33,433,42826,1.0,gmm,,0,0.4222,llm,,,,15.0,-4099203.78,-4112858.16,True,
ClusterMajorityVote,0.8052,0.8107,0.6947,0.7482,0.8025,0.7894,4.33,433,42826,1.0,gmm,,0,0.4222,llm,,,,15.0,-4099203.78,-4112858.16,True,
KNN_k7,0.8224,0.8022,0.7616,0.7814,0.8217,0.8137,4.33,433,42826,1.0,gmm,,0,0.4222,llm,,,,15.0,-4099203.78,-4112858.16,True,
LabelPropagation,0.6746,0.8149,0.2833,0.4205,0.6266,0.6187,4.33,433,42826,1.0,gmm,,0,0.4222,llm,,,,15.0,-4099203.78,-4112858.16,True,
LabelSpreading,0.6559,0.8222,0.2219,0.3495,0.5925,0.5938,4.33,433,42826,1.0,gmm,,0,0.4222,llm,,,,15.0,-4099203.78,-4112858.16,True,
RandomForest,0.9008,0.8887,0.8709,0.8797,0.9006,0.8965,4.39,1415,41844,3.27,hdbscan,282.0,4138,0.6525,llm,,5.0,,,,,,50.0
ClusterMajorityVote,0.8106,0.851,0.661,0.7441,0.8057,0.7892,4.39,1415,41844,3.27,hdbscan,282.0,4138,0.6525,llm,,5.0,,,,,,50.0
KNN_k7,0.8585,0.8593,0.7896,0.823,0.8575,0.8486,4.39,1415,41844,3.27,hdbscan,282.0,4138,0.6525,llm,,5.0,,,,,,50.0
LabelPropagation,0.7517,0.8223,0.5152,0.6335,0.7378,0.7179,4.39,1415,41844,3.27,hdbscan,282.0,4138,0.6525,llm,,5.0,,,,,,50.0
LabelSpreading,0.7346,0.8496,0.4408,0.5805,0.712,0.6926,4.39,1415,41844,3.27,hdbscan,282.0,4138,0.6525,llm,,5.0,,,,,,50.0
