row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
10931,workclass,0,1.0,0.0,0.0,0.6,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,0
9810,education,0,3.0,0.0,0.0,0.7,2,1,1.0,1.0,0.5,0.8,0,0,0,1
11555,occupation,0,1.0,0.0,0.0,0.66,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
2476,occupation,0,1.0,0.0,0.0,0.66,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
7976,workclass,0,1.0,1.0,0.0,0.66,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,1
11154,workclass,0,2.0,0.0,0.0,0.68,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,0
11597,workclass,0,7.0,1.0,0.0,0.66,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,1
9536,occupation,0,1.0,0.0,0.0,0.72,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
8477,occupation,0,1.0,0.0,0.0,0.58,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
5870,occupation,0,1.0,0.0,0.0,0.64,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
12643,education,0,1.0,0.0,0.0,0.68,2,1,1.0,1.0,0.5,0.8,0,0,0,0
11262,occupation,0,1.0,0.0,0.0,0.62,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,1
16510,education,0,6.0,0.0,0.0,0.66,2,1,1.0,1.0,0.5,0.8,0,0,0,0
8562,workclass,0,1.0,0.0,0.0,0.68,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,0
18311,occupation,0,1.0,0.0,0.0,0.62,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
14382,occupation,0,1.0,0.0,0.0,0.72,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
11178,education,0,1.0,0.0,0.0,0.64,2,1,1.0,1.0,0.5,0.8,0,0,0,0
7246,occupation,0,1.0,0.0,0.0,0.66,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
3403,occupation,0,1.0,0.0,0.0,0.66,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,1
9431,occupation,0,1.0,0.0,0.0,0.68,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
12948,education,0,1.0,0.0,0.0,0.6,2,1,1.0,1.0,0.5,0.8,0,0,0,0
16114,workclass,0,1.0,0.0,0.0,0.68,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,0
8542,occupation,0,1.0,0.0,0.0,0.62,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
12897,occupation,0,1.0,0.0,0.0,0.58,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
11781,workclass,0,1.0,0.0,0.0,0.6,2,1,0.3026161566006758,1.0,0.5,0.8,0,0,0,0
13654,education,0,1.0,0.0,0.0,0.82,2,1,1.0,1.0,0.5,0.8,0,0,0,0
1976,education,0,2.0,0.0,0.0,0.72,2,1,1.0,1.0,0.5,0.8,0,0,0,0
18195,occupation,0,1.0,1.0,0.0,0.7,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,1
17871,education,0,1.0,0.0,0.0,0.56,2,1,1.0,1.0,0.5,0.8,0,0,0,0
17033,education,0,2.0,0.0,0.0,0.46,2,1,1.0,1.0,0.5,0.8,0,0,0,0
15990,occupation,0,1.0,0.0,0.0,0.56,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
9122,education,0,1.0,0.0,0.0,0.58,2,1,1.0,1.0,0.5,0.8,0,0,0,0
1189,education,0,1.0,0.0,0.0,0.56,2,1,1.0,1.0,0.5,0.8,0,0,0,0
2954,occupation,0,1.0,0.0,0.0,0.68,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
12631,occupation,0,1.0,0.0,0.0,0.6,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
13606,education,0,1.0,0.0,0.0,0.6,2,1,1.0,1.0,0.5,0.8,0,0,0,0
8991,occupation,0,1.0,0.0,0.0,0.64,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
5733,education,0,1.0,0.0,0.0,0.54,2,1,1.0,1.0,0.5,0.8,0,0,0,0
11894,occupation,0,10.0,0.0,0.0,0.58,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
6403,occupation,0,1.0,0.0,0.0,0.62,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
5436,occupation,0,1.0,0.0,0.0,0.66,2,1,0.6991080546111005,1.0,0.5,0.8,0,0,0,0
3186,education,0,1.0,0.0,0.0,0.68,2,1,1.0,1.0,0.5,0.8,0,0,0,0
18302,education,0,1.0,0.0,0.0,0.66,2,1,1.0,1.0,0.5,0.8,0,0,0,0
13327,education,0,1.0,0.0,0.0,0.78,2,1,1.0,1.0,0.5,0.8,0,0,0,0
514,education,0,1.0,0.0,0.0,0.68,2,1,1.0,1.0,0.5,0.8,0,0,0,0
15953,education,0,1.0,0.0,0.0,0.62,2,1,1.0,1.0,0.5,0.8,0,0,0,0
11167,hours-per-week,1,,,0.6343176703616531,0.9548007339495223,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
15517,hours-per-week,1,,,0.42220574922316356,0.8754636256077554,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
7540,hours-per-week,1,,,0.8840614710597898,0.9599500174236273,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
5729,hours-per-week,1,,,0.9673094046258355,0.9998092857972554,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
4670,hours-per-week,1,,,0.9771919729968008,0.1246218094021394,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
15281,hours-per-week,1,,,0.8008135374937443,0.8018479433483274,2,0,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
10778,hours-per-week,1,,,0.9950587158145173,0.9733000116157515,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
8886,hours-per-week,1,,,0.5609523051665728,0.9734907258184962,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
716,hours-per-week,1,,,0.9950587158145173,0.7461593961468949,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
15580,hours-per-week,1,,,0.9950587158145173,0.9908457182682576,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
13328,hours-per-week,1,,,0.9771919729968008,0.9706300127773267,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
4819,hours-per-week,1,,,0.7453149151163806,0.9427857391766105,3,0,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
13797,hours-per-week,1,,,0.7175656039276987,0.9246678899158705,2,0,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
12448,hours-per-week,1,,,0.7175656039276987,0.8600157751854401,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
15174,hours-per-week,1,,,0.5233204256069257,0.9483164510562048,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
2828,hours-per-week,1,,,0.7175656039276987,0.9712021553855605,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
16113,hours-per-week,1,,,0.8563121598711081,0.9830264359557277,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
9772,hours-per-week,1,,,0.9771919729968008,0.8727936267693305,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
3890,hours-per-week,1,,,0.8008135374937443,0.9698671559663482,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
15139,hours-per-week,1,,,0.8008135374937443,0.8363672140451058,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
16237,hours-per-week,1,,,0.7453149151163806,0.9706300127773267,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
146,hours-per-week,1,,,0.5510697367956074,0.8712679131473735,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
5482,hours-per-week,1,,,0.8384454170533915,0.8123372244992821,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
2846,hours-per-week,1,,,0.9771919729968008,0.8745100545940322,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
12997,hours-per-week,1,,,0.9118107822484718,0.985505720591408,1,0,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
9093,hours-per-week,1,,,0.9771919729968008,0.9753978678459425,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
15633,hours-per-week,1,,,0.8384454170533915,0.8945350458822185,2,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,0
17291,hours-per-week,1,,,0.6065683591729714,0.9679600139389019,3,1,0.6083589120586981,1.0,0.5622520469003432,0.3,0,0,1,1
14956,sex,1,0.0,0.0,1.0,0.8,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,2,1
